 ,Value_ch1,Value_ch2
1,2.000,41.000
2,2.348,38.812
3,2.696,41.174
4,3.000,42.587
5,3.000,45.218
6,2.312,40.575
7,2.087,64.997
8,2.827,60.719
9,2.217,49.998
10,2.568,47.791
11,3.495,47.785
12,3.065,36.184
13,2.826,51.019
14,2.388,54.267
15,2.328,60.896
16,4.530,63.771
17,4.000,56.599
18,3.918,55.663
19,3.352,76.579
20,3.927,54.713
21,2.497,54.364
22,2.783,64.685
23,3.190,53.733
24,3.435,46.127
25,2.673,54.985
26,2.829,60.425
27,3.753,61.448
28,4.877,76.814
29,4.064,66.570
30,3.914,57.342
31,3.549,69.130
32,3.768,73.150
33,3.870,57.628
34,3.971,64.982
35,3.694,49.231
36,3.968,50.856
37,4.360,72.381
38,3.950,72.955
39,5.119,63.081
40,4.943,64.213
41,4.410,70.572
42,4.035,66.115
43,4.392,62.279
44,4.619,69.851
45,5.745,71.282
46,5.262,63.255
47,3.873,58.074
48,2.719,48.646
49,3.304,62.105
50,2.997,68.209
51,3.878,77.674
52,3.184,99.449
53,2.979,84.147
54,2.700,62.355
55,2.710,59.000
56,3.307,58.075
57,3.526,63.940
58,4.364,60.283
59,4.678,64.044
60,5.481,73.690
61,6.802,65.203
62,6.551,59.401
63,5.018,56.573
64,6.310,105.166
65,9.954,73.622
66,8.605,99.623
67,8.955,76.212
68,7.603,75.529
69,5.840,81.135
70,5.692,72.543
71,6.000,70.227
72,5.606,67.402
73,6.472,59.934
74,9.552,64.989
75,10.979,86.569
76,7.883,91.195
77,7.924,88.602
78,7.060,91.178
79,7.598,79.826
80,9.965,79.736
81,15.358,107.037
82,15.059,77.137
83,8.285,51.019
84,5.900,60.635
85,6.993,55.767
86,5.877,59.119
87,5.089,62.327
88,5.975,60.730
89,10.249,97.082
90,39.246,180.843
91,84.873,231.893
92,99.027,228.295
93,98.045,219.284
94,101.589,220.813
95,91.893,216.283
96,86.019,207.762
97,97.386,201.509
98,99.385,202.451
99,86.559,193.236
100,80.843,201.015
101,80.679,175.871
102,75.680,155.383
103,65.818,156.083
104,61.512,173.379
105,71.528,194.428
106,83.177,201.451
107,83.212,181.260
108,75.722,175.429
109,73.968,185.053
110,64.030,147.072
111,55.355,169.385
112,57.722,159.833
113,46.789,142.005
114,59.566,137.856
115,62.067,176.730
116,80.901,208.064
117,89.475,212.160
118,89.321,213.819
119,75.459,180.731
120,67.482,167.664
121,79.316,189.986
122,99.159,211.695
123,109.159,224.029
124,95.937,208.352
125,68.247,177.395
126,61.042,156.169
127,68.272,172.562
128,85.254,190.571
129,99.781,192.888
130,104.755,195.141
131,84.702,186.641
132,75.480,181.664
133,71.487,200.945
