 ,Value_ch1,Value_ch2
1,99.750,77.250
2,107.678,94.847
3,116.061,136.046
4,165.683,208.244
5,218.134,216.756
6,204.781,190.911
7,182.246,176.872
8,180.023,164.831
9,157.368,171.381
10,164.101,180.167
11,211.909,236.586
12,226.939,245.180
13,220.857,240.001
14,244.505,254.589
15,240.477,255.000
16,235.872,255.000
17,241.510,254.627
18,222.596,250.025
19,163.424,204.309
20,120.717,162.657
21,122.146,160.667
22,126.990,138.823
23,141.807,152.016
24,136.694,154.003
25,154.813,174.967
26,187.523,235.799
27,184.178,234.163
28,131.569,165.690
29,115.677,132.484
30,98.548,97.728
31,92.039,101.318
32,113.933,88.674
33,141.913,82.281
34,116.193,88.862
35,106.918,95.525
36,124.436,93.681
37,113.019,94.914
38,146.474,105.880
39,202.463,143.026
40,194.985,197.480
41,147.283,226.756
42,103.292,169.916
43,75.471,90.018
44,71.500,88.750
