ROI,X,Y
1,272.695,0.445
1,317.125,3.281
1,331.777,4.699
1,348.793,5.172
1,405.039,8.008
1,408.348,10.371
1,461.285,13.207
1,483.027,13.207
2,2.809,19.824
2,36.840,20.297
2,298.691,33.531
2,387.078,37.312
2,477.355,42.512
3,4.227,84.105
3,50.547,85.996
3,57.164,86.469
3,141.297,91.195
3,179.582,93.086
3,292.074,100.176
3,341.703,103.012
3,347.848,103.484
3,404.094,106.793
3,414.965,109.156
3,468.375,112.465
3,479.719,114.828
4,6.117,101.121
4,96.395,104.902
4,135.152,107.266
4,176.273,109.629
4,376.680,119.082
4,398.895,120.500
4,466.012,124.281
4,479.719,125.699
5,4.699,189.980
5,184.309,199.434
5,461.285,215.031
5,479.719,216.449
6,10.371,188.562
6,168.238,195.652
6,175.801,197.543
6,471.684,212.668
7,170.129,191.871
7,190.926,193.762
7,199.906,194.707
7,305.309,199.434
7,310.980,200.852
7,432.453,207.941
7,475.465,209.832
8,1.391,220.230
8,120.027,227.793
8,131.844,231.574
8,188.090,235.355
8,295.855,243.391
8,480.664,257.098
9,8.480,255.680
9,131.371,260.879
9,137.043,261.352
9,276.004,270.805
9,462.230,280.730
9,480.664,281.203
10,15.098,244.809
10,121.445,250.008
10,189.980,253.789
10,402.676,264.660
10,477.355,269.387
11,2.809,287.348
11,93.086,290.656
11,297.273,303.418
11,303.418,305.309
11,348.320,307.199
11,382.824,311.453
11,386.605,312.871
11,459.395,319.961
11,456.086,321.379
11,459.867,322.324
11,481.137,324.215
12,294.910,280.730
12,304.363,283.094
12,355.410,287.820
12,370.062,292.074
12,440.488,299.164
13,2.809,120.973
13,8.953,116.246
13,50.547,114.355
13,58.582,109.629
13,91.195,106.793
13,98.285,105.375
13,133.262,103.484
13,142.715,101.594
13,183.836,99.703
13,191.871,97.340
13,282.621,92.613
13,356.355,88.832
13,366.281,86.941
13,457.977,82.215
13,462.230,80.324
13,478.301,78.906
14,128.535,49.602
14,133.734,50.074
14,187.617,54.328
14,213.141,56.691
14,311.453,65.672
14,338.395,68.035
14,345.012,68.980
14,397.004,72.762
14,452.305,78.434
14,479.719,85.051
15,2.809,174.855
15,18.879,172.965
15,59.527,171.074
15,73.234,169.184
15,121.445,166.820
15,129.953,165.402
15,175.801,162.094
15,184.309,161.148
15,197.070,159.258
15,288.293,154.059
15,302.000,153.113
15,358.246,150.277
15,373.844,147.914
15,453.723,143.660
15,473.102,140.352
16,189.508,346.902
16,231.574,340.285
16,274.113,336.504
16,299.637,335.086
16,303.418,334.141
16,365.336,329.887
16,367.699,329.414
16,405.512,325.633
16,406.457,320.434
16,413.074,318.543
16,479.246,311.453
17,21.715,72.762
17,76.543,68.035
17,191.398,61.891
17,310.980,54.328
17,343.121,50.547
17,364.863,46.293
17,418.273,39.676
18,55.746,330.832
18,92.141,337.449
18,116.719,343.121
18,140.824,352.102
18,148.387,353.047
18,160.203,359.191
19,178.164,345.957
19,200.852,349.266
19,206.996,353.047
19,293.492,358.246
19,295.855,359.664
20,354.465,359.191
20,362.500,357.773
20,408.820,352.574
20,416.383,350.684
20,424.418,346.430
20,468.375,342.176
20,471.211,339.340
20,480.664,335.559
21,131.844,230.156
21,204.160,236.301
21,198.488,239.137
21,197.070,249.062
21,190.926,252.371
21,191.871,261.824
21,199.906,265.605
21,201.797,272.695
21,199.434,276.477
21,199.434,289.711
21,207.469,294.910
22,461.285,-0.500
22,460.340,92.613
22,464.121,96.867
22,466.957,108.211
22,460.340,111.047
22,455.613,112.938
22,434.344,114.355
22,405.039,120.973
22,405.984,124.281
22,397.477,127.117
22,391.805,127.590
22,376.207,131.371
22,372.898,134.207
22,363.918,136.570
22,357.301,138.934
22,348.320,143.188
23,462.703,100.648
23,460.340,126.172
23,475.465,130.898
23,460.812,131.844
23,464.594,136.570
23,461.758,141.770
23,459.867,172.965
23,464.121,184.309
23,460.812,189.508
23,466.012,195.180
23,460.340,201.324
23,458.449,205.578
23,452.777,208.887
23,461.285,212.668
23,466.484,216.922
23,458.449,220.703
23,462.230,223.066
23,475.465,227.793
23,478.301,232.992
23,478.773,242.445
23,482.082,244.809
24,252.371,0.918
24,277.422,3.754
24,278.840,4.699
24,286.875,6.117
24,285.930,8.480
24,299.637,10.371
24,296.801,17.934
24,297.273,21.715
24,292.074,26.914
24,294.910,29.750
24,293.965,40.621
24,289.711,42.984
24,276.477,45.820
24,268.441,51.020
24,268.441,78.906
24,265.133,89.777
24,267.969,101.121
24,271.750,103.012
24,299.637,107.266
24,298.691,108.684
24,307.672,111.047
24,322.324,113.883
24,338.867,117.191
24,339.340,130.898
24,339.340,142.715
24,345.484,151.695
24,362.973,159.730
24,409.293,166.820
24,415.910,168.711
24,421.582,169.184
25,130.898,127.590
25,409.293,142.715
25,477.828,146.496
26,344.539,129.953
26,366.281,133.734
26,423.473,140.352
27,277.895,150.277
27,276.004,154.059
27,293.965,157.840
27,331.305,163.512
27,342.176,167.766
27,357.773,170.602
27,365.336,174.383
27,363.445,176.746
27,365.809,179.582
27,366.754,182.418
27,392.750,190.926
27,392.750,193.762
27,405.039,196.598
27,393.695,201.324
27,400.785,205.105
27,397.004,208.414
27,404.094,211.250
27,398.422,213.141
27,382.824,215.504
27,375.734,218.340
27,310.508,223.539
27,293.965,225.902
27,296.801,229.211
27,292.074,232.520
27,288.766,236.773
27,276.949,239.137
27,282.621,241.973
28,79.379,168.711
28,90.250,164.930
28,179.109,154.059
