ROI,X,Y
1,0.961,10.211
1,15.567,11.672
1,69.609,17.514
1,115.861,22.383
1,192.299,30.173
1,328.622,45.752
1,364.163,49.647
1,380.230,52.568
1,412.363,54.516
1,505.355,65.714
2,3.395,66.201
2,22.383,70.583
2,164.548,76.912
2,173.798,78.859
2,375.361,90.544
2,439.141,92.978
3,2.908,97.360
3,21.409,99.308
3,112.453,104.663
3,162.600,106.124
3,170.877,109.045
3,322.780,118.782
3,331.056,120.243
3,375.848,122.677
3,384.125,125.112
3,499.999,132.415
4,3.395,115.861
4,35.041,118.295
4,41.857,120.243
4,102.229,124.625
4,118.296,128.033
4,188.891,131.928
5,134.362,130.954
5,163.087,134.849
5,169.903,137.283
5,202.523,139.231
5,358.321,151.402
5,408.468,155.297
5,412.363,156.271
5,495.130,164.061
5,503.407,166.495
6,1.447,132.415
6,14.106,132.901
6,19.462,134.362
6,83.241,139.718
6,100.768,142.152
6,188.404,148.481
6,199.602,151.402
6,366.598,163.087
6,405.060,165.522
6,412.363,166.982
6,491.722,171.851
7,-0.500,145.073
7,13.132,146.534
7,18.975,147.021
7,42.344,147.994
7,116.348,151.889
7,166.982,154.811
7,188.891,157.732
7,324.727,166.495
7,403.599,169.903
7,407.008,171.851
7,508.763,175.746
8,9.724,147.994
8,18.488,152.863
8,138.257,158.705
8,164.061,159.679
8,168.443,161.627
8,195.220,163.574
8,319.858,171.364
8,337.386,173.798
8,345.175,180.614
9,2.908,155.784
9,63.766,159.679
9,136.310,168.443
9,159.679,171.364
9,244.881,183.049
9,314.990,190.839
9,332.030,192.786
9,332.517,194.734
9,399.218,200.089
10,11.672,221.998
10,13.619,225.406
10,175.259,233.196
10,227.354,236.604
10,412.363,247.315
10,504.381,253.158
11,0.961,150.429
11,18.975,146.047
11,41.371,143.613
11,50.621,139.231
11,69.609,136.310
11,118.296,130.954
11,124.138,127.059
11,166.495,122.677
11,170.877,121.704
11,184.023,119.756
11,194.734,116.348
11,231.249,109.045
11,276.040,104.663
11,279.935,102.716
11,316.937,98.821
11,338.359,95.413
11,373.901,91.031
11,402.626,87.136
11,481.498,75.451
11,498.538,73.504
11,503.407,71.069
11,500.486,69.609
11,512.171,67.661
12,5.342,62.306
12,60.358,64.253
12,75.451,67.661
12,191.812,72.530
12,327.161,82.267
12,392.888,85.675
12,406.521,87.623
12,456.181,89.570
13,2.908,282.370
13,60.358,283.343
13,129.493,285.291
13,328.135,294.054
14,95.413,288.212
14,170.877,290.159
14,192.299,292.594
14,280.422,298.436
14,285.778,299.897
14,324.727,300.871
14,412.363,305.739
14,453.260,310.121
14,505.355,312.555
14,513.631,313.529
15,74.964,288.212
15,190.839,296.489
15,224.919,298.436
15,227.841,299.897
15,328.622,307.687
15,334.464,309.634
15,382.177,313.042
16,310.121,17.027
16,329.109,19.948
16,332.517,21.896
16,358.808,24.817
16,387.533,28.225
16,395.323,30.659
16,444.496,36.989
16,468.840,44.779
16,488.801,50.134
16,500.973,54.516
16,514.605,56.950
17,264.356,8.750
17,280.909,13.132
17,306.226,17.514
17,316.450,21.409
17,324.727,25.791
17,340.794,31.633
17,373.901,36.502
18,362.703,27.251
18,371.466,31.633
18,392.888,35.041
18,398.244,37.476
18,433.785,42.344
18,463.971,49.160
18,481.011,50.134
19,-0.013,208.366
19,17.027,205.445
19,22.870,204.471
19,48.187,201.063
19,46.239,199.115
19,47.700,196.681
19,59.871,192.786
19,60.358,189.865
19,67.661,186.457
19,84.702,177.206
19,98.821,175.746
19,113.427,174.285
19,115.861,173.311
19,135.823,167.469
19,166.495,161.627
19,164.061,158.705
19,168.930,155.784
19,170.877,150.916
19,167.956,147.994
19,172.825,146.047
19,172.338,144.099
19,174.285,141.178
19,178.667,139.231
19,185.970,136.310
19,183.049,134.362
19,184.509,131.441
19,188.404,130.954
19,189.865,129.980
19,193.273,128.033
19,238.065,122.190
19,244.881,121.217
20,416.745,93.465
20,353.452,97.360
20,342.254,98.821
20,338.846,102.229
20,313.529,106.611
20,316.937,109.532
20,330.569,110.993
20,387.046,115.374
20,391.915,117.809
21,317.911,165.522
21,352.478,163.574
21,376.335,159.679
21,389.480,158.219
21,398.731,157.732
21,407.494,154.811
21,414.797,153.350
21,485.393,142.152
21,490.749,139.718
21,487.827,137.770
21,495.617,135.336
21,511.684,131.441
22,426.969,174.772
22,359.295,178.667
22,347.123,181.588
22,323.753,184.996
22,316.450,190.352
22,308.174,193.273
22,233.683,199.115
22,229.788,203.497
22,234.657,206.418
22,228.327,208.853
22,192.786,215.182
22,184.509,217.616
22,181.588,220.538
22,178.667,221.998
22,166.008,224.919
22,165.035,227.841
22,166.495,231.249
22,165.035,234.657
22,157.245,239.525
22,156.271,242.933
22,116.348,247.802
22,105.150,249.750
22,88.597,253.644
22,82.754,256.079
22,67.661,259.000
22,55.003,259.974
22,33.581,264.356
22,33.094,266.790
22,6.316,270.198
22,1.934,272.145
23,11.185,231.735
23,39.423,230.275
23,38.449,227.841
23,44.292,225.893
23,131.441,222.485
23,142.152,220.538
23,168.443,216.643
23,171.851,213.721
23,178.667,212.261
23,216.643,209.826
23,221.024,207.392
23,227.354,205.445
23,294.054,202.523
23,305.252,196.681
23,325.214,194.734
23,339.820,192.786
23,423.074,186.457
24,515.092,151.889
24,500.486,152.376
24,493.670,154.324
24,485.880,156.758
24,390.454,166.495
24,398.244,168.930
24,403.113,170.390
24,370.006,174.285
24,373.414,176.720
24,370.006,178.180
24,350.044,180.128
24,353.939,183.536
24,349.557,184.996
24,328.622,187.431
24,328.135,190.352
24,336.412,190.839
24,324.727,194.734
24,336.412,197.168
24,330.083,200.576
24,312.068,202.037
24,330.083,204.471
24,328.622,207.879
24,314.990,208.853
24,326.674,210.313
24,316.450,212.748
24,307.687,213.235
24,302.331,215.669
24,257.539,223.946
25,422.100,47.700
25,404.573,49.160
25,392.888,52.082
25,363.676,54.516
25,350.044,58.898
25,336.412,63.766
25,326.674,66.201
25,317.911,70.583
25,294.541,73.991
25,290.159,75.451
26,36.502,138.744
26,44.779,140.204
26,187.917,151.402
26,191.812,153.837
26,401.652,168.930
27,28.225,211.287
27,47.213,213.721
27,99.795,219.077
27,122.677,222.485
27,163.087,225.406
27,165.522,227.841
27,235.144,234.657
27,263.382,237.091
28,1.447,219.077
28,13.132,222.972
28,11.185,226.380
28,16.540,237.578
28,19.462,253.644
28,24.817,258.026
28,40.397,262.408
28,46.239,268.737
28,48.187,279.935
28,61.819,284.804
28,57.437,287.725
28,62.306,289.186
28,87.623,292.107
28,85.675,303.792
28,94.439,309.147
28,106.611,310.608
28,107.584,313.529
28,102.716,316.450
28,106.611,320.345
28,114.401,325.214
28,110.992,332.517
28,112.453,357.834
29,9.237,289.186
29,43.318,294.054
29,51.595,299.897
29,121.217,305.739
29,194.734,315.963
29,203.984,318.885
29,358.321,332.517
29,365.624,334.951
29,413.824,336.899
30,3.395,301.357
30,43.318,304.279
30,133.388,311.095
30,179.641,316.937
31,14.593,305.739
31,111.966,313.529
31,143.613,315.477
31,192.786,320.345
31,202.037,323.266
31,327.161,332.517
31,363.189,336.899
31,422.100,340.794
32,85.675,314.016
32,148.968,318.398
32,184.509,322.293
32,191.326,325.214
32,327.161,334.951
32,337.872,335.925
33,25.304,317.911
33,194.247,327.161
34,6.803,320.832
34,26.278,323.266
34,118.295,329.109
34,134.362,333.004
34,173.798,334.951
34,192.299,337.872
34,233.196,340.794
35,346.149,344.689
35,386.072,346.636
35,415.771,348.583
36,5.829,325.214
36,17.027,327.161
36,102.229,333.004
36,108.558,334.951
36,113.914,336.899
37,17.514,333.004
37,32.607,337.872
37,69.122,340.794
37,74.964,341.767
37,111.966,343.715
38,165.522,341.280
38,186.457,346.636
38,196.194,348.097
39,162.114,344.689
39,188.404,350.044
39,195.220,353.939
39,205.445,355.400
40,311.095,354.913
40,328.135,357.834
41,52.568,279.935
41,59.385,277.014
41,116.348,269.224
41,172.338,263.869
41,174.285,260.947
41,188.404,258.513
41,192.299,255.592
41,237.578,250.723
41,260.947,244.881
41,258.513,241.960
42,162.114,240.012
42,177.206,243.420
42,181.588,246.341
42,204.958,252.671
42,196.194,257.053
42,168.443,261.434
42,193.760,264.842
43,13.132,295.515
43,37.476,291.620
43,56.463,288.699
44,168.930,286.265
44,192.299,280.422
44,284.804,271.659
44,287.725,268.250
44,296.976,263.869
44,336.412,259.000
44,369.519,257.539
44,373.414,256.566
