ROI,X,Y
1,2.906,74.435
1,38.914,75.895
1,62.270,78.328
1,109.469,79.787
1,109.956,80.761
1,161.534,84.653
1,198.029,87.573
1,204.354,89.519
1,235.983,91.466
1,240.849,92.439
1,289.994,94.385
1,322.109,97.305
1,336.707,99.738
1,417.967,106.550
1,417.967,107.523
1,479.278,110.929
1,484.144,111.902
1,498.255,113.362
1,503.607,114.822
2,17.504,114.335
2,34.534,112.875
2,41.347,108.983
2,77.354,107.036
2,101.197,104.117
2,133.799,102.657
2,138.178,101.684
2,155.695,100.224
2,162.994,97.305
2,239.389,93.412
2,237.443,91.466
2,245.228,89.033
2,256.420,89.033
2,277.830,87.573
2,280.749,86.113
2,297.780,85.140
2,305.079,84.167
2,339.140,82.707
2,350.331,80.761
2,401.910,77.841
2,466.626,74.921
2,489.010,72.489
3,-0.013,267.125
3,10.692,266.151
3,46.213,262.745
3,51.565,258.852
3,75.895,256.420
3,88.546,254.473
3,122.607,253.013
3,128.446,251.067
3,146.937,250.580
3,173.213,248.634
3,201.435,245.228
3,208.247,243.282
3,214.573,241.822
3,218.466,240.362
3,250.094,238.416
3,289.994,235.496
3,326.975,233.063
3,344.492,230.144
3,346.439,229.657
3,348.385,227.711
3,358.117,228.197
3,370.282,226.738
3,373.688,224.305
3,396.071,221.385
3,403.856,219.925
3,439.864,216.519
3,467.113,213.600
3,483.171,210.680
3,489.983,208.247
3,497.282,206.301
4,0.473,309.458
4,12.638,307.512
4,48.646,304.105
4,68.596,302.159
4,87.573,299.726
4,115.308,298.753
4,123.094,296.807
4,166.400,292.914
4,173.213,290.967
4,198.029,289.994
4,245.228,285.128
4,251.554,284.155
4,291.454,281.722
4,301.672,278.316
4,336.220,274.910
4,409.209,267.125
4,477.331,262.745
4,495.822,259.339
5,0.960,331.354
5,50.592,328.435
5,95.845,326.002
5,108.983,323.569
5,175.159,319.676
5,237.929,316.270
5,245.228,315.297
5,262.745,313.837
5,327.462,310.918
5,330.381,309.458
5,396.071,304.105
5,407.749,302.159
5,467.600,299.239
5,500.201,296.807
6,16.044,289.508
6,35.021,286.102
6,57.891,283.182
6,90.492,280.262
6,110.929,276.370
6,126.987,274.423
6,140.125,271.017
6,177.105,268.584
6,202.895,265.178
6,235.496,260.799
6,245.228,258.366
6,300.699,253.987
6,341.086,248.148
7,47.672,83.680
7,63.243,81.734
7,70.056,80.761
7,106.063,79.787
7,110.929,78.814
7,148.397,76.868
7,192.676,73.948
7,197.056,72.975
7,234.523,70.542
7,269.557,69.082
7,321.136,66.163
7,331.354,64.216
7,346.439,64.216
8,3.393,44.753
8,17.017,41.347
8,19.937,39.400
8,61.297,37.454
8,122.607,34.048
8,168.833,31.128
8,177.105,29.182
8,188.784,28.695
8,193.649,25.289
8,252.040,23.343
8,260.312,21.883
8,299.726,20.423
8,319.190,17.990
8,342.546,17.017
9,10.692,32.102
9,32.588,30.642
9,50.105,25.776
9,58.377,24.316
9,97.305,21.397
9,162.508,18.964
