ROI,X,Y
1,1.447,29.683
1,16.052,31.631
1,58.893,34.552
1,107.576,37.960
1,195.693,44.775
1,240.968,48.183
1,303.769,51.591
1,416.227,59.867
1,463.936,63.762
1,530.632,70.090
2,91.998,63.762
2,180.114,71.551
2,225.876,75.932
2,232.205,77.393
2,339.307,84.695
2,478.054,97.353
2,527.711,103.195
3,5.342,127.049
3,33.091,130.944
3,85.182,137.273
3,101.734,140.681
3,170.377,145.549
3,200.074,150.904
3,276.020,157.233
3,286.730,161.614
3,432.292,171.351
3,448.357,175.733
3,512.132,181.088
4,3.395,144.089
4,180.601,152.852
4,365.596,163.562
4,524.303,171.351
4,534.040,173.298
5,-0.013,66.196
5,6.316,69.117
5,20.921,72.038
5,39.420,76.419
5,48.183,83.235
5,57.433,84.208
5,61.327,87.129
5,62.788,89.564
5,80.314,92.971
5,88.590,97.353
5,86.156,100.274
5,88.103,102.708
5,105.142,104.168
5,124.615,109.524
5,152.365,113.418
5,151.391,116.826
5,154.312,118.773
5,199.587,126.076
5,219.060,128.510
5,228.310,130.944
5,239.994,131.918
5,238.534,133.865
5,240.481,137.760
5,265.309,141.168
5,297.927,147.010
5,292.572,150.904
5,304.256,153.338
5,302.795,155.772
5,310.584,159.667
5,310.098,164.049
5,312.532,167.943
5,308.150,170.864
5,313.019,173.298
5,312.532,175.733
5,323.729,180.601
5,350.991,184.009
5,371.925,188.877
5,421.095,195.206
5,451.765,203.969
5,458.581,208.350
5,465.883,211.758
5,459.068,212.732
5,497.040,218.574
5,499.961,222.955
5,516.027,227.823
5,524.303,231.231
5,523.816,236.099
5,532.579,239.994
6,2.908,215.653
6,21.894,218.087
6,92.485,221.981
6,221.981,230.744
6,328.597,239.994
6,474.646,252.652
6,532.579,257.520
7,2.421,195.693
7,83.235,201.048
7,263.362,216.139
7,316.426,220.521
7,361.702,229.284
7,478.541,237.560
7,532.092,243.402
8,2.421,262.875
8,59.380,267.257
8,160.641,273.099
8,240.481,278.454
8,268.230,280.401
8,364.623,287.217
8,509.698,296.466
8,530.145,297.927
9,7.776,286.243
9,227.823,297.927
9,243.889,300.848
9,278.454,303.769
9,283.809,305.716
9,480.975,315.453
9,530.145,319.347
10,8.263,120.234
10,219.547,131.918
10,306.690,137.273
10,316.426,138.247
10,479.028,147.983
10,493.633,153.825
10,534.039,158.693
11,43.802,108.063
11,310.098,126.563
11,461.502,140.194
11,485.357,145.062
12,7.776,85.669
12,135.326,95.406
12,157.720,99.300
12,362.675,109.524
