ROI,X,Y
1,1.391,26.441
1,15.097,24.078
1,54.800,22.187
1,68.979,21.242
1,84.104,19.351
1,84.577,16.043
1,128.060,12.734
1,124.752,10.371
1,160.200,8.480
1,190.450,6.117
1,232.043,3.754
1,256.148,1.391
2,4.699,11.316
2,21.242,10.371
2,23.132,8.953
2,52.437,7.062
2,83.159,5.644
2,111.045,4.699
3,187.141,11.789
3,212.664,21.714
3,213.137,25.023
3,221.644,29.277
3,240.550,32.585
3,266.073,41.566
3,266.546,46.292
3,264.183,49.601
3,269.854,51.019
3,288.760,54.327
3,301.049,57.163
3,345.951,62.835
3,377.618,72.760
3,394.633,80.323
3,406.922,84.104
3,426.774,88.830
4,-0.500,136.568
4,28.804,139.876
4,50.073,142.712
4,145.075,147.911
4,153.111,149.802
4,244.332,156.419
4,295.850,160.200
4,365.802,163.981
4,395.579,166.345
5,0.918,244.332
5,8.953,242.914
5,74.651,238.187
5,88.358,235.824
5,126.170,232.988
5,166.345,229.679
5,183.360,226.844
5,280.725,221.644
5,334.607,218.809
5,371.946,216.918
5,414.957,214.082
6,5.172,326.572
6,86.467,322.318
6,93.084,320.900
6,214.082,312.393
6,264.183,304.830
6,289.233,299.631
6,302.467,296.323
6,319.010,293.960
6,323.264,292.542
6,360.603,290.178
6,365.329,289.233
6,422.992,284.979
7,0.918,341.697
7,12.734,336.498
7,34.003,333.189
7,39.202,331.771
7,76.542,327.990
7,88.358,326.100
7,118.135,324.682
7,132.314,322.791
7,178.633,315.701
7,187.141,310.975
7,219.281,309.084
7,269.854,303.412
7,288.288,299.631
7,340.752,298.213
7,351.150,297.268
7,391.325,294.432
7,407.868,290.651
7,426.774,289.706
8,1.391,236.296
8,12.734,239.132
8,28.804,243.859
8,29.749,249.531
8,48.183,252.839
8,51.019,254.730
8,66.616,257.566
8,73.233,260.402
8,86.467,263.710
8,93.557,266.546
8,119.553,274.108
8,160.200,279.307
8,169.653,281.198
8,181.469,284.034
8,207.465,290.178
8,232.988,296.795
8,244.332,298.686
8,275.054,305.776
8,292.069,310.502
8,330.353,315.701
8,362.021,322.318
8,368.165,327.518
8,379.981,330.353
8,413.539,336.970
8,427.719,339.334
9,16.988,133.259
9,51.019,130.423
9,68.034,128.060
9,87.412,126.642
9,172.489,118.135
9,198.012,114.826
9,233.461,109.154
9,283.089,104.900
9,291.596,103.010
9,373.837,97.338
9,420.156,92.139
10,1.863,294.432
10,42.511,301.522
10,54.327,303.885
