ROI,X,Y
1,2.335,274.038
1,16.984,272.621
1,39.665,271.203
1,45.808,269.313
1,88.335,266.951
1,103.456,265.533
1,143.148,263.643
1,185.676,261.753
1,190.401,259.390
1,223.478,257.500
1,229.148,256.082
1,270.731,253.720
1,274.511,252.302
1,287.742,250.885
1,295.302,248.522
1,316.566,247.577
1,342.082,245.687
1,347.753,244.742
1,369.962,243.324
1,426.192,240.489
2,59.038,293.885
2,87.390,291.522
2,95.896,290.104
2,126.137,288.214
2,129.918,286.324
2,144.566,286.324
2,180.005,282.544
2,202.214,279.709
2,205.049,275.929
2,213.082,273.566
2,227.731,272.148
2,266.951,270.258
2,280.181,267.896
2,296.720,266.005
2,304.753,265.060
2,329.324,262.698
2,346.808,261.753
2,421.940,254.192
3,1.390,284.434
3,65.654,281.599
3,110.071,279.236
3,154.489,276.401
3,200.797,273.093
3,215.918,269.313
3,229.148,267.423
3,235.764,266.005
3,283.016,263.643
3,309.478,260.808
3,331.214,258.918
3,337.830,257.500
3,348.698,255.610
3,398.786,252.302
3,413.907,250.412
3,425.720,246.632
4,70.379,305.698
4,144.093,312.786
4,157.797,317.038
4,189.929,321.764
4,208.357,324.126
4,282.071,330.269
4,311.368,334.522
4,418.159,344.918
4,426.192,345.390
5,76.049,303.808
5,141.258,309.005
5,172.918,313.731
5,290.104,323.181
5,343.973,327.907
5,357.676,330.742
5,410.599,336.412
5,427.610,336.885
6,261.280,323.181
6,301.918,327.434
6,317.984,329.797
6,346.335,334.049
6,397.368,338.775
6,423.830,341.610
7,422.412,308.060
7,409.181,309.005
7,386.500,311.841
7,374.214,314.676
7,343.973,316.566
7,348.225,318.456
7,326.016,323.181
7,319.874,324.599
7,277.346,330.742
8,6.588,129.918
8,66.599,136.060
8,169.610,145.511
8,234.819,152.599
8,278.291,159.214
8,350.588,167.247
8,418.159,175.753
9,4.698,170.082
9,105.346,174.335
9,140.786,178.588
9,283.962,188.511
9,355.786,195.126
9,412.489,197.962
9,424.775,199.379
10,197.016,162.995
10,217.808,167.720
10,240.016,171.027
10,244.269,176.698
10,255.610,178.588
10,319.874,184.258
10,347.753,188.038
11,4.698,151.181
11,13.203,148.346
11,33.995,144.566
11,46.280,141.731
11,81.720,138.423
11,114.797,130.863
11,142.676,128.027
11,170.082,122.357
11,210.247,117.632
11,221.588,112.907
11,235.291,110.544
11,243.797,108.181
11,285.852,101.093
11,314.203,97.313
11,393.588,89.280
11,402.093,86.918
11,417.214,84.082
12,18.401,77.940
12,97.313,82.192
12,104.874,84.082
12,190.401,89.280
12,204.577,90.225
12,288.214,95.896
12,300.973,97.786
12,403.984,101.566
12,409.654,103.929
12,427.610,104.401
13,428.555,102.038
13,403.983,104.874
13,408.709,107.709
13,400.676,107.709
13,353.896,111.016
13,346.335,112.434
13,326.016,116.214
13,304.753,117.159
13,279.236,119.522
13,270.258,121.412
13,264.588,121.885
14,0.918,33.522
14,70.379,28.797
14,80.775,27.379
14,89.280,23.599
14,106.291,21.709
14,106.291,17.929
14,105.346,16.511
14,127.082,14.621
14,146.929,12.258
14,152.599,10.841
14,189.456,5.170
14,236.709,2.808
14,248.522,0.918
15,1.863,2.808
15,26.434,-0.027
16,75.577,0.918
16,85.027,4.698
16,79.357,10.368
16,85.027,14.148
16,100.621,16.984
16,162.995,19.819
16,227.731,25.489
16,240.016,28.324
16,237.181,31.159
16,245.687,33.522
16,303.808,37.302
16,308.533,38.720
16,336.412,40.137
16,380.357,43.918
16,425.720,47.225
17,374.687,44.863
17,344.918,46.753
17,343.973,48.170
17,334.995,50.060
17,317.983,53.368
18,10.368,39.192
18,70.852,42.027
18,90.698,44.390
18,102.511,46.753
18,127.555,49.588
18,193.236,55.731
18,204.104,57.621
18,299.082,64.236
18,312.313,65.181
18,323.181,68.016
18,361.456,72.742
18,421.940,77.467
19,184.731,4.698
19,207.885,9.423
19,212.137,11.786
19,224.896,15.566
19,233.874,19.819
19,244.742,23.599
19,259.390,29.269
19,257.973,31.159
19,274.511,36.830
19,278.291,41.082
19,278.291,44.390
19,294.357,49.115
19,330.742,55.731
20,424.302,87.863
20,376.577,91.643
20,344.918,94.478
20,352.478,95.896
20,335.467,97.786
20,319.874,102.511
20,325.544,104.874
20,318.456,108.654
20,268.368,111.489
20,234.346,114.797
20,203.159,117.632
20,169.137,121.412
20,128.500,124.247
20,125.192,124.720
21,18.874,120.467
21,34.467,124.720
21,96.368,130.863
22,39.665,129.918
22,87.390,126.610
22,103.929,125.192
23,218.753,118.577
23,258.918,127.555
23,280.654,132.753
23,321.764,139.841
23,365.236,145.984
23,415.324,148.346
24,76.522,109.126
24,92.115,119.995
24,108.654,125.665
25,344.445,279.709
25,363.819,282.071
25,367.126,282.544
25,361.929,284.434
25,347.753,287.269
25,325.544,290.577
25,320.819,293.885
25,310.896,297.192
25,285.852,301.445
26,318.456,355.786
26,317.984,291.995
26,317.984,268.368
