ROI,X,Y
1,384,1
1,384,173
2,513,2
2,474,6
2,421,12
2,404,20
2,338,27
2,334,30
3,531,54
3,435,70
3,357,82
3,234,104
3,198,105
3,26,126
4,531,70
4,518,73
4,518,76
4,524,80
4,520,84
4,500,87
4,494,90
4,483,94
4,374,105
5,365,102
5,460,94
6,312,107
6,125,128
7,8,157
7,54,150
7,60,148
7,94,145
7,101,143
7,182,137
7,248,125
7,274,125
8,162,149
8,247,153
9,524,163
9,404,170
9,401,174
9,350,178
10,331,110
10,452,117
11,129,30
11,130,101
12,354,2
12,358,10
12,374,14
12,372,38
13,404,7
13,404,15
13,418,21
13,416,30
13,419,34
13,410,51
13,420,58
13,397,71
13,392,82
13,372,93
13,371,105
14,311,52
14,478,40
