ROI,X,Y
1,548,146
1,458,158
2,544,112
2,395,126
2,337,132
2,308,144
2,246,154
3,545,66
3,86,118
4,541,40
4,432,51
4,422,56
4,309,66
4,295,72
4,223,81
4,212,84
4,112,96
4,92,100
5,86,163
5,112,158
5,159,152
6,101,164
6,143,165
6,164,168
7,32,28
7,94,16
7,142,11
7,166,4
8,69,7
8,97,2
9,404,1
9,402,10
9,410,12
9,402,16
9,413,19
9,402,24
9,416,25
9,401,30
9,412,36
9,406,39
10,428,5
10,436,8
10,424,18
10,432,24
11,413,98
11,394,105
11,408,108
11,402,111
11,406,112
12,398,156
12,416,156
12,417,158
12,407,162
12,401,167
12,408,171
12,404,176
13,137,5
13,136,24
13,142,39
13,136,49
13,142,57
13,142,74
13,137,79
13,148,81
13,144,87
13,140,90
