ROI,X,Y
1,174,0
1,171,2
1,168,6
1,142,9
1,127,19
2,280,0
2,263,5
2,262,6
2,228,12
2,217,18
2,220,20
2,190,27
2,185,28
2,184,41
2,178,41
2,178,43
2,152,51
2,124,59
2,92,64
2,68,71
2,67,72
2,66,72
3,412,0
3,412,6
3,420,8
3,420,15
3,413,19
3,414,40
3,431,57
3,431,75
3,424,80
3,429,82
3,421,86
3,422,94
3,421,102
3,413,108
3,421,111
3,412,117
3,412,161
3,401,172
3,397,184
3,383,201
3,356,211
3,350,216
3,318,225
3,303,234
3,261,243
3,259,248
3,250,251
3,230,258
3,221,263
3,205,266
3,208,273
3,206,274
3,156,285
3,96,298
3,84,305
3,42,314
4,447,152
4,429,159
4,436,165
4,436,168
4,389,178
4,380,184
4,330,200
4,267,220
4,190,238
4,160,248
5,136,210
5,186,199
5,234,199
5,256,190
5,258,185
5,277,182
5,298,182
6,20,150
6,225,165
6,316,176
7,250,2
7,250,21
7,273,29
7,269,87
7,277,124
7,272,194
