ROI,X,Y
1,136,1
1,111,3
1,102,7
1,46,11
1,11,18
1,0,23
2,495,65
2,453,72
2,443,77
2,370,87
2,298,99
2,288,103
2,217,115
2,131,126
2,113,129
2,105,132
2,48,141
2,30,147
2,31,151
2,24,153
2,6,161
3,2,95
3,273,114
3,279,115
3,441,126
4,492,181
4,474,184
4,458,187
4,421,190
4,444,194
4,363,200
4,312,205
4,313,209
4,218,216
4,209,218
4,164,222
4,148,225
4,134,227
4,102,230
4,105,233
4,23,240
4,18,241
4,21,244
4,10,249
4,9,251
5,447,272
5,436,275
5,373,280
5,316,285
5,298,288
5,227,294
5,194,301
5,102,312
5,5,320
6,3,270
6,56,276
6,73,279
6,251,293
7,33,228
7,368,251
7,373,253
7,465,259
8,13,219
8,79,224
8,108,230
9,62,150
9,144,153
9,288,162
10,489,43
10,420,47
10,371,53
10,258,61
11,66,122
11,66,111
11,74,105
11,105,101
11,107,93
11,149,85
11,192,76
11,200,74
11,236,69
12,15,50
12,74,53
13,10,266
13,268,285
14,4,353
14,18,358
14,35,360
15,35,330
15,182,342
16,106,3
16,106,357
