ROI,X,Y
1,1,23
1,39,30
1,115,38
1,154,47
1,191,51
1,191,115
1,312,131
1,420,149
1,510,160
2,12,86
2,43,75
2,74,73
2,98,68
2,156,58
2,163,56
2,188,54
2,192,51
2,198,49
2,233,38
2,246,35
3,246,4
3,222,5
3,182,13
3,118,20
3,111,22
3,56,28
3,54,30
3,15,35
4,430,1
4,434,2
4,480,7
4,492,12
4,515,16
5,28,0
5,28,5
5,23,7
5,27,9
5,26,12
5,45,18
6,6,24
6,14,21
6,50,16
7,70,8
7,96,3
8,9,35
8,103,42
8,227,58
9,379,0
9,377,4
9,363,6
9,306,23
9,301,27
9,282,35
9,280,48
9,274,50
9,270,56
9,256,58
9,250,63
9,208,71
9,208,74
9,215,80
9,209,83
9,149,97
9,144,100
9,139,103
9,128,106
9,121,108
9,120,121
9,110,124
9,95,126
9,88,130
9,94,135
9,98,137
9,95,138
9,30,151
9,11,156
9,8,159
10,372,0
10,344,4
10,344,10
10,327,14
10,322,18
10,317,20
11,516,18
11,459,22
11,453,25
11,435,27
11,422,30
11,399,32
11,404,33
11,401,34
11,395,38
11,383,41
11,368,46
11,372,48
11,377,48
11,373,49
11,371,51
11,383,54
11,372,57
11,368,62
11,366,72
11,372,75
11,367,77
11,369,113
11,366,117
11,365,131
11,343,143
11,343,150
11,343,152
11,337,154
11,329,155
11,319,159
11,329,161
11,319,163
11,314,164
11,318,166
11,311,169
11,312,171
11,316,173
11,314,175
11,311,176
12,13,56
12,207,79
12,235,86
13,22,68
13,43,62
13,68,58
13,103,48
14,386,10
14,386,19
14,380,31
14,367,35
14,318,40
14,313,44
15,385,25
15,371,30
15,364,33
15,364,37
15,368,39
15,364,43
15,359,46
15,361,49
15,370,53
15,365,55
15,368,60
15,377,65
15,369,68
15,366,69
15,364,73
15,358,79
15,358,82
15,340,93
15,332,105
15,336,124
15,329,131
16,512,37
16,495,42
16,414,52
16,395,55
16,371,60
17,390,11
17,418,17
17,435,21
17,437,26
17,451,31
17,489,37
18,512,71
18,494,73
18,494,76
18,489,79
18,489,82
18,485,82
18,485,87
18,434,96
18,423,98
18,420,99
18,379,104
18,379,106
18,371,110
18,371,113
18,368,113
18,372,113
18,369,114
19,515,83
19,441,94
19,434,96
19,416,108
19,436,113
19,447,114
19,450,115
19,474,120
19,476,126
19,492,132
19,492,134
19,498,136
19,517,151
20,296,74
20,356,84
20,379,91
21,165,66
21,182,64
21,196,59
21,197,58
21,196,58
22,0,74
22,33,79
22,238,98
23,354,108
23,361,113
23,392,116
24,7,104
24,15,107
24,91,118
24,97,120
24,189,129
25,19,99
25,147,87
26,7,146
26,36,150
26,171,163
26,210,166
27,5,172
27,53,164
27,98,159
27,102,157
27,104,153
27,128,148
27,182,142
27,210,137
28,2,337
28,14,341
28,66,352
28,91,355
28,110,357
29,512,327
29,504,328
29,488,333
29,444,338
29,415,342
29,381,347
30,499,285
30,416,270
30,335,249
30,310,238
31,505,176
31,447,182
31,441,185
31,401,188
31,365,195
31,362,199
32,515,132
32,494,135
32,456,143
32,454,147
32,450,151
32,410,158
32,378,167
32,359,170
32,303,182
32,204,209
32,192,212
32,170,218
32,83,237
32,77,239
32,68,241
32,42,247
33,280,142
33,340,148
33,510,173
34,515,123
34,490,126
34,482,129
34,460,132
35,512,131
35,461,136
35,455,137
35,438,137
35,359,156
36,410,145
36,420,144
36,453,139
37,74,208
37,80,205
37,150,197
37,197,189
38,40,241
38,58,235
38,63,229
38,70,225
38,80,224
38,84,222
39,61,233
39,88,230
40,164,214
40,174,209
40,193,204
41,77,249
41,89,247
41,102,243
41,162,230
41,206,225
42,150,298
42,226,306
