ROI,X,Y
1,9,168
1,28,170
1,165,180
1,235,188
1,491,207
2,82,98
2,104,102
2,367,129
2,490,140
3,169,175
3,201,181
3,201,184
3,213,188
3,359,199
4,8,260
4,25,264
4,168,277
4,211,282
4,223,286
4,491,315
5,13,315
5,41,321
5,129,330
5,142,332
5,237,339
5,285,347
6,83,234
6,174,240
6,275,250
6,490,265
7,83,173
7,91,178
7,188,190
7,227,198
7,321,211
7,416,220
7,461,226
8,284,2
8,284,357
9,399,1
9,443,7
9,471,10
9,488,17
10,1,17
10,488,66
11,121,70
11,276,83
11,316,88
12,132,91
12,352,110
12,487,119
13,188,94
13,288,101
13,322,106
13,412,112
14,86,135
14,265,151
14,270,152
14,437,162
15,135,141
15,174,145
15,484,169
16,56,197
16,63,199
16,432,229
16,451,233
17,86,195
17,137,200
17,451,227
18,308,197
18,330,201
18,398,210
18,486,216
19,108,244
19,280,261
19,287,263
19,484,278
20,317,270
20,344,274
20,420,280
20,447,284
21,22,338
21,54,344
21,62,351
22,385,353
22,445,360
23,228,313
23,443,326
24,488,336
24,104,308
25,482,84
25,434,92
25,440,95
25,431,99
25,373,107
25,332,117
25,316,125
25,302,139
25,271,142
26,475,116
26,400,125
27,462,261
27,405,273
27,393,277
28,415,313
28,430,317
28,486,323
29,130,318
29,459,349
30,85,339
30,231,354
31,278,241
31,443,249
32,284,244
32,332,246
32,475,254
33,404,304
33,411,314
34,292,17
34,352,22
34,361,24
34,407,27
