ROI,X,Y
1,41.350,97.798
1,117.749,100.718
1,183.444,104.124
1,186.850,105.097
1,346.949,111.910
1,441.841,115.803
1,564.470,121.642
1,654.008,126.022
2,88.065,170.791
2,585.881,187.337
2,666.661,195.123
3,70.547,260.330
3,185.877,264.710
3,314.345,271.522
3,389.772,274.929
4,64.708,287.581
4,192.689,293.420
4,207.775,296.827
4,257.410,301.206
5,70.060,291.961
5,456.926,307.046
5,579.068,312.885
5,660.334,317.752
6,93.418,234.052
6,217.994,238.432
6,286.608,241.352
6,287.581,244.758
6,559.603,259.843
6,559.603,261.303
7,101.204,222.373
7,165.925,225.780
7,172.251,226.753
7,257.897,229.673
7,267.143,232.106
7,355.222,235.999
7,388.799,238.919
7,493.909,243.785
7,587.828,248.651
8,100.718,191.716
8,107.044,193.663
8,155.219,194.636
8,163.005,196.096
8,299.747,202.422
8,304.613,203.882
8,456.926,212.154
8,510.454,216.534
8,509.481,217.994
8,487.583,220.914
8,512.401,225.293
8,523.107,226.753
8,589.287,231.133
8,663.741,235.026
9,72.007,155.706
9,105.097,157.653
9,164.952,159.112
9,273.956,164.465
9,443.787,171.278
9,666.174,179.064
10,17.018,73.467
10,226.753,80.279
10,231.133,81.739
10,285.148,83.199
10,289.527,84.172
10,321.158,85.632
10,322.131,85.632
10,380.526,88.552
10,514.834,92.932
10,521.647,93.905
10,660.821,98.771
11,69.574,73.467
11,163.492,74.927
11,196.582,75.413
11,220.914,77.360
11,255.464,79.793
11,280.282,81.253
11,281.742,81.739
11,377.120,87.092
11,387.339,88.065
11,418.969,90.499
11,450.600,93.905
11,453.520,94.878
11,489.530,96.338
12,43.296,6.313
12,77.360,6.799
12,105.097,8.746
12,107.530,9.232
12,155.219,9.719
12,157.653,10.692
12,186.363,12.639
12,216.047,13.125
12,220.914,13.612
12,349.869,18.478
12,368.847,19.452
12,432.108,21.885
12,438.434,23.345
12,451.086,24.804
12,536.732,28.697
12,660.334,33.077
13,99.744,10.206
13,108.990,13.125
13,258.870,17.992
13,451.573,23.831
13,574.202,27.238
13,662.281,30.644
14,22.371,10.692
14,88.552,12.152
14,96.825,15.072
14,155.219,17.992
14,291.474,23.345
14,285.148,24.318
14,373.713,29.184
14,398.044,30.644
15,99.744,18.965
15,256.437,24.318
15,257.897,23.831
16,184.903,27.238
16,189.283,29.671
16,204.855,31.131
16,579.068,43.783
17,96.825,25.778
17,172.738,29.671
17,187.337,36.483
18,91.472,31.617
18,171.765,34.050
18,177.604,35.510
18,257.897,38.430
18,310.452,40.863
18,373.227,42.809
18,376.633,43.296
18,398.531,44.269
18,400.478,45.729
19,97.311,33.564
19,178.577,35.510
19,312.399,37.943
19,406.804,41.350
19,458.386,42.809
20,158.626,68.114
20,228.700,71.520
20,229.186,72.493
20,300.720,75.900
20,337.703,76.873
20,340.623,78.333
20,403.397,81.739
20,426.755,84.659
20,435.514,89.525
21,476.877,86.606
21,543.545,90.985
21,634.057,92.932
22,344.029,82.226
22,369.820,82.713
22,371.767,83.686
22,398.044,84.659
22,407.777,86.119
23,104.611,59.355
23,240.379,64.708
23,245.245,66.167
23,430.162,75.413
24,99.744,50.109
24,230.646,54.488
24,358.628,59.355
24,363.008,60.328
25,22.371,113.856
25,192.203,123.589
25,224.320,126.022
25,257.410,129.428
25,258.870,130.402
25,300.233,134.295
25,300.720,136.241
25,325.538,138.188
25,369.820,142.081
25,375.173,144.027
25,405.830,145.000
25,412.643,147.433
25,535.272,155.706
25,559.603,156.679
25,582.475,158.626
26,159.112,117.749
26,370.794,124.076
26,374.687,125.049
26,444.274,127.482
27,477.851,137.214
27,483.690,138.188
27,586.854,143.540
28,319.698,132.835
28,392.205,135.268
28,394.151,136.241
28,444.274,138.674
28,449.140,140.621
28,452.546,144.027
28,463.739,147.433
28,484.177,149.867
29,157.653,93.418
29,213.128,96.338
29,217.994,97.798
29,258.384,99.258
29,275.415,101.204
29,367.387,105.097
29,373.227,107.530
29,411.670,109.477
30,95.365,212.154
30,365.927,221.400
30,378.580,223.347
30,384.419,226.753
30,405.830,230.646
30,415.563,237.459
31,74.440,176.144
31,197.556,180.037
31,314.832,184.417
31,370.307,186.850
31,384.419,188.796
31,404.371,191.230
31,430.162,193.663
31,436.974,195.609
31,513.861,200.475
31,653.035,203.395
32,90.012,186.363
32,191.716,189.770
32,199.016,190.256
32,283.688,195.123
32,285.148,195.609
32,340.623,198.529
32,349.869,201.449
32,654.495,214.587
33,390.258,275.902
33,402.424,278.335
33,580.042,290.501
33,582.961,290.987
33,639.410,293.907
34,558.630,262.763
34,606.806,266.170
34,611.185,268.116
34,659.848,276.389
35,102.664,150.353
35,159.112,154.246
35,315.319,159.599
36,253.517,153.760
36,340.136,158.139
36,389.285,162.519
36,577.608,168.845
37,98.771,230.159
37,417.996,242.325
37,523.593,247.191
38,104.124,255.950
38,252.057,260.817
38,512.888,271.036
39,510.941,274.929
39,519.700,275.902
39,521.160,276.875
39,574.689,278.335
39,580.042,281.741
39,619.945,285.148
39,663.741,288.068
40,94.878,340.136
40,216.047,345.003
40,222.373,345.976
40,526.513,357.168
41,158.139,326.997
41,313.372,335.270
42,99.258,268.603
42,190.743,272.009
43,66.654,107.530
43,75.413,106.070
43,105.584,104.124
43,152.300,102.664
43,159.599,102.178
43,153.760,101.204
43,179.551,95.851
43,190.256,93.418
43,186.850,91.958
43,196.096,90.985
43,222.373,88.552
43,269.089,84.172
43,267.143,83.199
43,283.688,81.739
43,282.228,80.279
43,300.233,77.360
43,298.773,76.873
43,290.501,74.927
43,293.420,73.467
43,313.859,72.007
43,320.671,66.654
43,342.083,65.681
43,342.083,63.734
43,362.521,61.788
43,366.901,56.922
43,366.901,55.462
43,374.200,54.488
43,420.429,51.082
43,438.434,49.136
43,486.610,45.243
43,585.881,39.890
43,622.378,37.943
43,617.025,36.483
43,641.356,33.564
44,354.248,68.601
44,364.954,67.627
44,374.200,64.708
44,385.392,63.734
44,392.692,61.788
44,399.504,60.815
44,446.707,59.841
44,447.193,58.868
44,472.984,57.895
44,566.416,52.542
44,580.042,50.595
44,614.105,47.676
44,625.784,44.269
44,666.174,41.350
45,159.112,101.691
