ROI,X,Y
1,2.421,45.748
1,18.486,38.932
1,38.446,35.525
2,18.486,34.064
2,37.959,33.577
2,38.932,32.117
2,58.892,29.196
2,99.785,27.736
2,122.665,26.275
2,134.349,22.380
2,180.597,18.973
2,193.254,17.025
2,227.818,14.105
2,261.895,11.184
2,281.855,8.750
3,235.120,3.395
3,253.620,3.395
3,266.764,5.342
3,311.551,7.776
3,321.287,9.236
3,356.825,12.157
3,441.532,15.565
4,338.813,32.117
4,483.398,35.038
5,350.496,56.945
5,383.113,58.405
5,385.547,59.379
5,412.323,62.786
5,415.730,63.273
5,549.605,73.010
6,1.447,40.880
6,38.932,44.774
6,50.616,46.235
6,111.468,54.024
6,112.929,55.484
6,130.454,57.918
6,135.809,60.839
6,173.781,64.734
6,231.226,68.141
6,241.936,70.089
6,277.960,73.983
6,274.553,85.667
6,274.066,91.022
6,262.869,98.324
6,265.790,104.166
6,267.250,105.627
6,282.342,110.982
6,294.025,117.797
6,308.630,121.692
6,306.683,124.612
6,308.630,127.047
6,323.235,128.994
6,327.129,139.704
6,319.827,147.980
6,334.918,150.901
6,331.997,153.335
7,91.996,151.388
7,128.020,147.493
7,131.428,146.033
7,182.544,141.651
7,183.518,140.678
7,236.094,135.809
7,238.528,133.862
7,269.685,131.428
7,269.685,130.941
7,327.616,124.612
7,328.103,123.639
7,352.931,123.152
7,352.931,122.178
7,379.706,119.257
7,407.454,116.823
7,410.862,113.902
7,443.479,108.061
7,521.857,96.864
8,96.377,262.869
8,202.990,269.198
8,247.778,273.092
8,253.620,274.553
8,298.407,277.960
8,314.959,286.723
8,359.259,293.052
8,363.154,295.486
8,363.154,306.196
8,361.207,310.091
8,361.207,326.156
8,362.667,329.076
8,362.667,359.746
9,184.004,184.978
9,427.901,197.148
9,440.558,198.122
10,248.264,266.764
10,252.646,265.303
10,273.579,265.303
10,282.342,264.330
10,267.737,262.869
10,284.289,260.922
10,305.222,258.975
10,306.196,258.001
10,324.208,254.593
11,75.444,305.709
11,119.257,307.656
11,148.953,307.656
11,175.242,311.064
11,189.846,313.985
11,279.421,319.340
11,323.235,331.024
11,340.760,336.379
11,349.523,344.168
11,366.561,350.983
12,192.767,301.328
12,215.161,310.091
12,356.825,317.880
12,482.911,325.669
13,82.259,184.004
13,91.996,180.597
13,91.996,145.546
13,102.706,142.138
13,102.706,134.349
13,121.692,130.454
13,144.572,128.507
13,149.440,127.047
13,193.741,121.692
13,207.859,113.416
13,251.185,108.061
13,277.474,104.653
13,284.289,103.679
14,239.989,84.207
14,332.484,88.101
15,108.061,359.259
15,118.771,357.312
15,130.454,354.878
15,124.612,350.496
15,126.073,349.036
15,119.744,344.655
15,139.217,342.221
15,136.296,337.839
15,138.243,332.484
15,137.757,331.511
15,137.757,327.129
15,133.375,321.287
15,134.836,319.827
15,181.570,314.959
15,184.491,313.011
15,145.546,307.170
15,153.335,305.709
15,182.057,301.328
15,181.083,298.407
15,183.031,295.973
15,180.110,292.565
15,184.004,291.105
15,182.544,289.644
15,183.518,284.289
15,181.083,281.368
15,179.136,275.040
15,186.925,266.764
15,182.544,264.330
15,196.175,260.922
15,198.609,259.461
15,195.201,253.620
15,193.254,252.646
15,217.595,244.370
15,216.621,241.936
15,217.108,234.634
15,231.713,231.226
15,234.147,228.792
15,255.567,224.897
15,275.040,214.187
15,255.567,207.372
15,258.001,203.477
15,249.238,199.583
15,262.869,197.148
15,258.975,193.254
15,269.198,185.952
15,268.224,180.597
15,276.987,177.676
15,284.776,175.728
15,293.539,172.321
15,293.539,170.860
15,287.210,169.400
15,293.052,167.939
15,306.683,165.505
15,309.604,162.098
15,308.630,158.690
15,321.774,153.822
15,331.024,152.361
15,336.379,150.414
15,350.983,147.980
15,400.152,137.270
15,400.152,135.322
15,440.071,130.454
15,468.794,125.586
15,484.372,123.639
15,490.214,121.692
15,531.593,117.797
15,548.632,110.495
15,547.171,107.087
15,551.066,103.679
15,546.198,97.837
15,545.711,86.641
15,550.579,83.720
16,280.395,214.187
16,307.656,208.832
16,307.656,205.911
16,285.263,196.662
16,284.289,195.201
16,300.354,190.820
16,298.407,187.412
16,284.289,186.438
16,306.683,184.978
16,310.577,180.110
16,308.143,179.623
16,309.117,178.649
16,304.736,174.755
16,313.011,172.808
16,330.050,170.860
16,354.391,168.913
16,356.338,166.479
16,368.022,165.992
16,392.363,159.663
16,442.505,154.308
16,469.767,142.138
16,477.069,140.191
16,498.976,137.757
16,510.660,135.809
16,507.739,134.349
16,526.725,130.454
16,523.317,128.507
16,548.632,124.126
17,422.546,137.270
17,442.992,136.783
17,451.755,131.915
17,476.583,126.073
17,521.370,123.639
17,523.804,122.178
17,541.816,121.205
18,240.475,216.134
18,251.672,217.108
18,271.632,221.976
18,281.368,223.437
18,284.776,225.871
18,334.918,226.358
19,267.250,232.686
19,272.605,238.041
19,287.210,243.883
19,300.841,246.317
19,307.656,252.646
19,307.170,290.618
19,310.090,300.354
19,307.656,325.182
20,327.616,131.915
20,337.352,136.296
20,343.681,139.704
20,331.024,147.493
20,331.024,165.018
20,319.827,171.347
20,321.287,174.755
20,316.419,175.728
20,324.208,179.623
20,337.352,181.570
20,351.470,184.491
20,351.957,207.859
20,414.270,227.818
20,413.783,233.660
20,419.625,240.962
20,434.229,244.857
20,451.755,253.620
20,464.899,257.027
20,470.254,260.922
20,467.333,268.224
20,466.359,282.829
20,464.899,284.776
20,467.820,288.670
20,464.899,292.078
20,469.280,294.999
20,466.846,295.973
20,474.148,302.301
20,479.017,306.196
20,459.057,310.091
20,468.307,313.011
20,465.873,314.959
20,461.978,317.393
20,481.451,321.774
20,502.871,331.024
20,546.198,334.918
20,551.066,340.273
20,539.382,341.734
20,530.620,343.681
20,535.974,345.141
20,516.989,349.523
20,498.489,359.746
21,461.978,317.393
21,450.781,322.261
21,454.676,326.156
21,450.294,329.563
21,415.730,333.945
21,417.677,338.813
21,411.349,341.247
21,405.020,343.681
21,407.941,347.576
21,406.967,353.904
21,370.943,359.259
22,419.138,359.259
22,437.150,357.312
22,442.992,355.851
22,475.609,351.470
22,482.424,350.010
22,497.029,346.602
22,498.003,345.628
22,551.553,343.681
23,532.567,348.062
23,542.303,354.878
23,537.435,359.746
24,73.496,210.293
24,133.862,214.187
25,237.554,130.454
25,259.461,124.612
25,280.395,124.126
25,291.591,120.718
25,327.129,118.771
26,239.502,123.639
26,254.593,129.481
26,243.396,132.402
26,254.593,132.888
26,251.672,136.296
26,245.830,139.704
26,271.145,144.572
26,276.013,148.953
26,273.092,155.282
26,279.421,161.611
26,269.198,167.453
26,277.960,169.400
26,276.987,174.268
27,282.829,129.481
27,279.908,132.402
27,270.171,137.270
27,254.106,143.112
27,241.449,147.006
27,247.778,148.953
27,255.567,151.388
27,240.475,153.822
