ROI,X,Y
1,0.474,2.421
1,97.837,6.315
1,248.264,11.184
1,253.620,13.131
1,404.047,21.894
1,420.598,23.354
1,543.764,29.196
2,171.834,0.474
2,307.170,6.315
2,309.604,7.776
2,551.553,22.867
3,2.421,39.906
3,37.959,43.801
3,110.495,53.537
3,140.678,60.839
3,228.305,68.141
3,239.502,70.089
3,273.579,73.983
3,277.960,75.931
4,128.507,56.458
4,183.518,61.326
4,197.635,63.760
4,253.620,68.141
4,292.565,73.496
4,294.999,73.983
4,320.314,76.904
5,40.393,71.549
5,81.772,74.957
5,94.917,78.365
5,348.549,89.075
5,353.904,91.996
6,0.960,163.071
6,27.736,166.479
6,115.850,170.373
6,118.284,172.808
6,241.936,181.083
6,245.830,183.518
6,271.632,186.438
6,282.829,187.899
6,281.368,189.359
6,309.117,192.280
6,350.496,197.149
6,355.851,200.069
6,448.347,209.319
6,472.201,213.214
6,475.122,214.187
6,493.621,215.648
7,-0.500,205.424
7,241.936,216.621
7,312.525,221.003
7,368.509,224.897
7,396.744,227.331
7,415.243,230.252
7,459.544,233.173
7,499.463,236.581
8,94.430,260.922
8,115.850,263.356
8,224.897,270.171
8,232.686,272.605
8,243.883,272.605
8,245.344,274.553
8,298.894,277.960
9,102.706,303.762
9,115.850,304.736
9,117.310,306.196
9,157.716,308.143
9,289.644,313.011
9,295.486,313.985
9,423.519,320.801
9,504.331,324.208
10,79.825,286.723
10,103.679,289.644
10,115.363,294.025
10,128.994,295.973
11,81.772,294.025
11,226.844,300.841
11,461.978,311.064
12,1.934,250.212
12,19.460,253.620
12,90.048,259.461
12,237.068,266.764
12,255.567,267.737
12,300.841,270.171
12,306.683,272.119
13,354.878,273.579
13,404.533,276.013
13,411.836,276.987
13,429.361,279.421
13,445.913,283.802
13,465.386,287.210
14,405.020,249.238
14,439.584,253.620
14,446.400,255.567
14,447.373,258.488
14,465.386,262.869
15,62.300,28.709
15,110.982,32.604
16,32.117,17.999
16,274.066,28.709
16,294.999,28.709
17,284.289,45.748
17,309.604,48.669
17,418.651,59.866
17,440.558,61.813
17,444.939,62.786
18,352.444,53.537
18,362.180,56.458
18,409.402,60.839
18,424.493,62.786
18,448.834,65.707
18,480.477,69.115
19,382.140,71.062
19,377.758,73.983
19,384.087,75.931
19,401.612,76.904
19,404.047,77.878
19,402.586,79.338
19,403.560,81.772
19,426.927,84.207
19,449.808,85.667
19,454.676,87.614
19,466.359,90.048
19,489.240,93.943
19,481.938,96.377
19,485.345,99.785
20,368.996,91.022
20,522.344,98.811
21,278.447,176.215
21,327.616,180.110
21,350.010,182.544
21,365.588,186.925
22,354.878,193.741
22,440.071,197.635
22,454.189,198.122
23,368.022,177.676
23,373.864,181.570
23,414.757,183.518
23,419.138,185.465
23,520.883,193.254
24,82.259,153.822
24,97.837,149.440
24,126.560,147.980
24,137.757,146.033
24,173.294,144.085
24,188.386,140.191
24,233.173,136.783
24,231.226,134.349
24,240.962,133.375
24,259.948,132.402
24,272.119,130.941
24,265.790,129.967
24,308.143,125.099
24,308.143,124.126
24,347.089,121.692
24,351.470,118.771
25,26.275,111.468
25,83.720,115.363
25,87.127,118.771
25,321.774,128.020
25,325.182,128.994
25,344.655,129.967
25,356.338,131.428
25,491.187,138.730
26,71.062,107.574
26,127.533,110.495
26,138.730,112.929
26,255.567,115.363
27,144.572,139.217
27,208.345,134.836
27,233.660,133.375
27,243.883,128.994
27,236.581,127.047
27,264.816,124.126
27,295.973,122.665
27,384.087,118.771
27,392.850,116.823
27,410.862,113.902
27,418.164,112.442
27,438.611,111.955
27,454.189,107.087
27,464.412,105.627
27,479.990,103.192
27,487.779,101.732
27,550.579,97.351
28,408.915,116.823
28,434.229,114.876
28,434.716,112.929
28,450.294,110.982
28,452.242,109.521
28,491.187,107.087
28,492.648,105.140
28,486.806,101.732
28,489.240,100.758
28,497.516,99.785
28,499.463,99.298
28,529.159,94.917
29,269.198,130.941
29,322.748,126.560
29,359.746,124.612
29,352.444,122.178
29,367.048,120.231
29,364.614,119.257
29,372.890,117.310
29,388.468,114.876
29,429.361,110.008
29,434.229,108.547
30,120.718,147.980
30,154.308,151.874
30,154.795,153.822
30,192.280,155.769
30,182.544,157.716
30,187.899,159.663
30,257.027,164.532
31,17.512,196.175
31,170.373,185.952
31,260.435,180.597
31,273.092,179.136
31,422.059,171.347
31,424.006,170.373
31,530.620,162.098
32,67.655,199.583
32,102.706,202.990
32,105.140,203.964
32,269.198,212.240
32,274.553,213.700
32,352.931,219.542
33,275.526,174.755
33,289.644,172.321
