ROI,X,Y
1,-0.013,112.957
1,123.183,118.313
1,124.157,119.287
1,147.530,121.235
1,205.963,125.618
1,219.597,126.591
1,215.215,130.487
1,242.970,132.435
1,245.892,133.896
1,308.220,136.330
1,322.341,139.252
1,337.437,140.226
1,342.306,142.174
1,369.575,146.556
1,391.974,147.530
1,397.817,149.965
1,455.276,155.808
1,517.118,161.164
2,7.778,154.834
2,26.769,156.295
2,61.828,160.190
2,92.019,167.981
2,119.774,170.416
2,132.922,174.312
2,144.121,176.259
2,157.269,181.129
2,179.668,185.024
2,207.910,189.407
2,220.084,193.302
2,239.075,196.224
2,246.866,198.659
2,268.291,202.067
2,275.595,204.502
2,293.125,205.963
2,331.593,211.319
2,330.132,214.241
2,337.437,217.162
2,337.437,219.597
2,356.914,222.519
2,369.088,224.466
2,390.513,226.901
2,405.121,229.823
2,407.069,231.284
2,418.269,235.666
2,428.007,236.640
2,427.521,256.604
3,17.517,210.832
3,36.994,211.806
3,49.655,214.241
3,87.149,216.675
3,103.705,219.110
3,131.461,221.545
3,186.485,225.927
3,220.571,231.284
3,310.655,240.049
4,79.845,203.041
4,172.364,209.371
4,180.642,211.319
4,184.050,218.623
4,184.537,223.979
5,175.772,223.979
5,220.571,226.414
5,261.961,229.823
5,296.534,232.744
6,277.543,229.336
6,335.489,234.205
6,342.793,234.692
7,223.006,220.084
7,232.257,221.545
7,413.399,233.718
8,403.660,238.588
8,418.756,240.535
8,501.049,246.379
9,107.601,2.422
9,107.114,3.882
9,182.590,10.213
9,193.302,11.674
9,281.438,17.030
9,283.873,18.004
9,322.828,19.951
9,338.897,21.412
9,336.950,22.386
9,340.358,24.334
9,359.836,28.229
9,485.466,38.455
9,488.875,38.942
9,517.604,41.864
10,14.108,313.090
10,66.211,316.011
10,101.271,318.446
10,120.261,319.420
10,148.017,323.802
10,154.347,325.750
10,149.478,327.211
10,158.243,328.672
10,176.259,330.132
10,209.371,331.593
10,217.162,332.567
10,240.049,334.515
10,257.578,337.437
10,255.144,340.845
10,284.847,343.280
10,311.142,345.715
11,10.700,312.116
11,233.231,300.916
11,239.075,299.455
12,26.282,203.041
12,142.660,200.606
12,145.095,199.146
12,180.642,196.711
12,184.050,193.302
12,453.328,178.207
13,6.317,147.043
13,133.409,142.174
13,145.095,141.200
13,269.265,135.356
13,329.159,131.948
13,344.741,130.487
13,505.918,122.209
14,15.569,131.461
14,254.170,123.670
14,255.144,123.183
14,386.618,117.340
14,390.026,115.879
14,437.259,113.444
14,515.170,111.009
15,8.752,65.237
15,36.507,63.776
15,189.407,55.011
15,201.093,53.063
15,341.332,45.759
15,347.662,44.785
15,497.153,37.481
16,10.213,15.569
16,90.558,12.160
16,130.974,9.239
16,210.832,4.856
16,299.455,1.935
16,318.446,-0.013
17,8.752,4.856
17,116.366,0.474
18,285.821,-0.013
18,291.664,2.909
18,297.994,5.830
18,328.672,8.265
18,337.437,11.187
18,385.644,15.569
18,396.356,18.004
18,424.112,23.847
18,441.642,29.203
18,480.597,34.073
18,489.362,36.994
18,518.091,39.916
19,407.556,0.474
19,435.798,4.369
19,450.407,5.830
19,456.737,10.700
20,108.088,45.272
20,119.774,44.785
20,435.312,33.586
21,30.664,48.194
