ROI,X,Y
1,3.754,39.207
1,40.626,40.626
1,45.825,41.098
1,91.205,42.516
1,429.191,57.643
2,89.314,26.444
2,123.822,27.390
2,151.239,32.117
2,187.165,36.844
3,216.473,0.445
3,216.945,3.754
3,243.417,5.645
3,257.126,8.009
3,261.380,10.372
3,284.070,11.790
3,293.524,15.099
3,291.160,21.245
3,295.888,24.553
3,305.814,25.499
3,304.869,40.626
3,309.596,43.934
3,351.194,47.243
4,276.034,5.645
4,315.741,8.009
5,199.455,61.897
5,217.418,66.152
5,244.362,68.988
5,266.580,72.297
5,274.616,74.660
5,279.815,77.969
5,304.396,81.278
5,308.651,84.587
5,322.359,86.951
5,331.813,90.733
5,337.959,93.569
5,380.975,101.605
5,384.757,104.441
5,391.374,105.386
5,408.392,106.805
5,422.573,110.114
5,431.082,112.004
6,11.318,181.492
6,135.640,185.274
6,285.015,193.783
6,429.664,203.710
7,1.864,170.620
7,17.936,169.675
7,45.825,167.784
7,53.389,160.221
7,53.389,155.493
7,61.425,153.130
7,113.895,146.985
7,148.403,143.203
8,-0.500,82.697
8,43.462,85.060
8,56.225,87.896
8,71.352,88.842
8,79.388,93.569
8,80.333,94.041
8,88.369,96.405
8,89.787,99.714
8,78.915,103.968
8,54.807,106.805
8,56.225,112.950
8,51.971,114.368
8,25.026,116.731
8,25.026,118.150
8,16.045,120.513
8,17.463,121.459
8,3.282,124.767
9,10.372,102.078
9,129.495,106.332
10,202.764,49.134
10,207.491,55.279
10,215.527,57.170
10,259.016,60.479
10,331.341,63.316
11,8.481,259.489
11,24.081,258.071
11,47.243,255.707
11,67.097,253.817
11,87.896,247.671
11,127.131,244.835
11,129.022,243.417
12,1.864,279.343
12,24.553,275.561
12,29.753,274.143
12,68.043,270.361
12,87.424,267.998
12,122.877,264.689
12,190.947,261.380
12,200.401,259.016
12,293.524,255.707
12,294.469,254.762
12,317.159,254.289
12,329.922,251.926
13,45.353,349.776
13,78.915,346.940
13,92.151,344.576
13,119.568,343.158
13,176.293,339.849
14,173.929,336.068
14,189.528,334.177
14,190.474,331.813
14,187.165,329.922
14,189.528,326.614
14,233.017,318.578
14,245.308,318.105
14,242.472,316.214
14,256.180,313.850
14,270.834,312.432
14,280.288,309.123
14,277.925,308.178
14,299.669,306.287
14,321.414,304.396
14,324.250,302.978
14,331.341,302.978
14,324.723,299.197
14,329.922,293.524
14,380.975,290.688
14,388.065,287.852
14,385.702,282.179
14,429.191,276.034
15,222.145,306.287
15,208.909,299.669
15,210.328,295.415
15,220.254,291.633
15,242.472,288.324
15,260.435,285.961
15,313.378,280.761
15,386.647,270.834
15,386.647,206.073
15,398.938,203.237
15,431.555,201.346
16,202.291,319.996
16,210.800,311.960
16,210.800,310.541
16,223.091,307.705
16,218.836,305.342
16,228.290,302.505
16,251.926,298.724
16,252.871,295.888
16,275.088,291.633
16,278.870,277.452
16,277.452,276.507
16,291.160,273.670
16,316.214,271.779
16,313.378,269.889
16,316.687,264.689
16,313.850,260.435
16,318.578,256.180
16,316.214,253.817
16,330.395,251.453
16,349.303,249.562
16,353.558,244.835
16,391.847,232.072
16,387.593,229.236
16,407.447,226.400
16,406.974,225.927
16,417.373,223.563
16,415.483,222.145
16,428.246,218.836
16,428.718,217.418
16,423.519,215.055
16,429.664,211.746
16,431.555,209.855
17,95.460,347.413
17,156.912,351.667
17,162.584,353.558
17,179.602,354.976
17,186.219,359.230
18,174.402,351.667
18,195.201,347.885
18,217.418,345.522
18,221.200,341.267
19,2.336,354.503
19,51.971,358.758
19,60.952,359.230
20,53.861,356.394
20,59.061,354.976
20,75.606,350.722
20,76.551,348.831
21,1.391,294.942
21,28.335,288.324
21,26.917,286.906
21,27.862,285.961
21,39.680,283.124
21,41.098,281.234
21,64.261,279.343
21,66.624,277.925
21,64.261,276.034
21,83.642,273.670
21,91.678,272.725
22,11.790,285.488
22,27.862,287.852
22,136.112,293.997
23,12.263,174.402
23,122.877,171.093
23,127.604,169.675
23,212.691,164.002
23,306.287,161.639
23,307.233,159.275
23,340.795,155.493
23,430.136,149.348
24,216.000,210.800
24,219.782,212.218
24,319.050,217.418
25,132.331,233.017
25,100.659,235.381
25,96.405,237.745
25,130.440,239.163
25,120.040,240.108
25,115.786,241.999
25,133.276,243.890
25,151.712,245.781
26,0.445,265.162
26,21.717,263.743
26,90.260,259.016
27,259.489,325.195
27,237.272,321.886
27,261.853,319.996
27,296.360,317.632
28,1.391,8.954
28,29.281,2.809
28,55.752,0.918
29,6.591,1.391
29,6.591,92.623
29,1.864,93.569
29,5.172,99.241
29,4.700,111.059
29,4.700,149.821
29,7.063,154.548
29,3.754,156.439
29,9.427,163.529
29,5.172,165.420
29,5.172,243.890
29,6.118,251.453
29,6.118,322.832
29,4.227,342.686
29,8.009,345.995
30,27.862,357.812
30,27.862,231.127
30,24.553,221.672
30,28.335,155.966
30,23.608,142.730
30,29.753,114.841
30,27.390,103.023
30,27.390,14.627
31,9.427,18.408
31,41.571,9.427
32,26.444,22.663
32,66.624,24.553
32,80.333,31.644
33,39.680,1.391
33,39.680,355.921
34,57.643,354.503
34,57.643,4.700
35,53.861,26.917
35,62.843,34.008
35,70.879,38.262
35,68.043,77.497
35,69.933,82.224
35,65.206,90.733
35,60.479,92.623
36,44.880,111.532
36,56.225,100.187
36,69.461,95.460
36,70.879,92.151
37,38.262,79.388
37,68.043,74.188
37,104.441,71.824
38,89.314,0.445
38,92.151,5.172
38,87.424,9.900
38,89.787,16.990
38,89.787,250.980
38,91.205,260.434
38,91.205,359.230
39,131.385,0.918
39,131.385,359.230
40,106.805,180.547
40,110.586,176.765
40,129.967,172.038
40,134.222,170.147
40,127.131,165.420
41,122.404,157.857
41,139.894,151.239
41,148.876,149.821
42,140.367,324.250
42,173.456,327.086
42,199.455,332.286
42,245.308,335.595
42,313.850,344.104
43,145.567,3.754
43,145.567,198.510
43,133.749,220.254
43,136.112,228.763
43,144.621,234.908
43,144.621,358.758
44,187.638,0.918
44,188.583,34.953
44,187.165,50.552
44,189.528,56.698
44,188.110,74.188
44,188.110,80.806
44,189.056,91.678
44,187.165,110.114
44,189.056,151.239
44,187.638,158.330
44,185.747,163.529
44,188.110,167.311
44,185.274,171.093
44,188.110,174.402
44,178.656,185.274
44,175.820,204.655
44,171.566,211.273
44,158.802,216.945
44,163.529,220.727
44,159.748,238.690
44,164.475,244.362
44,164.475,267.998
44,156.439,277.452
44,162.584,285.961
44,159.748,302.505
44,159.275,311.014
44,164.475,315.741
44,175.820,319.523
44,161.166,323.305
44,159.275,332.286
44,159.275,345.522
44,163.529,358.758
45,161.639,287.379
45,176.765,293.997
45,176.293,302.033
45,178.183,306.287
45,173.929,311.487
45,172.984,319.996
45,174.874,322.832
45,167.784,326.614
45,159.748,328.977
45,157.857,330.395
45,174.402,334.177
45,174.874,345.995
45,173.456,351.667
46,198.037,-0.027
46,196.146,142.730
46,196.146,255.707
46,197.564,345.995
46,200.873,354.976
46,199.455,356.867
47,330.868,-0.027
47,330.868,164.475
47,332.759,173.929
47,332.759,222.618
47,335.122,227.818
47,329.450,244.362
47,332.759,248.144
47,332.759,355.449
48,315.269,359.703
48,336.068,356.867
48,332.759,354.031
48,395.629,350.249
48,398.938,349.776
49,382.866,347.413
49,427.773,345.049
50,317.159,0.918
50,317.159,70.406
50,319.996,79.388
50,314.323,81.278
50,319.523,82.697
50,319.523,103.496
50,317.159,106.805
50,319.523,110.586
50,319.523,141.785
50,318.578,148.403
50,320.468,160.693
50,321.886,163.529
50,321.886,175.820
50,319.523,186.219
50,319.523,211.746
50,320.941,219.309
50,319.996,226.872
50,319.996,236.799
50,323.777,240.581
50,327.559,248.617
50,316.687,254.289
50,320.468,257.598
50,320.468,290.688
50,319.050,294.469
50,323.777,299.197
50,319.523,309.123
50,319.523,352.140
51,213.164,69.461
51,216.945,83.642
51,218.364,86.951
51,216.000,94.041
51,218.836,99.714
51,218.836,211.273
51,206.073,224.509
51,209.382,230.181
51,216.473,242.944
51,216.000,250.035
51,206.073,255.235
52,217.418,219.782
52,217.418,349.303
52,221.200,356.394
53,199.928,155.493
53,212.218,161.166
53,213.164,171.093
53,214.109,193.310
53,241.999,198.983
53,262.325,205.128
53,280.288,210.328
54,222.618,249.090
54,235.381,243.417
54,241.999,233.490
54,342.213,228.290
55,204.182,151.712
55,212.218,150.766
55,213.636,147.457
55,221.672,143.676
56,221.672,3.282
56,217.891,40.153
56,219.782,54.334
56,224.036,60.479
56,224.036,68.043
56,232.072,77.497
56,233.017,80.806
56,241.999,84.115
56,230.181,87.896
56,236.799,91.205
56,245.781,93.569
56,240.581,94.514
56,260.435,96.878
56,264.689,101.605
56,257.126,103.023
56,266.107,104.914
56,265.634,106.332
56,260.435,110.586
56,263.743,120.040
56,278.870,120.986
56,288.797,125.240
57,251.926,143.203
57,254.289,136.585
57,261.853,133.749
57,274.616,131.858
57,289.742,128.076
57,309.596,127.131
58,158.802,310.069
58,166.838,309.123
58,199.455,306.287
59,213.164,302.033
59,219.782,299.669
59,265.162,297.306
59,269.416,296.360
59,294.469,296.360
60,231.127,0.445
60,228.290,21.717
60,231.127,25.026
60,230.181,27.390
60,233.490,35.898
60,233.490,42.516
60,238.217,49.607
60,235.381,51.498
60,243.890,53.389
60,241.053,55.279
60,235.854,56.225
60,245.781,61.897
60,245.781,64.261
60,240.108,73.242
60,242.944,75.606
60,240.581,78.915
60,240.581,106.332
60,244.835,108.695
60,274.143,111.532
60,277.452,112.477
60,312.905,114.841
61,224.036,110.586
61,238.217,114.368
61,255.707,115.313
61,267.525,118.150
62,254.289,130.440
62,280.288,137.531
63,292.106,129.495
63,294.942,132.331
63,283.597,136.112
63,291.633,140.367
63,294.469,144.148
63,329.450,148.403
64,209.382,110.586
64,224.036,116.259
64,237.745,117.204
64,250.980,120.513
65,234.436,118.150
65,231.127,122.404
65,231.127,124.767
65,229.709,127.131
65,238.690,130.440
65,235.854,136.112
65,237.745,141.312
65,232.072,145.567
65,232.072,147.457
65,230.181,148.403
65,241.526,151.712
65,238.217,154.548
65,236.326,156.912
65,235.381,162.584
65,222.145,171.566
66,222.145,145.567
66,237.745,146.985
66,241.053,147.457
66,254.289,148.876
66,267.052,150.766
66,268.943,152.184
66,294.942,152.657
67,229.709,120.513
67,268.943,123.822
67,274.143,125.713
68,234.908,163.057
68,242.472,170.147
68,238.217,173.456
68,243.417,178.183
68,243.890,181.020
68,239.163,184.801
68,232.545,188.110
68,234.436,190.001
68,240.108,194.728
68,240.108,198.037
68,232.545,198.037
68,233.490,199.928
68,229.709,202.764
68,230.654,210.327
68,227.818,213.164
68,243.417,218.836
68,241.999,224.036
68,233.490,229.236
68,237.745,234.908
68,241.999,238.217
68,228.290,246.253
68,236.326,249.562
68,258.071,252.871
69,223.563,214.109
69,247.199,216.000
69,281.234,221.200
69,302.978,223.563
70,237.272,201.346
70,244.362,207.491
70,237.272,215.527
70,229.709,220.727
70,243.417,227.345
70,244.362,232.072
70,237.272,243.890
70,242.472,248.144
70,236.326,253.817
70,238.690,261.853
70,233.963,266.580
70,238.217,278.870
70,237.745,291.160
70,240.581,293.997
70,239.635,327.086
70,242.944,329.450
70,241.526,338.431
70,238.217,341.740
70,243.417,346.467
70,243.417,358.758
71,207.019,288.324
71,237.745,285.015
71,246.253,282.179
72,233.490,267.998
72,242.472,273.670
72,244.362,278.870
73,216.945,274.616
73,260.907,271.307
74,328.032,262.798
74,242.944,265.162
75,256.653,355.449
75,254.289,339.849
75,258.544,324.250
75,254.762,315.741
75,256.653,308.178
75,254.289,298.251
75,259.962,293.997
75,256.653,287.852
75,256.653,222.618
75,248.144,217.418
75,244.835,207.019
76,221.200,203.710
76,236.799,205.600
76,245.781,208.437
76,258.544,209.382
76,262.798,211.273
76,311.014,215.055
77,260.435,326.614
77,270.834,335.595
78,244.362,332.759
78,348.358,331.341
79,220.254,51.498
79,231.599,47.243
79,245.781,44.880
79,245.781,43.934
79,232.072,40.153
79,230.181,35.898
79,241.526,27.862
79,241.999,15.572
79,244.362,10.372
80,250.035,143.203
80,250.508,150.294
80,240.108,154.075
80,237.745,155.966
80,254.762,159.748
80,256.180,172.984
80,266.580,175.820
80,264.689,179.602
80,264.216,186.692
80,259.489,193.310
80,259.016,201.346
80,261.853,207.019
80,261.853,221.672
80,259.489,228.290
80,257.126,232.072
81,274.616,1.391
81,275.561,6.118
81,278.397,8.481
81,272.725,10.372
81,272.252,13.209
81,268.943,19.354
81,264.689,28.808
81,261.380,31.171
81,266.580,34.008
81,265.162,41.098
81,253.817,44.880
81,265.162,46.298
81,259.489,55.752
81,262.325,66.152
81,254.762,69.461
81,256.180,73.242
81,246.253,77.024
81,254.762,79.388
81,254.762,83.642
81,250.508,87.424
81,242.944,91.678
82,248.617,82.697
82,265.162,84.115
82,265.162,85.060
82,260.434,88.842
82,260.434,92.151
82,259.016,93.096
83,254.762,1.864
83,258.071,14.627
83,250.508,16.990
83,257.598,20.772
83,258.071,27.390
83,257.598,30.699
83,247.199,35.898
83,258.544,38.262
83,256.180,40.153
83,250.980,42.044
84,216.000,23.608
84,229.709,23.608
84,235.854,26.917
84,267.525,31.171
84,274.616,36.844
84,276.979,55.279
84,273.670,57.170
84,290.215,60.479
85,268.943,42.044
85,284.543,32.590
85,284.070,28.335
85,306.287,19.826
85,331.813,15.099
86,283.124,30.226
86,279.343,23.135
86,283.597,20.772
86,301.560,15.099
86,303.924,1.864
87,257.126,18.881
87,267.525,16.990
87,272.252,15.099
87,300.142,12.736
87,319.523,10.845
87,321.414,9.427
87,357.340,5.645
88,297.306,19.826
88,307.705,21.245
88,306.760,25.972
88,309.123,28.808
88,318.577,29.753
88,335.122,33.535
89,363.957,41.098
89,408.865,46.771
89,414.537,48.189
89,430.136,49.607
90,303.924,45.353
90,299.669,51.498
90,301.087,61.897
90,307.705,67.570
90,304.869,72.770
90,307.233,80.333
91,301.560,63.316
91,293.051,67.097
91,293.051,71.824
91,285.015,75.133
92,277.925,61.425
92,277.925,66.152
92,271.779,68.515
92,281.234,73.242
92,277.925,78.442
92,280.761,85.060
92,284.543,88.369
92,281.234,97.823
92,284.543,105.386
92,284.070,117.204
92,295.888,120.986
93,271.779,101.132
93,281.234,105.386
93,281.234,112.004
93,278.870,115.313
93,272.725,116.259
93,283.597,117.677
93,282.652,122.404
93,271.779,127.604
93,273.670,153.130
93,276.979,157.857
93,272.252,165.893
93,272.252,181.020
93,277.452,184.801
93,272.725,197.564
93,302.505,200.401
94,276.034,201.346
94,302.978,205.128
94,320.941,208.437
94,334.177,209.382
94,354.503,212.691
95,292.579,144.621
95,292.579,146.985
95,278.870,148.403
95,290.688,155.493
95,289.270,159.748
95,283.124,166.838
95,292.106,173.456
95,289.270,199.928
95,278.870,206.546
95,278.397,215.527
95,266.107,224.509
95,276.507,226.400
95,276.507,237.745
95,293.524,242.944
96,257.598,163.057
96,270.834,167.311
96,294.942,171.565
96,411.228,176.293
96,416.901,177.711
96,428.246,179.129
97,278.397,170.620
97,275.088,177.238
97,290.688,183.383
97,325.195,188.583
98,301.087,188.583
98,299.669,202.764
98,285.961,208.909
98,285.488,224.036
98,289.742,229.236
98,291.160,247.671
98,291.633,249.090
98,297.306,252.398
98,290.688,258.071
98,295.415,262.325
98,285.488,265.634
98,287.852,267.052
98,273.198,275.088
