ROI,X,Y
1,54.796,221.630
1,58.577,219.739
1,96.386,215.013
1,94.496,208.869
1,98.277,198.472
1,111.983,198.944
1,114.818,195.636
1,126.161,191.382
1,128.052,188.547
1,169.642,172.478
1,170.587,167.752
1,220.685,158.772
1,230.610,156.881
1,232.500,153.573
1,291.577,138.449
1,351.127,124.271
1,350.654,120.490
1,360.579,117.182
1,404.532,110.565
1,408.313,100.167
1,434.780,93.078
2,117.182,197.526
2,127.106,192.800
2,130.887,189.019
2,148.847,183.348
2,167.279,177.204
2,168.697,174.841
2,177.676,172.005
2,179.094,167.279
3,59.522,41.090
3,97.804,43.926
3,100.167,45.344
3,124.271,47.234
3,126.161,47.707
3,167.279,50.070
3,169.169,51.015
3,225.411,57.632
3,314.735,66.612
3,328.441,68.975
4,203.198,55.741
4,225.411,59.995
4,313.317,70.392
4,327.023,70.865
5,62.831,25.494
5,122.853,31.165
6,169.169,24.076
6,219.739,29.275
7,464.082,45.344
7,411.149,51.015
7,403.115,53.378
7,356.326,59.522
7,335.058,65.666
7,351.599,68.975
7,359.634,76.537
7,375.230,81.263
7,430.054,87.879
7,435.725,91.660
7,445.650,93.551
8,349.709,67.557
8,333.640,71.338
8,315.681,79.372
8,314.263,94.496
8,303.865,98.277
8,317.098,102.058
8,317.098,103.476
8,330.804,106.784
8,335.530,108.674
8,331.749,110.565
8,311.427,114.346
8,314.263,117.182
8,314.735,132.778
8,322.770,134.196
8,308.119,137.504
8,294.885,140.340
8,281.180,144.593
8,292.995,147.902
8,309.064,154.991
8,312.372,155.936
8,305.756,157.354
8,301.029,160.662
8,281.180,164.916
8,272.672,167.752
8,267.474,170.587
8,247.624,175.313
8,246.678,176.731
8,250.932,177.676
8,244.315,180.512
8,232.027,182.875
8,227.301,184.766
8,189.965,191.855
8,188.074,191.855
8,191.382,193.273
8,190.910,195.636
8,193.745,197.054
8,189.492,200.835
8,179.567,203.198
8,180.985,204.616
8,169.169,207.924
8,172.950,209.342
8,173.423,212.177
8,184.766,214.541
8,190.437,215.958
8,195.636,217.376
8,195.636,230.137
8,185.238,232.500
8,179.094,239.117
8,187.601,242.425
8,191.382,246.206
8,191.382,265.583
8,196.581,267.946
8,196.581,276.926
8,189.019,279.762
8,183.348,282.125
8,190.910,283.070
8,221.157,289.687
8,225.883,292.522
8,239.117,295.358
8,246.206,298.666
8,289.214,307.173
8,294.413,308.119
8,294.413,314.735
8,310.954,318.044
8,312.845,319.461
9,59.522,90.715
9,196.109,101.585
10,129.470,139.395
10,200.835,131.833
11,94.023,157.354
11,175.313,141.285
11,187.601,137.977
11,237.226,127.579
11,292.050,118.599
12,53.378,184.766
12,82.208,188.547
12,136.086,195.636
12,223.520,206.979
12,231.082,208.869
13,302.447,215.958
13,340.729,225.883
13,347.818,230.137
13,356.326,232.500
14,113.873,228.246
14,197.054,247.151
14,217.376,250.459
15,99.695,85.044
15,122.380,80.790
15,160.190,74.173
15,194.218,61.885
16,354.908,8.480
16,370.504,11.315
16,431.944,16.987
16,436.670,18.405
17,448.958,140.340
17,436.198,145.539
17,429.109,147.429
17,403.115,149.792
17,388.463,151.683
17,382.319,158.299
17,385.628,163.025
18,409.731,190.437
18,437.616,195.163
18,441.869,197.526
19,461.719,224.466
19,439.033,227.301
19,427.218,230.610
19,435.725,232.973
19,435.253,234.390
19,434.780,236.754
19,411.622,240.534
19,408.786,250.459
19,398.388,252.350
19,398.861,254.240
19,369.086,260.857
19,360.579,265.583
19,348.291,268.891
19,335.530,274.090
19,308.119,280.707
19,325.605,286.378
19,349.236,290.159
19,359.634,296.776
20,307.646,300.557
20,347.346,305.283
21,353.017,324.660
21,360.107,326.078
21,414.457,333.167
22,293.468,327.496
22,331.750,333.640
22,350.654,336.476
23,58.577,128.524
23,68.029,132.778
23,98.749,140.340
24,109.147,137.504
24,154.991,153.573
24,215.958,172.478
24,226.356,179.094
25,57.632,159.244
25,77.482,161.135
25,85.516,163.498
25,233.445,181.457
26,267.001,190.437
26,294.885,197.054
26,373.812,210.287
27,268.419,66.612
27,289.687,55.269
27,288.269,53.378
27,300.084,47.234
27,312.372,43.926
27,312.372,40.618
27,324.188,37.309
27,338.366,31.638
27,369.559,22.658
27,369.559,0.918
28,383.265,358.689
28,383.737,355.380
28,379.956,353.490
28,386.100,350.182
28,405.478,346.873
28,412.094,342.620
28,424.382,334.585
28,432.889,332.222
28,432.417,323.242
28,444.705,317.571
28,448.486,316.153
28,448.958,312.372
28,457.938,310.009
28,454.630,309.064
28,459.356,304.338
28,460.774,301.029
28,464.555,292.995
28,460.774,290.159
28,465.027,287.324
29,464.555,280.707
29,460.301,278.816
29,464.082,277.871
30,465.027,236.754
30,464.555,230.610
30,461.719,225.883
30,461.246,215.013
30,459.829,212.650
30,461.246,205.088
30,465.027,200.362
30,465.027,139.395
31,450.376,359.634
31,448.486,356.326
31,448.486,353.962
31,445.650,352.545
31,459.829,349.709
31,464.555,347.346
31,464.555,327.023
31,462.664,325.605
31,465.027,323.715
32,465.027,320.879
32,461.719,317.571
32,465.027,315.208
33,457.938,300.084
33,464.555,301.029
34,405.950,305.283
34,396.498,301.029
34,392.244,297.248
34,396.498,294.885
34,396.971,290.159
34,404.060,285.906
34,404.060,248.569
34,401.224,243.843
34,396.498,235.336
34,399.806,231.555
34,396.498,228.246
34,397.443,223.520
34,391.772,219.739
34,391.299,215.486
34,390.354,213.123
34,389.881,206.033
34,396.498,202.253
34,396.498,118.599
34,385.628,110.565
34,385.628,1.863
35,61.885,330.332
35,130.415,335.058
35,146.956,338.839
35,227.774,345.455
35,285.433,351.127
36,239.117,345.928
36,240.534,340.257
36,266.528,320.879
36,277.871,315.208
37,234.390,358.216
37,247.624,354.908
37,288.741,352.072
38,270.309,339.784
38,267.946,293.468
38,266.056,262.747
38,273.145,227.301
38,272.200,222.102
38,275.508,217.849
38,268.419,210.287
38,264.638,188.074
38,255.658,180.040
38,243.843,176.259
38,254.240,168.697
38,259.912,160.662
38,262.747,150.737
38,263.220,147.429
38,257.076,143.648
38,261.802,140.340
38,258.967,135.141
38,263.693,129.942
38,259.912,120.490
38,261.802,118.599
38,260.384,115.291
38,260.384,111.983
38,263.220,109.147
38,260.384,106.311
38,261.802,102.530
38,258.021,95.441
38,259.439,77.482
38,257.549,67.557
38,258.967,64.248
38,258.967,53.851
38,257.076,47.707
38,260.384,39.200
38,258.967,13.206
38,254.713,8.952
38,254.240,0.445
39,257.549,150.737
39,267.001,147.902
39,298.194,142.703
40,267.001,194.218
40,270.782,185.711
40,268.891,52.906
40,266.056,47.234
40,268.419,40.618
40,270.782,13.678
40,269.364,-0.500
41,67.084,354.908
41,67.084,0.445
42,69.920,357.271
42,60.940,349.236
42,60.940,284.960
42,76.064,265.111
43,59.995,95.914
43,61.413,99.222
43,98.277,107.257
44,79.845,1.863
44,79.845,151.683
44,69.447,158.772
