ROI,X,Y
1,-0.013,31.638
1,31.638,25.307
1,55.984,22.873
1,76.436,20.438
1,78.870,19.464
1,137.789,11.673
1,142.172,9.239
1,167.005,6.804
1,225.924,2.422
1,229.333,0.474
2,-0.013,3.395
2,9.239,1.935
2,13.621,0.474
3,1.448,60.854
3,18.003,52.089
3,78.870,35.533
3,179.666,17.517
3,200.604,12.160
4,251.245,1.935
4,244.428,4.856
4,220.081,7.778
4,213.264,10.213
4,188.430,12.160
4,154.345,16.056
4,152.397,18.003
4,139.250,18.977
4,133.407,23.360
5,0.474,91.530
5,4.369,89.096
5,38.455,85.687
5,46.733,82.766
5,39.916,79.357
5,76.436,74.975
5,92.504,72.540
5,111.982,68.158
5,131.946,64.749
5,160.675,62.801
5,161.649,61.341
5,184.048,58.906
5,236.150,52.576
5,258.062,49.654
5,278.026,47.706
5,288.252,46.246
5,324.285,41.863
5,339.867,40.402
5,342.788,39.429
5,404.142,34.559
5,411.933,31.638
5,460.626,26.768
5,468.904,24.821
5,492.277,22.873
5,495.686,21.412
5,554.118,16.543
6,141.685,55.010
6,183.074,51.602
6,205.473,42.837
6,240.045,38.942
6,278.026,31.638
6,284.356,28.716
6,294.095,27.255
6,319.415,17.030
6,348.632,10.699
7,3.882,105.165
7,17.030,102.730
7,18.490,102.243
7,34.072,101.269
7,36.020,100.782
7,47.706,99.808
7,46.246,99.321
7,78.870,95.913
8,184.535,78.870
8,241.019,73.027
8,241.506,69.132
8,263.418,63.775
8,284.843,60.367
8,350.092,50.141
8,436.280,39.916
9,471.339,27.742
9,521.006,24.334
9,524.902,22.873
10,-0.500,194.274
10,-0.500,190.378
10,22.386,186.483
10,43.811,181.126
10,62.314,176.257
10,68.645,175.770
10,75.949,170.901
10,79.844,169.927
10,78.870,164.084
10,78.870,109.547
10,88.122,103.704
10,102.243,101.269
10,101.756,98.834
10,119.286,94.452
10,174.796,87.148
10,178.205,84.713
10,178.205,81.305
10,176.744,80.331
10,185.022,77.409
10,196.221,73.514
10,194.274,72.053
10,205.473,69.132
10,219.594,67.184
10,224.950,65.236
10,234.689,63.775
10,249.784,58.419
10,259.523,56.471
10,262.931,51.602
10,318.442,38.942
10,324.772,33.098
10,341.814,29.690
10,381.256,19.464
10,406.090,14.108
10,442.610,-0.500
10,441.636,-0.500
11,-0.013,178.692
11,80.331,168.466
11,131.459,158.240
11,131.946,156.780
11,168.466,152.397
11,179.179,149.963
11,178.205,148.015
11,214.725,136.815
11,219.107,136.328
11,227.385,131.946
11,258.062,123.181
11,260.497,120.747
11,276.565,116.364
11,386.125,101.756
11,413.394,98.348
11,461.113,89.583
11,465.496,87.635
11,486.434,84.226
11,487.895,79.844
11,502.503,74.975
11,512.728,74.488
11,518.084,72.053
11,526.849,70.592
11,557.039,65.723
12,74.975,160.675
12,71.079,157.753
12,75.462,154.345
12,152.884,140.711
12,159.701,139.737
12,160.188,135.841
12,193.787,131.459
12,195.734,129.998
12,221.055,126.103
12,223.976,124.642
12,247.836,122.207
12,250.271,120.260
12,248.323,119.286
12,254.166,117.825
12,253.193,116.364
12,263.418,113.443
12,337.432,105.652
12,348.632,103.704
12,368.596,98.835
12,405.603,95.426
12,407.064,92.017
12,406.090,83.740
12,410.959,81.792
12,436.280,77.896
12,463.061,75.949
12,469.391,73.027
12,486.434,71.566
12,502.990,67.184
12,555.091,61.341
13,0.474,236.637
13,10.699,233.228
13,8.265,230.794
13,35.533,227.385
13,43.811,223.490
13,82.766,218.133
13,118.799,210.829
13,144.606,206.934
13,154.832,203.525
13,223.490,190.865
13,233.715,186.970
13,230.794,186.483
13,258.062,178.205
13,261.957,171.388
13,259.036,170.414
13,267.801,167.979
13,291.660,164.084
13,346.197,154.345
13,385.639,148.015
13,424.106,139.250
13,422.159,137.789
13,437.253,133.894
13,479.617,129.024
13,497.146,123.668
13,498.120,121.233
13,527.336,117.825
13,539.997,114.903
13,558.013,112.469
14,1.448,262.444
14,14.108,260.010
14,50.628,256.114
14,60.854,253.193
14,77.409,250.271
14,82.766,248.323
14,103.704,243.941
14,152.397,237.124
14,154.832,235.663
14,183.074,232.741
14,189.404,229.333
14,196.221,227.872
14,190.865,226.898
14,196.221,224.950
14,256.601,218.620
14,273.157,212.777
14,293.608,208.395
14,385.638,198.656
14,397.325,196.221
14,416.802,192.813
14,410.472,191.352
14,421.185,188.917
14,438.714,186.970
14,436.280,185.022
14,440.662,182.100
14,455.757,180.152
14,463.061,177.231
14,550.709,166.518
14,557.039,165.544
15,1.448,275.105
15,36.994,269.261
15,58.419,265.366
15,71.079,263.418
15,80.818,261.957
15,103.704,258.062
15,101.756,254.166
15,105.652,252.706
15,144.606,248.323
15,148.015,246.375
15,185.996,241.019
15,197.195,237.124
15,190.865,234.689
15,197.682,231.280
15,194.760,230.307
15,207.908,227.872
15,250.271,224.463
15,269.261,213.264
15,266.340,211.803
15,277.052,208.395
15,310.164,204.012
15,313.085,202.551
15,370.057,194.274
15,379.795,191.352
15,398.299,188.917
15,400.246,187.456
15,410.472,185.996
15,412.907,184.535
15,455.757,180.639
15,456.244,180.639
15,479.130,178.205
15,478.156,176.257
15,497.146,174.309
15,518.571,169.440
15,533.666,165.544
15,546.327,164.571
15,548.761,163.597
15,557.039,161.649
16,0.474,321.850
16,42.837,313.572
16,75.462,310.651
16,78.383,308.216
16,75.949,305.781
16,85.687,303.834
16,92.017,301.886
16,98.834,297.990
16,169.927,288.252
16,207.908,277.052
16,230.307,275.591
16,231.767,274.618
16,496.659,249.297
16,555.578,241.993
17,55.497,302.373
17,151.423,285.330
17,149.476,283.382
17,153.371,280.948
17,167.979,279.000
17,184.535,276.078
17,197.195,272.183
17,196.221,270.235
17,196.708,267.801
17,213.751,266.827
17,242.967,262.931
17,248.810,260.010
17,270.235,255.627
17,283.382,250.271
17,291.173,248.323
17,323.311,245.402
17,331.589,241.019
17,353.988,238.585
17,355.936,238.098
17,395.377,232.254
17,456.244,224.950
17,461.600,223.003
17,501.042,218.133
17,526.362,211.803
17,527.336,210.342
17,555.091,206.934
18,221.542,256.114
18,235.663,249.784
18,263.418,245.402
19,280.948,235.663
19,310.164,231.280
19,311.625,230.307
19,380.769,219.594
19,386.125,215.212
19,412.420,212.777
19,415.341,211.316
19,452.348,206.447
19,497.633,200.604
19,498.607,197.682
19,510.780,194.274
19,528.310,189.891
19,535.614,184.048
20,228.359,281.922
20,239.558,272.670
20,270.235,269.748
20,271.696,267.314
20,307.242,262.931
20,309.677,260.010
20,363.240,247.836
20,399.760,238.584
20,413.394,233.715
20,496.172,225.437
21,473.774,247.349
21,498.607,243.941
21,522.467,237.611
21,523.928,234.689
21,520.519,230.794
21,540.970,220.568
21,555.091,217.159
22,343.275,277.539
22,358.857,274.131
22,390.021,271.696
22,392.456,270.235
22,414.368,268.287
22,419.237,266.340
22,437.253,263.418
22,443.097,260.983
