ROI,X,Y
1,2.810,24.087
1,47.728,26.924
1,68.532,30.233
1,88.863,32.597
1,90.282,33.543
1,133.781,36.853
1,160.259,41.581
1,234.492,48.673
1,281.301,51.037
1,345.605,58.130
1,460.027,67.113
2,89.336,22.668
2,141.819,26.924
2,182.954,29.288
3,4.701,59.548
3,33.543,61.912
3,69.477,66.641
3,113.923,74.206
4,103.048,69.477
4,172.552,74.678
4,236.856,80.352
4,304.942,86.026
4,308.725,87.917
4,353.170,89.809
4,390.050,93.591
4,394.778,95.010
4,454.826,96.901
5,146.547,76.097
5,172.552,78.934
5,212.742,80.352
5,237.802,83.662
5,245.367,85.553
5,279.883,87.917
5,312.980,92.173
6,2.337,80.352
6,26.451,81.771
6,30.706,84.608
6,101.629,90.754
6,115.814,93.591
6,156.949,97.374
6,214.633,103.993
7,214.161,98.792
7,284.138,108.249
8,332.838,76.097
8,358.844,77.515
8,362.626,78.934
8,385.322,80.352
8,388.631,81.298
8,456.245,85.081
9,2.810,82.716
9,15.103,86.499
9,27.869,86.972
9,31.179,88.390
9,42.527,89.336
9,43.472,89.809
9,109.194,95.955
9,132.835,98.792
9,165.933,104.466
9,226.927,109.667
9,243.475,114.868
9,282.247,120.069
9,290.757,121.015
9,309.197,122.906
9,317.708,126.689
9,358.371,129.998
9,365.463,133.308
9,399.033,137.564
9,405.180,140.401
9,453.408,146.074
10,3.283,103.993
10,64.749,109.667
10,73.733,112.977
10,207.541,129.526
11,73.260,111.558
11,253.405,131.417
11,305.888,139.928
11,313.926,142.292
11,373.501,148.911
11,386.740,151.748
11,388.158,152.221
11,426.930,154.112
11,452.935,156.476
12,3.283,138.036
12,106.830,146.547
12,209.432,155.531
12,212.742,157.422
12,234.965,160.259
12,310.616,165.933
12,313.926,166.878
12,363.572,169.715
13,5.647,141.819
13,38.271,145.129
13,77.043,147.966
13,88.863,148.911
13,124.325,153.167
13,152.221,156.949
13,170.188,160.732
13,250.095,166.406
13,312.507,170.661
13,365.936,177.753
13,396.669,182.954
13,458.609,186.737
14,3.283,214.633
14,21.723,216.525
14,87.917,220.780
14,111.558,224.090
14,146.074,226.454
14,151.748,228.345
14,233.546,234.019
14,256.242,236.383
14,292.176,239.220
14,336.148,244.421
15,1.864,231.655
15,69.477,236.383
15,110.613,240.638
15,146.547,243.475
15,182.954,247.258
15,203.758,251.041
15,239.693,252.932
15,352.697,260.970
15,403.762,266.644
15,458.609,269.481
16,3.283,22.195
16,23.141,32.125
16,35.907,34.489
16,49.619,38.271
16,65.222,47.728
16,66.168,48.201
16,102.575,57.184
16,111.086,60.494
16,110.140,62.858
16,114.868,67.113
16,113.450,69.477
16,109.194,72.314
16,114.868,80.352
16,127.634,83.662
16,147.493,96.428
16,144.183,98.319
16,158.841,101.629
16,159.786,104.939
16,144.183,109.667
16,156.476,115.814
16,163.096,117.232
16,165.933,125.743
16,179.645,131.890
16,184.846,136.145
16,187.683,140.873
16,201.394,147.020
16,204.231,150.330
16,211.796,152.694
16,219.362,158.841
16,237.329,164.514
16,259.551,170.188
16,274.682,176.335
16,282.719,184.846
16,296.431,189.574
16,303.051,192.884
16,313.926,199.503
16,321.491,202.340
16,338.039,207.541
16,345.132,210.378
16,352.697,211.796
16,375.865,214.633
16,455.772,225.035
17,350.333,214.633
17,367.827,219.362
17,388.158,225.981
17,392.887,232.601
17,383.903,237.802
17,396.196,240.638
17,432.604,244.421
17,456.717,246.785
18,2.810,189.101
18,40.163,192.411
18,42.527,193.829
18,77.515,197.612
18,92.646,200.922
18,147.020,204.704
18,157.895,206.595
18,164.514,209.905
18,187.683,213.215
18,230.236,216.525
18,225.981,217.470
18,272.317,223.617
18,312.034,226.454
18,322.436,229.764
18,344.659,232.128
19,32.597,196.193
19,64.749,199.976
19,93.591,203.286
19,156.476,208.959
20,218.889,221.726
20,270.426,225.508
20,318.181,230.709
20,333.784,232.128
20,373.501,236.856
21,1.864,217.470
21,7.538,225.508
21,15.103,229.764
21,43.472,236.383
21,63.331,250.095
21,77.515,254.350
21,77.515,255.296
21,87.917,258.606
21,105.412,262.861
21,103.048,265.698
21,117.705,269.008
21,117.705,269.953
21,152.694,280.355
21,165.933,281.774
22,7.065,253.405
22,62.385,260.024
22,99.738,266.171
22,109.667,272.317
22,112.031,274.682
22,127.634,281.301
22,143.237,286.502
22,163.569,289.339
22,179.172,294.067
22,190.047,298.795
22,201.394,302.578
22,202.813,304.942
22,211.796,310.616
22,227.872,317.708
22,218.889,319.127
22,218.889,321.018
22,225.035,323.382
22,232.601,328.110
22,252.932,332.838
22,283.192,343.713
22,283.192,346.550
22,303.524,354.588
22,313.926,359.316
23,457.190,355.534
23,402.816,350.806
23,359.789,344.659
23,306.833,339.458
23,296.904,338.039
23,293.594,336.621
23,173.025,323.855
24,0.446,322.909
24,15.103,325.746
24,66.641,330.002
24,68.532,331.420
24,100.684,335.203
24,107.776,337.094
24,149.384,340.404
24,167.351,344.186
25,3.283,40.163
25,11.321,39.690
25,28.342,33.543
25,41.581,30.706
25,61.912,25.505
25,67.113,24.087
25,80.825,22.668
25,83.662,21.723
25,99.738,18.413
25,117.705,14.157
25,120.069,12.266
25,132.363,8.484
25,134.727,4.701
25,133.781,1.864
26,173.971,13.212
26,195.248,17.467
26,206.595,24.087
26,238.747,28.815
26,267.589,33.543
26,282.247,36.380
26,360.262,43.945
27,3.283,64.276
27,19.831,62.858
27,59.075,58.603
27,86.026,55.766
27,90.282,53.874
27,101.629,53.402
27,102.102,51.983
27,115.814,49.619
27,129.053,47.255
27,156.476,42.054
27,161.677,40.635
27,168.770,39.690
27,170.661,38.271
27,199.030,35.434
27,208.487,34.016
27,245.839,28.342
27,292.176,24.087
27,305.888,20.304
27,363.572,12.739
27,430.239,5.174
27,432.604,4.228
27,451.044,1.391
27,458.136,-0.027
28,3.283,95.483
28,27.869,92.646
28,51.510,84.608
28,54.820,83.189
28,79.879,79.407
28,87.445,77.988
28,130.471,74.206
28,144.183,70.423
28,153.639,69.005
28,169.243,66.641
28,175.389,58.603
28,188.628,53.874
28,202.340,51.983
28,236.856,49.619
28,239.220,47.728
28,254.823,44.891
28,307.306,40.635
28,330.002,36.380
28,341.349,35.434
28,373.028,29.761
28,402.343,24.559
28,426.457,22.668
28,430.712,21.250
28,459.082,17.940
29,193.356,62.858
29,213.688,61.439
29,218.889,60.021
29,224.090,58.603
29,233.073,55.766
29,256.714,52.929
29,307.306,45.364
29,359.789,39.217
30,218.416,62.858
30,240.638,60.967
30,272.790,55.766
30,283.665,51.983
31,2.810,122.433
31,15.103,121.015
31,17.940,119.124
31,46.782,114.868
31,73.733,108.249
31,97.847,103.993
31,103.048,101.629
31,121.015,98.792
31,125.743,97.374
31,170.661,91.227
31,174.444,89.336
31,213.215,81.298
31,220.307,80.352
31,223.617,78.461
31,252.932,74.678
32,7.065,163.569
32,22.195,159.786
32,43.945,157.422
32,61.439,153.639
32,83.662,152.694
32,111.086,148.438
32,145.129,145.602
32,163.569,141.819
33,1.864,183.427
33,20.777,180.117
33,30.706,176.808
33,54.347,173.498
33,75.624,172.079
33,93.118,167.824
33,106.357,165.460
33,121.015,159.313
33,124.325,155.531
33,154.585,148.438
33,170.661,145.602
33,181.536,142.292
33,182.954,140.401
33,211.324,131.417
33,263.807,122.906
33,295.958,114.395
33,317.235,111.558
33,340.876,106.830
33,385.794,101.629
33,403.762,99.738
33,436.386,91.700
33,460.027,89.809
34,0.446,309.197
34,13.212,305.415
34,26.924,303.051
34,38.744,298.795
34,48.673,297.850
34,55.766,295.486
34,53.874,293.122
34,75.624,285.084
34,85.553,284.138
34,104.466,277.518
34,138.509,269.008
34,164.514,263.807
34,166.406,261.915
34,187.210,257.660
34,202.813,253.405
34,203.758,251.041
34,232.601,246.312
34,234.492,244.894
34,232.601,243.003
34,247.258,241.584
34,255.296,239.693
34,251.986,238.274
34,249.149,236.856
34,242.057,233.073
