ROI,X,Y
1,170.363,13.130
1,170.363,348.041
2,208.819,8.749
2,208.819,353.883
3,174.744,313.479
3,221.476,300.823
4,168.903,318.834
4,263.340,298.875
4,263.340,294.981
4,282.811,290.113
4,296.928,287.193
4,334.411,279.404
4,364.592,275.510
4,368.973,272.102
4,434.203,261.879
5,267.721,224.884
5,299.849,221.476
5,354.370,209.793
5,376.275,205.412
5,398.667,202.004
5,427.875,195.676
5,440.044,194.703
6,268.208,228.778
6,281.838,218.068
6,299.849,215.635
6,323.702,211.740
6,334.898,209.306
6,357.290,202.004
6,406.943,187.888
6,423.007,182.046
6,423.494,179.125
6,430.309,176.205
7,264.800,157.707
7,293.034,154.786
7,315.913,147.971
8,288.653,117.790
8,305.691,114.869
8,325.649,106.594
9,300.336,98.805
9,321.268,92.477
9,323.702,89.556
9,345.607,82.254
9,355.830,77.873
9,368.973,73.492
9,389.418,66.677
10,275.510,75.439
10,300.823,72.518
10,312.019,64.243
10,338.792,54.507
11,264.313,67.164
11,290.600,59.862
11,309.098,56.454
11,321.268,50.613
11,334.898,46.232
11,331.490,41.364
11,334.898,38.930
11,349.988,35.036
11,349.015,33.575
11,362.158,29.681
11,369.947,24.326
11,404.996,18.972
11,413.758,9.723
12,267.234,36.009
12,298.389,29.194
12,299.362,28.221
12,336.358,21.892
12,368.486,15.564
12,375.301,13.130
13,275.996,248.249
13,325.649,241.921
13,332.464,239.487
13,352.909,236.080
14,306.664,12.157
14,366.539,25.300
15,299.362,13.617
15,338.792,21.892
16,275.023,13.617
16,286.219,16.051
16,309.585,18.485
16,374.815,32.602
17,266.747,39.904
17,324.189,55.968
17,347.554,65.217
17,358.264,66.677
18,271.129,64.730
18,298.389,70.084
18,300.823,75.439
18,312.506,82.254
18,313.479,89.556
18,335.872,95.398
19,315.913,82.741
19,341.226,89.069
20,316.400,73.492
20,362.645,82.254
20,371.894,86.635
21,236.080,60.835
21,269.668,74.952
21,274.536,80.794
21,303.743,91.503
21,355.343,105.133
21,366.052,110.488
21,369.460,117.303
21,424.954,149.431
22,267.721,141.643
22,280.864,136.775
22,323.215,125.092
23,270.155,147.484
23,302.283,148.458
23,363.618,152.352
24,268.208,143.103
24,299.849,145.537
24,307.151,147.484
24,376.275,149.431
25,261.880,163.061
25,325.649,167.929
25,370.434,173.771
25,398.181,177.178
25,411.324,180.099
26,271.615,172.310
26,357.777,176.691
27,318.834,184.480
27,381.143,194.703
27,407.430,208.819
28,279.891,224.397
28,361.671,230.238
28,377.249,234.133
28,393.313,237.053
28,412.784,241.434
29,338.305,239.000
29,366.052,246.789
29,369.947,250.197
29,393.799,259.932
29,413.758,267.721
30,310.558,252.144
30,325.162,257.012
30,371.407,262.853
31,321.268,261.880
31,400.615,277.457
31,406.456,280.378
32,295.955,278.917
32,314.453,291.574
32,319.807,293.521
32,332.464,298.389
32,340.253,299.849
32,355.343,305.691
33,283.785,319.807
33,297.415,320.294
33,331.977,313.479
33,382.603,312.506
34,265.774,354.370
34,282.811,350.962
34,311.045,345.607
34,317.374,343.660
34,332.464,341.226
34,333.924,338.792
34,371.894,335.385
35,410.837,293.521
35,427.875,286.219
35,433.229,284.272
36,265.774,10.696
36,265.774,355.830
37,298.389,10.696
37,300.336,322.728
37,303.743,353.883
38,309.098,10.696
38,311.045,45.745
38,325.162,52.073
38,327.596,63.269
38,371.894,78.360
39,326.622,11.183
39,326.622,352.909
40,353.396,10.696
40,353.396,355.830
41,330.517,342.200
41,367.513,349.502
41,369.460,357.777
42,364.105,10.209
42,364.105,181.072
42,367.026,185.454
42,363.618,197.623
42,363.618,248.736
42,367.513,255.551
42,365.079,291.574
42,370.920,304.230
42,363.618,314.940
42,368.000,321.755
42,368.000,338.792
42,328.083,353.883
42,324.675,356.317
42,327.109,359.237
43,411.324,9.723
43,411.324,356.803
44,426.414,359.237
44,449.293,354.856
45,422.520,58.888
45,422.520,351.936
46,427.388,10.209
46,419.599,19.945
46,430.309,33.088
46,419.599,37.956
46,426.901,42.337
46,423.494,43.798
46,426.414,48.179
46,421.546,52.073
46,432.256,57.428
46,445.399,63.269
46,458.056,74.466
46,471.199,84.201
46,471.199,352.909
47,512.576,11.183
47,512.576,353.883
