ROI,X,Y
1,3.881,40.387
1,298.854,62.291
1,308.103,63.265
1,584.093,84.682
2,9.235,105.613
2,394.258,135.791
2,412.268,139.199
2,436.119,140.659
2,449.262,143.579
2,478.954,147.474
2,504.265,153.801
2,550.993,160.616
2,578.252,162.563
3,15.563,119.242
3,301.775,140.659
3,312.970,146.013
3,408.861,153.315
3,433.199,164.510
3,475.060,170.351
3,489.176,174.732
3,541.745,180.573
4,6.801,150.881
4,118.268,161.589
4,130.924,164.510
4,201.990,179.113
4,216.106,183.493
4,259.914,191.768
4,268.189,199.556
4,271.596,202.964
4,287.659,207.344
4,296.907,212.699
5,7.775,185.440
5,13.129,186.901
5,277.924,210.265
5,280.844,211.725
5,363.106,219.026
5,423.950,225.354
5,478.467,238.010
5,565.596,247.258
6,25.298,188.361
6,54.990,196.636
6,123.136,204.911
6,151.368,212.212
6,207.831,218.540
6,213.672,220.487
6,277.437,226.815
6,284.738,227.788
6,390.364,241.904
7,5.828,265.268
7,142.119,278.897
7,154.775,281.818
7,194.689,284.738
7,201.503,286.685
7,232.169,289.606
7,245.311,292.040
7,252.126,293.500
7,286.685,298.854
7,353.371,308.103
7,388.904,311.023
7,391.824,312.483
7,455.589,320.758
7,463.378,323.192
7,524.709,334.874
8,7.775,286.685
8,11.669,288.632
8,224.868,303.235
8,256.993,309.076
8,362.132,316.864
8,432.225,325.139
9,9.722,309.076
9,70.079,312.970
9,116.808,316.864
9,159.642,319.785
9,211.725,323.192
9,215.132,323.679
9,358.725,335.361
9,436.606,344.123
9,524.222,352.397
10,270.136,-0.013
10,293.500,3.881
10,414.215,14.103
10,422.003,15.563
10,425.411,16.536
10,452.182,19.944
10,458.510,25.298
10,462.404,29.192
10,467.758,31.626
10,473.599,33.086
10,492.583,35.520
10,502.805,38.440
10,562.189,45.255
10,573.384,46.228
11,161.589,8.262
11,170.351,13.129
11,246.772,18.970
11,265.755,21.891
11,360.185,29.192
11,364.079,31.139
11,495.990,40.387
12,5.828,146.500
12,49.636,150.881
12,61.318,155.262
12,185.440,169.864
12,187.874,171.325
12,247.745,180.573
12,275.977,183.980
13,10.695,268.189
13,42.334,272.083
13,80.788,280.844
13,111.454,285.225
13,136.278,293.013
13,236.550,299.828
13,248.232,303.235
13,283.278,305.669
14,253.586,306.156
14,266.242,306.642
14,356.291,313.457
15,67.159,34.060
15,343.636,52.070
15,367.974,56.937
15,385.497,59.858
15,392.311,61.805
16,10.695,126.056
16,30.166,121.675
16,90.523,111.454
16,108.533,111.454
16,203.937,101.232
16,204.424,99.772
16,251.639,96.364
16,259.427,94.417
16,359.699,83.709
17,207.344,56.450
17,216.593,59.371
17,258.454,64.238
17,266.242,68.132
17,293.013,70.566
17,295.447,71.540
17,290.093,76.407
17,303.235,78.354
17,333.414,82.248
18,24.811,145.526
18,88.089,137.738
18,91.983,135.791
18,136.765,129.464
19,205.884,114.374
19,271.109,106.099
19,279.871,103.179
19,323.679,91.010
19,353.371,88.089
19,361.159,84.682
19,458.023,72.513
19,463.864,66.185
19,500.371,56.937
19,534.930,53.530
20,254.560,10.695
20,265.268,13.616
20,371.868,23.351
20,374.788,25.298
20,426.384,30.166
21,14.103,42.334
21,118.268,55.964
21,165.483,59.858
22,8.262,96.851
22,37.467,91.010
22,46.228,89.550
22,54.503,84.195
23,35.520,85.169
23,56.450,82.248
23,81.762,74.460
24,43.795,74.947
24,78.354,69.106
24,92.470,62.778
25,46.228,147.474
25,121.675,152.828
25,124.109,153.801
25,200.043,159.156
25,212.212,164.023
25,226.328,168.891
25,228.275,171.325
25,239.470,176.679
26,202.964,164.510
26,265.755,170.838
26,268.189,172.785
26,345.096,179.113
27,444.394,359.699
27,452.669,355.805
27,476.520,352.397
27,481.387,348.017
27,468.732,344.609
27,479.440,340.715
27,485.768,337.795
27,495.990,336.334
27,505.238,332.440
27,527.142,330.980
27,532.983,329.033
27,580.199,324.652
28,285.712,138.712
28,326.599,130.924
28,395.719,121.675
28,409.348,112.914
28,434.659,107.560
28,438.553,105.126
28,451.695,101.719
28,455.103,99.285
28,474.573,95.391
28,476.520,89.063
28,498.911,86.629
28,562.675,61.805
28,582.146,58.397
29,10.695,161.589
29,28.705,164.023
29,114.374,171.811
30,20.917,235.576
30,22.377,252.613
30,28.705,257.480
30,21.891,274.030
30,17.023,297.881
30,17.997,299.828
30,17.510,327.086
30,24.811,334.387
30,18.970,342.175
30,17.023,356.291
31,27.245,3.881
31,27.245,179.599
31,31.139,183.980
31,31.139,271.596
31,27.245,275.977
31,30.652,280.358
31,30.652,326.599
31,36.980,334.387
31,31.626,339.255
31,31.626,355.805
31,29.192,358.725
32,17.997,19.457
32,24.325,16.536
32,47.689,11.182
32,49.149,8.262
32,67.159,5.341
32,91.497,3.394
32,97.825,0.474
33,24.325,50.609
33,35.520,42.821
33,82.735,36.980
34,34.060,2.907
34,34.060,193.228
34,36.493,198.096
34,36.493,220.974
34,38.927,224.868
34,38.440,229.735
34,35.520,234.116
34,35.520,269.649
34,32.599,274.030
34,37.954,278.411
34,37.954,326.599
34,32.113,331.954
34,36.493,335.848
34,36.493,356.778
35,47.689,358.725
35,47.689,326.599
35,46.228,323.679
35,46.228,305.182
35,43.795,280.358
35,45.742,262.834
35,45.742,1.934
36,14.103,124.596
36,30.652,129.950
36,42.821,136.278
36,54.503,139.199
36,68.619,144.553
36,70.566,150.394
36,80.788,156.235
37,69.593,358.725
37,69.593,2.421
38,83.222,-0.013
38,84.682,5.341
38,84.682,202.477
38,86.629,207.831
38,84.195,216.106
38,84.195,359.212
39,104.639,0.960
39,104.639,356.291
40,115.348,-0.013
40,115.348,8.748
40,111.940,17.023
40,115.834,19.944
40,115.834,40.387
40,122.162,43.308
40,116.808,45.255
40,116.808,80.788
40,113.887,86.142
40,114.861,91.497
40,116.808,95.391
40,110.480,101.719
40,115.348,104.639
40,115.348,110.480
40,100.258,114.861
40,104.152,117.781
40,113.401,120.215
40,113.401,127.517
40,121.675,130.924
40,119.728,132.384
40,120.215,139.685
40,130.924,145.040
40,151.854,148.447
40,216.593,158.182
40,225.354,161.589
40,463.378,181.546
40,493.070,184.467
41,117.295,92.470
41,117.295,168.404
41,114.374,178.139
41,114.374,356.291
42,122.162,359.699
42,138.225,356.291
42,152.828,350.937
43,124.596,-0.013
43,124.596,105.613
43,126.543,107.073
43,126.543,148.447
43,122.649,158.669
43,126.543,167.430
43,126.543,220.974
43,132.871,225.354
43,131.897,228.275
43,127.517,233.629
43,127.517,249.205
43,101.232,254.073
43,108.533,259.914
43,109.993,267.215
43,118.268,277.437
43,122.649,281.818
43,128.977,282.791
43,126.056,285.225
43,119.728,293.013
44,127.030,354.831
44,127.030,233.629
44,107.560,228.762
44,131.897,222.434
44,158.182,216.593
44,157.209,210.265
44,182.033,207.344
45,270.623,200.043
45,342.662,187.874
45,394.258,181.060
46,147.960,4.368
46,147.960,358.725
47,133.358,359.212
47,133.358,317.838
47,135.791,312.483
47,134.331,299.341
47,136.765,293.987
47,145.526,287.659
48,157.695,1.447
48,157.695,357.752
49,163.536,0.960
49,168.404,3.881
49,166.944,6.315
49,168.404,9.722
49,168.891,13.129
49,168.404,15.563
49,165.970,18.970
49,167.430,21.404
49,167.430,25.298
49,164.023,32.599
49,164.997,35.033
49,175.705,40.874
49,178.626,42.821
49,180.086,47.689
49,180.086,65.699
49,177.652,69.593
49,177.652,88.576
49,172.785,92.470
49,171.811,95.391
49,179.599,99.285
49,179.599,100.745
49,182.520,102.205
49,180.573,104.152
49,180.573,109.020
49,182.033,109.993
49,180.086,111.454
49,180.573,117.781
49,181.546,119.728
49,181.060,127.517
49,184.954,129.950
49,181.546,133.844
49,181.546,151.368
49,185.927,152.828
49,181.546,155.748
49,181.546,160.129
49,185.440,162.563
49,186.901,165.483
49,186.901,175.219
49,188.361,177.166
49,181.060,183.007
49,180.086,197.123
49,181.060,200.530
49,181.060,214.159
49,188.848,220.487
49,189.334,224.381
49,190.795,225.354
49,187.387,227.788
49,187.387,235.576
49,187.387,237.036
49,182.520,239.957
49,183.007,243.364
49,188.848,247.258
49,188.848,250.179
49,193.715,256.020
49,198.096,258.940
49,199.070,264.781
49,201.503,267.215
49,201.017,271.109
49,199.556,275.977
49,199.556,286.199
49,196.149,290.093
49,201.503,292.526
49,201.990,294.960
49,200.043,295.934
49,201.017,300.801
49,199.556,303.722
49,199.556,308.103
49,201.017,310.050
49,199.556,311.510
49,199.556,354.344
49,194.689,358.238
50,181.060,0.960
50,181.060,24.811
50,179.599,27.245
50,158.182,33.573
50,158.182,55.964
50,169.864,62.778
50,176.679,70.566
50,176.679,100.258
50,173.272,110.967
50,173.272,225.354
50,179.113,227.788
50,189.334,230.222
50,173.758,237.036
50,173.758,351.424
51,180.086,253.586
51,180.086,346.556
52,162.076,226.328
52,182.033,238.983
52,238.497,258.940
52,238.497,354.344
53,209.291,3.881
53,209.291,61.805
53,204.424,64.725
53,196.636,68.132
53,196.636,232.656
54,209.778,310.050
54,209.778,2.907
55,211.725,3.881
55,223.407,13.129
55,223.407,83.709
55,216.106,86.629
55,222.921,92.957
55,222.921,357.752
56,235.576,137.738
56,241.417,143.579
56,241.417,244.824
56,225.841,253.586
57,236.550,267.702
57,236.550,2.421
58,222.921,5.828
58,258.940,8.748
58,261.374,10.209
58,393.772,19.457
58,418.596,21.891
58,470.679,26.758
58,501.344,33.086
58,569.977,38.440
59,212.699,279.384
59,257.967,286.685
59,262.834,289.606
59,262.834,353.858
60,256.993,357.752
60,256.993,1.447
61,257.967,120.702
61,263.321,125.083
61,263.321,249.692
61,268.189,251.639
61,271.109,257.480
61,275.490,259.427
61,276.464,263.321
61,289.606,268.189
61,290.093,275.490
61,295.447,279.384
61,292.040,280.844
61,283.278,286.685
61,274.517,290.093
61,278.411,300.801
61,288.146,303.722
61,384.036,313.944
61,429.791,320.758
62,275.490,0.960
62,275.490,66.672
62,276.950,81.275
62,276.950,329.033
62,294.474,335.848
62,294.474,353.858
62,306.156,359.699
63,253.586,0.960
63,262.348,14.589
63,259.914,28.219
63,264.295,32.113
63,257.480,40.387
63,261.861,44.281
63,266.728,52.556
63,258.940,60.344
63,268.189,70.566
63,264.781,76.407
63,264.781,82.248
63,275.977,89.063
63,293.987,105.613
63,293.013,109.993
63,298.368,113.401
63,300.315,124.596
63,313.457,128.977
63,313.457,209.291
63,329.520,218.540
63,329.520,354.344
64,181.546,262.834
64,208.805,240.444
64,214.646,240.444
64,224.868,233.142
64,293.500,214.159
64,357.265,203.937
65,293.500,2.907
65,292.040,19.944
65,292.040,191.281
65,285.712,206.858
65,288.632,257.967
65,291.066,261.861
65,291.066,297.881
65,279.871,311.023
65,279.871,334.874
65,286.199,340.228
65,287.172,359.212
66,272.570,359.699
66,272.570,341.689
66,280.844,333.901
66,286.199,327.086
66,288.146,318.324
66,283.765,313.944
66,283.765,295.934
66,285.712,291.553
66,293.500,288.146
66,298.368,285.712
66,301.288,275.977
66,301.288,245.311
66,302.262,242.391
66,301.775,238.497
66,303.722,232.656
66,297.394,229.248
66,311.997,216.106
66,304.695,213.672
66,323.679,209.291
66,323.192,206.371
66,333.901,201.017
66,333.901,148.447
66,331.954,131.897
66,324.166,128.490
66,324.166,124.109
66,331.467,121.675
66,330.007,117.781
66,348.990,105.126
66,348.990,1.934
67,348.503,258.940
67,345.096,1.934
68,301.288,187.874
68,301.288,0.960
69,317.838,5.341
69,314.430,221.460
69,314.430,358.725
70,330.493,102.205
70,330.493,1.447
71,363.106,3.394
71,363.593,39.901
71,368.460,45.255
71,368.460,85.656
71,361.646,97.338
71,361.646,172.785
71,366.513,179.599
71,366.026,208.318
72,301.775,225.841
72,351.911,238.497
72,369.921,246.285
72,394.745,252.613
72,491.609,264.781
73,385.497,0.474
73,385.983,39.901
73,388.904,83.222
73,388.904,203.450
74,343.149,223.894
74,343.149,320.272
75,365.053,358.238
75,365.053,342.662
75,360.672,336.821
75,364.079,333.414
75,361.646,324.166
75,364.566,319.298
75,380.142,312.483
75,378.195,290.579
75,389.877,286.685
75,385.497,280.358
75,391.338,273.543
75,389.391,268.675
75,392.798,251.639
75,394.745,247.745
75,392.311,243.851
75,394.258,240.930
75,391.824,237.523
75,394.258,235.576
75,390.851,233.629
75,393.772,230.222
75,392.311,228.762
75,392.311,220.487
75,397.179,216.593
75,394.258,213.185
75,395.719,205.397
75,404.967,201.017
75,406.427,193.228
75,411.295,185.440
75,410.808,182.033
75,407.401,177.166
75,406.914,171.324
75,409.348,168.891
75,412.268,159.156
75,413.242,155.262
75,409.348,150.881
75,413.728,146.500
75,413.728,123.136
75,410.321,107.073
75,413.242,101.232
75,413.242,89.550
75,416.162,83.222
75,410.321,73.487
75,407.887,45.255
75,408.861,35.033
75,407.887,29.192
75,408.374,1.447
76,394.745,255.046
76,394.745,287.172
76,387.930,293.500
76,387.930,356.778
77,408.374,355.318
77,408.374,307.129
77,404.480,299.828
77,404.967,284.252
77,409.348,272.570
77,412.268,254.073
77,412.268,209.778
78,418.596,197.609
78,444.881,203.937
78,470.192,206.858
78,492.583,214.159
79,434.172,281.331
79,434.172,52.070
80,453.642,-0.013
80,453.642,46.228
80,454.616,49.149
80,453.156,60.831
80,453.156,119.242
80,451.209,130.924
80,451.209,159.642
80,448.288,178.626
80,449.748,188.361
80,446.828,197.609
80,446.341,206.858
80,446.828,214.646
80,446.828,224.868
80,444.394,228.762
80,447.315,233.142
80,447.315,271.596
80,444.881,278.897
80,445.368,287.659
80,445.368,358.725
81,473.599,-0.500
81,473.599,359.212
82,500.371,196.636
82,500.371,1.934
83,511.566,1.447
83,511.566,233.142
83,513.026,237.036
83,513.026,357.265
84,583.606,154.288
84,569.003,153.801
84,524.709,164.510
84,523.735,179.113
85,522.275,197.123
85,489.662,201.503
85,488.202,206.371
85,495.990,215.132
85,495.017,231.682
85,491.123,234.603
85,492.583,239.957
85,490.149,246.772
85,494.043,251.152
85,494.043,271.109
85,497.450,275.003
85,496.964,300.801
85,492.583,303.722
85,492.096,307.129
85,499.397,311.510
85,498.911,316.377
85,490.636,322.219
85,490.636,339.742
85,582.632,346.070
