ROI,X,Y
1,0.446,239.201
1,39.214,243.456
1,45.360,246.765
1,70.417,250.547
1,110.604,253.384
1,114.859,255.748
1,172.066,261.421
1,279.860,277.023
1,300.662,277.969
1,317.682,281.278
1,345.577,285.060
1,372.052,288.370
1,421.695,293.098
1,433.514,295.934
1,431.623,298.298
1,438.715,301.135
1,457.153,302.081
1,467.082,304.445
2,25.030,120.532
2,135.661,130.461
2,202.324,136.134
2,216.980,138.971
2,244.874,143.226
2,330.448,150.790
2,338.958,152.209
2,465.191,163.555
3,255.748,141.335
3,376.780,152.209
3,445.806,160.246
4,90.274,156.464
4,97.366,158.828
4,114.386,161.664
4,130.461,164.974
4,164.974,170.647
4,186.249,175.848
4,236.364,181.994
4,244.874,183.885
5,45.833,82.710
5,52.924,86.019
5,52.452,96.420
5,42.050,103.985
5,43.942,104.930
5,43.469,135.661
5,45.833,137.080
5,85.546,143.226
5,87.438,144.644
5,126.678,149.845
5,134.243,152.681
5,189.558,161.664
6,37.323,103.985
6,81.764,108.240
6,112.968,110.131
6,117.696,112.022
6,190.977,119.587
6,249.129,129.042
6,265.676,134.716
7,80.819,118.168
7,241.565,133.297
7,259.530,137.552
8,177.266,-0.500
8,181.994,1.864
8,176.793,3.755
8,174.429,8.483
8,177.739,11.792
8,176.321,15.102
8,169.702,18.884
8,168.756,21.248
8,147.481,33.540
8,147.481,35.904
8,144.171,37.323
8,141.335,40.159
8,139.916,45.360
8,141.807,50.088
8,141.807,52.924
8,133.297,55.761
8,134.243,58.125
8,133.770,59.071
8,111.077,64.271
8,109.185,65.217
8,101.621,68.053
8,71.363,70.417
8,73.254,72.781
8,68.999,73.254
8,55.761,77.036
8,45.360,80.819
8,44.414,85.074
9,207.997,14.156
9,212.725,16.047
9,215.561,36.850
9,218.398,43.469
9,241.565,48.669
9,240.146,56.234
9,245.347,61.907
9,255.748,63.798
9,258.585,73.254
9,290.261,85.074
9,335.648,100.203
9,340.849,106.349
9,329.502,114.859
9,366.852,130.461
9,376.307,134.716
9,413.184,144.171
9,418.858,147.008
10,255.275,56.707
10,224.072,59.071
10,211.306,65.690
11,110.604,102.094
11,101.621,103.512
11,80.819,107.294
11,70.417,111.077
11,60.489,114.859
11,71.836,117.223
11,71.363,122.423
11,80.346,126.678
11,85.074,126.678
11,69.945,129.042
11,62.853,132.352
11,54.343,135.661
12,4.701,288.370
12,89.801,297.353
12,247.711,316.264
12,457.153,342.740
13,6.592,309.172
13,33.540,311.064
13,59.543,316.264
13,217.453,333.757
13,412.239,355.032
14,13.211,74.200
14,51.979,80.819
15,25.976,0.918
15,27.394,30.704
15,36.850,51.506
15,34.486,60.962
15,36.850,69.945
15,34.486,114.386
15,38.268,122.423
15,38.268,198.541
15,34.486,207.997
15,37.795,215.089
15,37.795,271.350
15,34.959,277.969
15,34.959,290.734
15,39.214,294.516
15,37.323,297.353
15,37.323,312.009
15,35.904,314.846
15,35.904,354.559
15,37.795,359.760
16,38.741,273.241
16,36.377,276.550
16,36.850,289.316
16,28.812,292.625
16,29.285,309.645
16,43.942,317.682
16,43.942,355.505
17,42.996,0.918
17,42.050,53.397
17,43.469,196.650
18,73.254,359.760
18,75.618,355.505
18,62.853,351.250
18,57.652,341.794
18,62.853,225.017
19,87.910,10.374
19,84.128,173.011
19,90.274,180.576
19,84.128,187.195
19,84.128,214.143
19,88.383,222.653
19,83.182,247.238
19,83.182,305.863
19,86.019,326.665
20,84.601,289.788
20,99.730,294.989
20,112.022,296.880
20,115.804,300.662
21,86.019,214.143
21,92.165,217.925
21,88.856,250.075
21,94.529,262.367
21,114.386,269.931
21,129.042,275.132
21,133.770,279.860
22,48.197,109.185
22,94.529,114.386
22,101.148,115.804
22,112.495,117.223
23,192.868,0.918
23,192.868,356.923
24,188.613,237.309
24,180.103,241.565
24,188.613,246.292
24,182.940,254.330
24,187.667,256.221
24,186.722,263.785
24,183.412,269.459
24,186.249,281.751
24,179.157,291.207
24,185.776,294.043
25,188.140,331.866
25,174.429,340.376
26,206.106,-0.500
26,204.688,12.265
26,207.997,16.520
26,205.633,20.775
26,205.633,132.825
26,207.051,138.498
26,205.160,146.535
26,205.160,220.762
26,202.796,224.544
26,205.633,229.745
26,203.269,291.207
26,203.269,358.342
27,232.109,56.234
27,230.691,95.475
27,235.891,114.859
27,235.891,206.106
27,239.201,216.034
28,251.966,-0.500
28,249.602,13.211
28,255.275,25.976
28,252.439,121.005
28,251.966,163.083
28,251.966,196.650
28,256.694,208.943
28,251.493,247.711
28,250.075,312.955
28,255.275,321.938
28,250.547,331.393
28,249.602,353.614
29,262.367,-0.027
29,258.585,17.939
29,263.312,74.672
29,264.258,90.274
29,262.367,104.458
29,262.367,147.008
29,258.585,154.100
29,265.204,161.192
29,261.894,231.636
29,270.404,242.510
29,264.258,261.421
29,261.894,311.064
29,268.513,314.373
29,264.258,329.975
29,260.476,354.559
30,272.768,30.704
30,272.768,244.401
30,268.986,254.802
30,268.986,353.141
31,332.811,2.809
31,332.811,229.272
31,329.502,235.891
31,329.502,355.978
32,321.938,1.864
32,323.356,7.537
32,333.284,10.374
33,341.322,37.323
33,342.740,60.489
33,318.628,66.162
33,323.829,70.890
33,341.322,77.509
33,340.849,100.203
33,322.883,105.403
33,340.849,111.549
33,342.267,136.607
34,321.938,99.257
34,327.138,103.039
34,328.556,158.828
34,334.703,163.555
34,333.284,184.358
34,326.665,189.086
34,341.794,195.232
34,339.903,251.966
35,364.488,-0.027
35,364.488,322.410
36,465.191,7.065
36,452.898,11.320
36,426.422,16.993
37,432.569,2.337
37,431.150,4.701
37,432.096,7.065
37,432.096,43.942
37,426.895,46.305
37,427.841,50.560
37,432.096,52.452
37,429.259,56.707
37,440.606,62.380
37,439.660,66.162
37,436.351,68.526
37,439.660,71.836
37,439.660,175.375
37,427.368,180.576
37,423.586,183.885
37,429.732,188.613
37,426.422,193.814
37,426.422,244.401
37,430.205,250.547
37,422.167,255.275
37,423.586,286.479
37,429.259,296.407
37,426.422,301.608
37,427.368,343.685
37,425.477,349.359
37,425.477,358.815
37,425.950,358.815
