ROI,X,Y
1,42.334,1.447
1,40.387,5.828
1,39.413,20.917
1,39.900,24.324
1,37.466,37.466
1,39.413,40.873
1,37.466,45.741
1,22.864,52.069
1,21.404,59.857
1,17.510,64.237
1,21.404,65.211
1,18.483,68.131
1,18.970,73.486
1,21.890,75.433
1,16.536,79.327
1,16.536,83.220
1,8.261,104.637
1,7.288,111.452
1,0.960,117.780
1,0.473,122.160
2,2.907,9.235
2,2.420,39.900
2,1.447,54.016
2,6.801,61.317
2,3.881,65.211
2,4.854,71.539
2,6.801,95.876
2,1.934,100.743
2,3.881,102.204
2,1.447,104.151
2,2.907,118.753
2,1.447,122.647
3,174.729,2.907
3,173.755,23.351
3,167.914,31.625
3,141.630,41.847
3,141.630,45.741
3,124.594,55.476
3,110.478,61.317
3,105.611,61.804
3,91.982,67.158
3,78.353,71.052
3,75.919,73.486
3,52.069,82.734
3,40.873,85.654
3,19.943,94.902
3,13.616,98.796
3,15.563,103.664
3,9.235,113.886
3,3.394,117.293
3,0.473,122.647
4,219.420,-4.040
4,211.633,-1.119
4,214.066,5.208
4,198.004,14.457
4,194.110,112.293
4,197.030,118.134
4,194.110,182.384
4,190.216,191.146
4,196.543,195.527
4,198.977,198.447
4,198.490,207.208
4,196.057,226.678
4,197.030,243.714
4,199.951,246.635
5,37.953,3.394
5,39.413,356.772
6,60.343,1.934
6,59.857,35.519
6,62.290,40.387
6,61.804,74.459
6,57.910,79.813
6,59.857,88.575
6,60.343,176.676
6,63.751,182.030
6,61.317,187.384
6,64.237,191.278
6,62.777,197.606
6,63.264,203.447
6,75.433,212.695
6,75.433,220.483
6,82.247,232.652
6,83.707,255.042
6,82.247,302.257
6,86.628,330.001
6,87.114,348.011
6,86.141,357.746
7,604.526,205.881
7,591.871,206.854
7,568.994,212.695
7,548.064,217.563
7,545.143,219.510
7,528.594,224.377
7,522.753,225.351
7,519.346,228.271
7,487.707,234.599
7,477.972,236.546
7,453.148,242.873
7,446.334,245.307
7,390.358,255.529
7,393.765,256.502
7,368.941,263.804
7,349.958,268.671
7,301.770,277.919
7,294.955,286.194
7,217.076,307.611
7,199.553,309.558
7,175.216,314.912
7,144.064,323.673
7,121.673,331.948
7,100.743,338.763
7,78.840,345.577
7,69.105,347.524
7,68.131,348.984
7,39.413,355.312
7,30.652,359.206
8,604.526,42.820
8,537.842,55.476
8,511.558,61.804
8,499.876,67.158
8,451.201,73.486
8,415.182,77.380
8,397.659,79.327
8,386.464,82.247
8,391.818,84.681
8,372.835,89.548
8,373.808,90.522
8,323.187,100.743
8,222.917,122.647
8,152.339,147.471
9,19.943,172.782
9,60.830,166.941
9,66.184,164.507
9,109.992,159.153
9,129.948,155.746
9,248.228,143.577
10,126.541,58.396
10,127.028,101.230
10,131.408,109.505
10,128.975,115.833
10,129.461,234.112
10,126.541,243.360
10,129.461,248.714
10,126.054,264.290
10,127.514,356.286
11,606.013,242.413
11,596.278,248.254
11,595.792,251.175
11,589.951,253.122
11,590.924,256.529
11,570.481,265.290
11,572.428,268.211
11,569.020,276.486
11,566.587,282.327
11,531.054,299.363
11,521.806,301.310
11,519.372,304.717
11,487.734,316.886
11,485.787,320.780
11,488.707,323.700
11,477.999,327.107
11,475.565,329.054
11,476.539,332.461
11,460.963,338.789
11,459.502,342.196
11,444.900,348.037
11,432.245,353.392
11,426.890,354.852
11,419.589,358.746
12,604.040,260.883
12,603.553,265.751
12,600.146,268.184
12,585.543,274.512
12,582.623,283.273
12,585.543,285.707
12,580.189,293.495
12,561.206,298.363
12,538.329,314.912
12,528.107,319.293
12,532.488,321.240
12,518.372,323.187
12,515.452,324.647
12,520.319,326.107
12,515.452,328.541
12,492.088,332.922
12,483.813,336.329
12,488.194,338.763
12,485.273,342.657
12,487.220,343.630
