ROI,X,Y
1,1.933,62.276
1,87.581,53.030
1,97.314,49.624
1,145.977,43.784
2,206.320,22.372
2,230.165,18.965
2,232.112,17.019
2,251.577,14.586
2,257.904,11.179
2,291.968,3.393
2,294.888,0.960
3,8.259,77.848
3,38.431,73.955
3,45.244,71.035
3,86.608,65.682
3,100.234,63.736
3,145.491,57.896
4,205.834,43.297
4,219.459,37.944
4,250.118,33.078
4,249.144,32.591
4,257.417,28.212
4,275.909,24.805
4,290.022,20.425
4,378.103,9.233
4,372.263,7.286
4,381.996,2.906
4,412.167,0.473
5,294.888,16.046
5,339.172,9.719
5,336.252,8.259
5,379.076,1.933
6,8.746,218.973
6,37.944,209.240
6,58.870,205.347
6,55.950,201.454
6,60.816,197.561
6,92.934,189.775
6,92.447,188.315
6,98.774,185.882
6,128.945,177.609
6,134.298,174.689
6,160.090,168.849
7,192.694,152.790
7,230.165,145.491
7,234.545,144.031
7,227.246,142.571
7,234.545,139.165
7,250.604,133.325
7,265.690,131.865
7,282.235,126.512
7,291.968,124.565
7,295.861,122.619
7,303.647,121.159
7,324.573,117.266
7,326.033,116.293
7,324.573,115.319
7,329.926,112.886
7,375.183,104.613
7,382.969,102.667
7,395.135,101.207
7,431.633,90.988
7,457.911,82.715
7,483.216,76.388
7,505.601,70.549
7,521.174,67.629
8,201.941,133.325
8,205.834,132.352
8,260.823,124.565
9,219.946,128.945
9,232.112,124.565
9,264.717,116.293
9,302.674,108.506
10,212.160,126.999
10,218.000,125.052
10,231.139,121.646
10,236.978,117.753
10,249.631,110.940
10,281.749,103.153
10,284.669,100.234
10,291.968,96.341
10,327.493,87.581
10,330.412,86.608
10,377.130,80.282
10,381.996,76.388
10,389.295,76.875
10,438.932,64.223
10,440.879,61.789
10,476.890,52.543
10,479.810,49.624
10,492.949,43.784
10,501.222,42.811
10,514.847,37.458
10,521.660,31.618
11,225.299,137.218
11,244.765,132.838
11,274.449,127.972
11,289.048,122.132
11,293.915,119.212
11,307.054,117.753
11,321.166,112.400
11,348.905,106.073
11,373.236,99.260
11,379.563,96.341
11,408.761,93.421
11,419.467,91.961
11,442.825,85.148
11,445.745,80.768
11,448.178,77.848
11,448.178,73.469
11,469.104,67.142
11,476.403,62.276
11,484.189,61.303
11,491.976,56.923
11,509.981,52.057
11,519.714,47.677
12,277.856,124.565
12,301.214,114.833
12,321.166,108.506
12,327.493,102.667
12,342.092,99.260
12,363.990,90.501
13,319.220,98.774
13,327.979,95.367
13,339.172,91.961
13,377.129,87.094
13,382.482,86.121
13,412.167,80.282
13,427.740,74.442
13,430.659,68.602
13,429.200,62.276
13,432.606,57.896
13,449.152,47.190
13,478.836,36.484
13,487.596,31.131
13,497.329,26.265
13,504.141,16.532
13,512.901,10.693
13,515.821,1.447
13,520.687,-0.500
14,260.337,140.624
14,294.888,135.758
15,259.850,137.218
15,283.695,133.812
15,301.701,132.838
16,95.367,230.165
16,139.651,234.545
17,34.051,180.529
17,108.020,187.828
17,138.191,192.208
18,85.148,264.230
18,127.972,269.096
18,137.218,272.503
19,100.234,311.434
19,131.865,314.840
20,97.314,291.968
20,131.865,295.861
21,90.014,69.089
21,103.640,70.062
21,134.298,75.902
22,69.576,100.234
22,135.271,112.886
23,98.774,140.138
23,136.245,144.031
24,213.133,177.122
24,272.016,181.015
24,337.712,198.047
25,198.534,163.010
25,248.658,167.389
25,291.482,170.309
25,301.701,174.202
26,240.385,160.090
26,289.048,163.010
26,296.348,164.956
26,336.739,170.309
27,224.812,151.330
27,250.604,154.250
27,266.176,157.657
27,393.675,171.769
28,223.353,59.356
28,244.278,62.276
28,249.631,64.223
28,343.065,75.415
29,205.834,66.169
29,295.375,82.715
30,375.183,90.501
30,517.281,107.533
31,381.509,65.682
31,407.301,68.602
31,425.306,72.982
31,480.783,81.255
32,513.388,163.010
32,503.168,163.983
32,486.623,168.849
32,485.163,172.742
32,474.457,175.176
32,473.970,178.095
32,468.617,181.015
32,458.398,181.988
32,452.071,183.448
32,455.478,184.422
32,454.018,186.368
32,444.772,188.315
32,425.793,191.721
32,421.900,195.128
