ROI,X,Y
1,516.785,67.628
1,454.010,81.740
1,296.829,90.986
1,231.134,94.392
1,198.530,97.799
2,411.186,63.248
2,465.202,66.655
2,471.042,70.061
2,523.111,77.847
3,493.913,23.345
3,479.314,31.131
3,452.550,35.510
3,449.143,38.430
3,399.994,45.243
3,370.310,51.082
3,334.299,54.002
3,312.401,57.895
3,239.894,63.735
3,229.675,65.195
3,202.423,66.655
3,189.285,72.981
3,163.007,76.874
4,510.945,1.933
4,410.213,4.853
5,457.903,3.393
5,441.844,9.719
5,445.250,12.152
5,405.347,16.532
5,381.989,21.398
5,301.695,28.211
5,240.380,34.051
5,203.883,37.457
5,142.082,42.323
6,15.072,-0.013
6,15.072,356.684
7,29.184,0.473
7,24.805,37.944
7,35.510,58.868
7,35.510,358.144
8,72.494,359.117
8,72.494,132.836
9,83.686,359.117
9,83.686,227.241
10,116.777,359.604
10,116.777,-0.013
11,129.916,359.604
11,131.863,299.262
11,133.809,256.926
11,132.349,240.867
11,134.782,1.933
12,4.853,80.767
12,147.435,64.221
12,148.408,59.842
12,150.354,56.435
12,148.895,51.082
12,154.734,47.676
13,162.033,56.922
13,225.782,48.649
14,84.660,89.526
14,107.045,93.906
14,155.707,107.531
14,189.285,127.483
14,200.477,134.296
14,232.594,137.702
14,239.407,142.568
15,152.788,359.117
15,152.788,150.841
15,147.921,102.665
15,147.921,-0.013
16,203.883,-0.013
16,203.883,45.730
16,200.477,58.868
16,200.477,107.531
16,211.183,114.831
16,200.477,120.184
16,200.477,133.322
16,216.049,138.189
16,199.990,143.055
16,199.990,190.258
16,202.423,195.611
16,191.718,201.450
16,201.450,203.397
16,198.530,256.926
16,202.910,262.279
16,199.017,265.685
16,199.017,332.840
16,204.857,339.652
16,195.611,351.818
16,203.883,355.224
16,198.530,358.631
17,201.937,190.744
17,207.776,194.637
17,228.701,198.044
17,228.701,356.198
18,205.830,205.830
18,217.022,213.129
18,217.022,258.872
18,207.290,262.765
18,222.375,269.578
18,223.835,280.284
18,215.076,284.177
18,216.049,297.802
18,222.862,302.182
18,217.996,305.588
18,219.942,324.567
18,212.156,331.380
18,222.375,339.652
18,222.375,357.171
19,14.585,332.840
19,156.681,309.968
19,217.996,305.588
19,228.215,302.669
19,244.760,301.695
19,295.856,297.802
19,340.139,290.503
19,343.545,288.070
19,355.224,283.690
19,388.802,280.284
19,410.213,275.904
20,562.041,359.117
20,565.934,17.505
21,545.009,358.144
21,545.009,115.317
22,508.025,-0.013
22,506.565,267.145
22,507.539,317.267
22,509.485,337.219
22,509.485,359.117
23,478.828,354.738
23,478.828,257.899
24,471.528,-0.013
24,470.068,96.339
24,467.635,316.781
24,463.742,335.273
24,467.149,359.117
25,443.790,1.447
25,454.010,5.340
25,445.250,9.233
25,445.737,24.805
25,447.684,39.403
25,443.304,62.762
25,443.304,89.039
25,447.684,93.419
25,449.630,118.237
25,453.036,121.643
25,445.250,135.269
25,445.250,315.321
25,440.871,333.326
25,443.790,352.305
25,439.411,358.631
26,556.688,324.567
26,479.801,327.973
26,444.764,332.353
27,463.256,338.192
27,488.074,343.545
27,484.181,347.438
27,515.325,357.658
28,429.192,0.960
28,429.192,216.049
28,421.892,250.113
28,421.892,357.171
29,405.347,-0.500
29,405.347,67.141
29,411.186,75.414
29,411.186,355.711
30,228.701,0.960
30,228.701,191.231
31,291.476,1.447
31,291.476,200.477
32,347.438,2.420
32,347.438,357.658
33,366.903,358.144
33,366.903,265.685
33,362.524,251.086
33,367.390,238.921
34,383.449,357.171
34,383.449,232.594
35,355.224,358.631
35,401.454,352.305
35,425.299,345.005
36,348.412,338.192
36,383.935,324.567
37,390.748,308.022
37,342.085,326.027
37,282.717,330.406
38,337.219,1.447
38,334.299,355.711
39,322.134,2.906
39,318.241,262.279
40,315.808,206.803
40,288.556,214.103
40,287.583,218.482
40,296.342,222.862
40,291.963,229.675
40,307.048,233.081
40,311.915,238.921
