ROI,X,Y
1,93.584,1.391
1,86.019,5.173
1,89.801,10.847
1,86.019,16.047
1,84.128,27.867
1,84.128,33.068
1,112.022,47.724
1,112.968,51.506
1,119.587,52.924
1,119.587,57.179
1,128.570,62.380
1,129.515,97.839
1,167.810,108.240
1,180.576,114.386
1,180.103,127.624
1,182.940,130.461
1,215.089,137.552
1,211.306,140.389
1,212.725,143.226
1,261.421,147.954
1,286.952,160.246
1,292.152,162.610
1,296.880,166.865
1,313.427,175.848
1,316.737,177.266
1,330.920,180.103
1,335.175,203.742
1,332.811,217.925
1,333.757,240.146
1,334.703,248.656
1,333.757,283.642
1,332.339,287.424
1,335.175,314.373
1,329.975,319.574
1,333.757,326.193
1,333.284,356.923
2,7.537,173.957
2,21.248,172.066
2,18.411,170.174
2,30.231,168.756
2,93.584,161.192
2,93.111,157.882
2,128.570,152.681
2,171.593,149.372
2,286.479,134.716
2,293.571,133.297
2,324.774,129.515
2,338.485,127.624
2,394.273,122.896
2,398.528,120.532
2,453.371,115.804
3,7.065,283.169
3,49.615,286.479
3,58.598,288.843
3,97.839,294.516
3,110.131,299.717
3,107.294,300.662
3,107.294,302.081
3,127.624,305.863
3,143.226,309.645
3,172.538,311.536
3,174.429,312.955
3,189.086,315.791
3,233.054,318.628
3,259.530,322.883
3,257.639,326.193
3,302.081,329.975
3,308.700,331.393
3,398.528,336.594
3,409.402,339.903
3,465.663,344.158
4,89.383,-0.554
4,89.383,4.646
4,92.693,7.956
4,91.274,30.176
4,89.856,36.323
4,92.220,39.159
4,94.111,56.179
4,87.019,60.907
4,89.856,64.217
4,89.856,70.363
4,94.584,78.873
4,93.165,114.332
4,89.856,125.206
4,95.529,131.825
4,95.056,140.335
4,91.747,142.226
4,94.111,151.681
4,97.893,154.518
4,92.693,159.719
4,92.693,167.283
4,95.529,169.647
4,90.329,175.793
4,91.274,187.613
4,95.529,191.395
4,88.438,197.069
4,90.329,204.633
4,91.274,216.925
4,88.910,223.544
4,91.274,229.691
4,95.529,238.201
4,90.801,245.292
4,94.111,256.166
4,96.475,259.949
4,89.856,269.877
4,93.165,274.605
4,94.584,287.843
4,92.693,294.462
4,94.584,300.608
4,92.693,307.227
4,83.710,311.009
4,93.638,314.791
4,94.584,317.628
4,104.512,322.829
4,110.658,328.029
4,105.930,331.339
4,108.294,336.067
4,111.131,338.430
4,129.097,341.267
4,133.352,344.577
4,131.461,346.468
4,139.498,351.196
4,178.266,355.923
4,252.020,358.760
5,466.609,333.757
5,427.368,339.903
5,364.488,348.413
5,347.940,350.777
5,315.791,356.451
5,299.244,359.287
6,468.027,31.649
6,444.861,32.595
6,381.508,37.323
6,359.287,41.578
6,256.694,49.142
6,256.694,50.560
6,189.086,60.016
6,182.467,64.744
7,28.812,53.397
7,36.377,53.397
7,37.323,57.652
7,143.226,62.853
7,147.481,65.690
7,398.528,75.618
7,416.494,79.873
7,465.191,80.819
8,468.027,38.268
8,344.631,43.469
8,197.596,53.870
8,192.868,55.288
8,147.008,59.543
8,143.226,63.326
8,118.641,65.217
8,104.458,69.472
8,74.200,73.727
8,22.666,85.074
9,174.902,60.016
9,260.949,51.979
9,346.522,46.778
9,415.076,42.050
9,450.061,36.377
9,467.554,34.959
10,468.027,48.197
10,465.663,49.142
10,456.208,51.506
10,388.600,54.343
10,368.743,56.707
10,364.961,57.179
10,301.135,61.907
10,293.571,63.798
10,245.347,67.108
10,242.510,69.472
10,214.143,75.145
10,204.688,79.873
10,140.389,85.546
10,124.787,87.910
10,87.438,90.747
10,34.013,101.148
11,467.554,124.787
11,458.572,121.478
11,343.213,117.696
11,303.972,112.495
11,271.350,109.185
11,263.785,106.349
11,204.215,102.567
11,194.759,100.675
11,295.462,95.002
11,373.471,91.693
11,459.044,84.601
12,468.027,146.535
12,455.262,148.426
12,342.267,155.991
12,312.955,157.409
12,301.608,159.300
12,251.966,163.083
12,174.429,173.957
12,150.318,175.375
12,122.423,180.576
12,82.710,185.303
13,468.027,144.171
13,395.692,151.736
13,388.600,153.154
13,341.322,158.355
13,272.295,164.974
14,468.027,194.759
14,7.065,176.321
15,468.027,200.432
15,444.861,203.269
15,437.769,204.215
15,336.594,213.670
15,332.811,215.089
15,239.673,225.017
15,233.054,227.381
15,189.086,233.527
15,173.484,235.418
15,16.047,252.911
16,468.027,215.561
16,428.314,218.871
16,418.858,221.235
16,350.777,225.963
16,320.046,229.272
16,232.582,239.673
16,120.059,253.384
16,86.965,257.166
17,467.082,293.571
17,282.697,279.860
17,276.550,275.605
17,188.140,269.459
17,182.940,267.568
17,19.830,255.275
18,467.082,245.347
18,445.806,248.183
18,391.436,259.057
18,374.889,261.421
18,373.944,263.785
18,374.416,265.676
18,365.433,272.295
18,345.577,278.442
18,300.190,285.533
18,297.353,290.261
18,300.190,293.571
18,293.098,295.934
18,269.931,299.244
18,254.330,300.662
18,243.456,303.972
18,232.109,308.227
18,190.504,312.955
18,181.994,314.846
18,184.358,319.101
18,88.856,332.811
19,62.380,235.418
19,265.204,250.547
19,467.082,260.476
20,465.191,110.131
20,418.385,112.495
20,434.932,117.696
20,354.087,135.661
20,274.659,144.171
20,236.837,149.372
20,168.756,160.719
21,467.554,316.737
21,230.218,308.227
22,234.473,356.923
22,235.418,330.448
22,237.309,326.193
22,252.439,320.519
22,299.244,316.264
22,387.181,308.227
22,392.382,304.917
22,414.603,301.135
22,464.245,300.662
23,459.044,-0.027
23,459.044,302.553
23,461.408,306.808
23,459.517,321.938
23,462.354,324.774
23,459.517,333.757
23,465.663,338.012
23,459.990,342.740
23,460.463,357.396
24,461.408,270.877
24,457.153,263.312
24,459.517,255.748
24,455.735,251.966
24,449.116,234.000
24,458.099,226.908
24,458.572,213.670
24,457.153,201.851
24,455.262,199.960
24,457.626,195.705
24,454.317,191.450
24,455.735,184.358
24,446.752,177.266
24,447.698,166.392
24,446.279,143.699
24,442.024,120.532
24,422.167,111.549
24,424.058,105.876
24,406.566,95.948
24,404.674,86.492
24,407.038,84.128
24,399.001,78.927
24,399.001,34.013
24,407.984,28.340
24,401.838,26.449
24,399.001,23.139
24,398.528,1.864
25,421.222,43.942
25,415.076,44.414
25,403.256,46.778
25,406.093,48.669
25,407.038,168.756
25,408.929,170.647
25,402.310,173.957
25,407.038,176.793
25,407.038,180.103
25,390.964,192.395
25,391.909,267.095
25,393.328,268.986
25,390.491,272.768
25,390.964,277.496
25,399.001,283.642
25,402.310,311.536
25,400.892,316.264
25,400.419,323.356
25,390.018,329.029
25,394.273,331.393
25,392.382,344.158
25,392.382,357.396
26,387.181,103.512
26,385.290,107.767
26,385.763,121.478
26,381.508,142.753
26,381.035,151.736
26,378.199,164.501
26,378.671,179.157
26,386.236,185.303
26,384.818,189.558
26,384.818,200.432
26,376.307,212.252
26,372.525,225.017
26,362.124,237.782
26,360.706,245.347
26,360.233,356.923
27,36.850,1.391
27,36.377,294.989
28,1.864,290.734
28,22.194,294.043
28,30.704,297.826
28,53.397,299.244
28,64.271,302.553
28,65.690,306.336
28,56.234,309.172
28,62.380,312.009
28,66.162,314.373
28,54.343,317.682
28,59.543,319.101
28,57.179,319.574
28,51.033,321.465
28,39.686,326.193
28,22.194,327.611
28,37.795,335.648
28,36.377,338.485
28,25.030,340.376
28,33.068,343.213
28,35.431,346.522
28,25.976,349.359
28,26.921,355.505
29,34.959,25.030
29,22.666,30.704
29,23.139,34.013
29,33.540,38.741
29,33.540,52.924
29,36.850,67.108
29,34.959,89.801
29,34.959,105.876
29,27.394,108.240
29,30.704,113.441
29,31.176,147.481
29,36.377,151.736
29,35.904,181.994
29,23.612,187.195
29,24.557,228.799
29,36.850,238.728
29,35.904,264.731
29,26.921,268.513
29,31.649,273.714
29,31.176,291.679
30,199.487,253.857
30,329.975,260.949
30,336.594,264.731
30,464.718,271.823
31,372.998,260.476
31,300.190,262.840
31,277.496,267.568
31,250.075,268.513
31,240.146,272.295
31,240.619,290.261
31,248.183,292.152
31,259.057,294.989
31,260.003,302.553
31,259.057,320.046
31,263.312,324.301
31,260.003,328.084
31,262.367,332.339
31,272.295,337.539
31,281.751,339.430
31,292.152,346.522
31,289.316,351.250
31,292.625,354.087
31,293.098,357.396
32,350.777,284.588
32,313.427,288.370
32,307.754,289.788
32,261.894,294.043
32,251.493,297.826
32,253.384,304.917
32,258.585,308.700
32,252.911,316.264
33,354.087,302.081
33,241.565,313.427
34,413.184,199.487
34,299.244,196.650
34,250.075,193.814
34,75.618,186.249
35,368.270,188.613
35,331.393,183.412
35,269.459,180.103
35,211.779,171.120
35,172.066,160.246
36,175.375,333.757
36,191.922,331.393
36,203.742,328.556
36,243.456,322.410
36,249.129,316.264
36,293.098,315.319
36,297.353,312.955
36,419.331,305.390
37,86.019,3.755
37,86.965,355.032
38,96.893,5.646
38,92.165,323.829
38,98.784,336.121
38,97.366,353.141
39,162.610,338.958
39,162.610,1.391
40,173.484,358.342
40,173.484,1.864
41,197.123,352.668
41,196.177,0.918
42,201.378,210.834
42,200.432,2.809
43,212.252,190.977
43,212.252,14.156
44,242.983,354.559
44,240.146,258.112
44,233.527,248.183
44,237.309,155.991
44,237.782,132.352
44,241.565,123.369
44,241.565,5.173
45,467.082,40.632
45,249.129,32.595
45,66.635,20.302
46,98.311,11.792
46,129.515,23.139
46,335.175,52.924
46,426.422,60.962
47,164.501,117.696
47,459.990,131.406
48,237.309,1.864
48,238.728,27.394
48,258.585,38.741
48,255.748,61.907
48,239.201,72.308
48,237.782,102.094
48,238.728,126.678
49,276.550,2.809
49,273.714,249.129
49,281.751,254.802
49,282.224,357.869
50,270.404,271.823
50,272.768,237.309
50,253.384,228.327
50,254.802,140.389
50,252.911,134.243
50,252.911,121.951
50,256.221,116.277
50,256.694,75.618
50,268.040,72.781
50,273.714,58.598
50,275.132,42.050
50,265.676,31.176
50,278.442,24.085
50,281.751,3.282
51,341.322,192.395
51,350.304,195.705
51,338.485,203.742
51,345.577,207.524
51,345.577,212.252
51,338.958,231.163
51,341.322,255.748
51,349.832,263.312
51,350.777,266.622
51,362.597,270.404
52,119.587,254.802
52,323.829,264.731
52,323.829,264.731
53,326.193,333.284
53,277.023,336.121
53,265.676,338.485
53,267.095,343.685
53,305.390,348.413
53,347.468,358.815
