 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_DIV15_1_soma.tif:cell body:1,589.182,34.084,30.296,7.000,4.000,199.000,20081.643,21.000,388523.000,0.000
2,MAX_BCAP31-biotin_DIV15_1_soma.tif:nucleus:1,95.570,79.554,18.421,78.000,35.000,199.000,7602.972,78.000,147096.000,0.000
3,MAX_BCAP31-biotin_DIV15_1_soma.tif:cytoplasm:1,493.612,25.280,23.495,7.000,4.000,170.000,12478.671,16.000,241427.000,0.000
4,MAX_BCAP31-biotin_DIV15_1_soma.tif:dendrite 1:1,3.721,53.861,11.510,58.164,22.879,73.202,200.444,55.761,3878.019,16.254
5,MAX_BCAP31-biotin_DIV15_1_soma.tif:dendrite 1 background:1,3.721,5.088,1.004,5.010,3.618,8.894,18.934,4.917,366.315,16.254
6,MAX_BCAP31-biotin_DIV15_1_soma.tif:dendrite 2:1,5.014,8.078,3.178,5.030,4.059,22.471,40.500,7.395,783.561,21.997
7,MAX_BCAP31-biotin_DIV15_1_soma.tif:dendrite 2 background:1,5.014,4.690,0.654,5.002,3.000,7.183,23.515,4.657,454.951,21.997
8,MAX_BCAP31-biotin_DIV15_1_soma.tif:dendrite 3:1,1.396,9.058,2.936,6.225,4.118,15.472,12.641,8.149,244.569,6.000
9,MAX_BCAP31-biotin_DIV15_1_soma.tif:dendrite 3 background:1,1.396,5.245,1.587,3.999,3.736,10.158,7.319,4.697,141.602,6.000
10,MAX_BCAP31-biotin_DIV15_1_soma.tif:AIS:1,9.976,13.956,4.939,12.695,4.909,31.310,139.221,13.326,2693.530,43.697
11,MAX_BCAP31-biotin_DIV15_1_soma.tif:AIS background:1,9.976,5.191,3.253,4.605,3.018,41.699,51.788,4.662,1001.945,43.697
