 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:cell body:1,566.698,21.063,21.459,6.000,3.000,254.000,11936.473,12.000,230937.000,0.000
2,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:nucleus:1,71.277,36.421,15.777,33.000,10.000,218.000,2595.935,34.000,50224.000,0.000
3,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:cytoplasm:1,495.421,18.854,21.264,6.000,3.000,254.000,9340.538,11.000,180713.000,0.000
4,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 1:1,4.755,8.384,3.131,6.795,4.026,17.274,39.866,7.525,771.292,20.792
5,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 1 background:1,4.755,4.277,0.670,3.998,3.000,7.024,20.339,4.185,393.496,20.792
6,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 2:1,3.825,6.620,1.936,6.006,4.117,14.513,25.319,6.183,489.860,16.769
7,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 2 background:1,3.825,5.110,1.737,4.977,3.509,15.442,19.544,4.774,378.115,16.769
8,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 3:1,4.548,8.967,4.489,6.059,4.246,26.883,40.784,7.075,789.058,20.022
9,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:dendrite 3 background:1,4.548,4.671,0.937,5.011,3.071,10.428,21.246,4.572,411.056,20.022
10,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:AIS:1,5.531,20.786,7.332,13.232,9.116,42.569,114.960,19.634,2224.152,24.127
11,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:AIS background:1,5.531,4.847,1.233,4.006,3.300,13.069,26.807,4.656,518.633,24.127
12,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:axon:1,13.490,17.947,7.047,20.632,6.450,46.130,242.115,16.476,4684.249,59.188
13,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:axon background:1,13.490,4.763,1.132,4.016,3.016,12.000,64.259,4.640,1243.236,59.188
14,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:growth cone:1,170.051,10.140,5.130,7.000,3.000,62.000,1724.386,9.000,33362.000,0.000
15,MAX_BCAP31-biotin_DIV3_4_BOTH.tif:growth cone background:1,170.051,4.639,3.746,4.000,3.000,119.000,788.849,4.000,15262.000,0.000
