 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_DIV3_1_soma.tif:cell body:1,290.120,37.022,27.565,7.000,3.000,215.000,10740.846,29.000,207805.000,0.000
2,MAX_ERGIC53_DIV3_1_soma.tif:nucleus:1,87.610,68.709,18.880,63.000,17.000,215.000,6019.588,67.000,116462.000,0.000
3,MAX_ERGIC53_DIV3_1_soma.tif:cytoplasm:1,202.510,23.314,17.664,7.000,3.000,192.000,4721.259,18.000,91343.000,0.000
4,MAX_ERGIC53_DIV3_1_soma.tif:dendrite 1:1,2.688,13.240,3.411,9.268,7.031,21.901,35.585,13.629,688.472,11.713
5,MAX_ERGIC53_DIV3_1_soma.tif:dendrite 1 background:1,2.688,3.929,0.513,3.019,3.015,4.848,10.559,3.910,204.291,11.713
6,MAX_ERGIC53_DIV3_1_soma.tif:dendrite 2:1,2.533,17.115,4.417,11.067,10.047,32.754,43.347,16.331,838.643,11.052
7,MAX_ERGIC53_DIV3_1_soma.tif:dendrite 2 background:1,2.533,4.316,0.731,3.662,3.062,6.442,10.932,4.376,211.503,11.052
8,MAX_ERGIC53_DIV3_1_soma.tif:dendrite 3:1,4.238,8.915,2.569,11.407,5.000,19.080,37.786,8.426,731.051,18.566
9,MAX_ERGIC53_DIV3_1_soma.tif:dendrite 3 background:1,4.238,4.358,1.078,4.115,3.000,9.718,18.473,4.165,357.394,18.566
10,MAX_ERGIC53_DIV3_1_soma.tif:AIS:1,9.976,11.271,4.060,8.037,5.500,30.010,112.438,10.525,2175.357,43.862
11,MAX_ERGIC53_DIV3_1_soma.tif:AIS background:1,9.976,4.396,1.035,3.997,3.022,9.038,43.848,4.142,848.333,43.862
