 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_DIV3_2_BOTH.tif:cell body:1,251.561,43.463,30.770,7.000,4.000,210.000,10933.691,40.000,211536.000,0.000
2,MAX_ERGIC53_DIV3_2_BOTH.tif:nucleus:1,84.922,61.546,22.207,52.000,11.000,197.000,5226.604,58.000,101120.000,0.000
3,MAX_ERGIC53_DIV3_2_BOTH.tif:cytoplasm:1,166.639,34.248,30.439,7.000,4.000,210.000,5707.087,22.000,110416.000,0.000
4,MAX_ERGIC53_DIV3_2_BOTH.tif:dendrite 1:1,4.135,9.730,4.469,8.715,4.121,26.520,40.234,8.743,778.405,18.173
5,MAX_ERGIC53_DIV3_2_BOTH.tif:dendrite 1 background:1,4.135,4.406,0.938,3.879,3.035,9.119,18.218,4.340,352.466,18.173
6,MAX_ERGIC53_DIV3_2_BOTH.tif:dendrite 2:1,4.704,25.467,13.104,11.385,8.154,95.206,119.786,21.579,2317.528,20.644
7,MAX_ERGIC53_DIV3_2_BOTH.tif:dendrite 2 background:1,4.704,7.251,3.923,4.760,3.427,24.107,34.105,5.860,659.830,20.644
8,MAX_ERGIC53_DIV3_2_BOTH.tif:dendrite 3:1,2.998,10.610,6.345,7.119,4.702,40.050,31.807,8.473,615.367,13.137
9,MAX_ERGIC53_DIV3_2_BOTH.tif:dendrite 3 background:1,2.998,4.545,0.886,4.029,3.000,7.579,13.624,4.316,263.589,13.137
10,MAX_ERGIC53_DIV3_2_BOTH.tif:AIS:1,4.652,19.782,5.178,16.638,7.955,33.953,92.022,20.483,1780.373,20.276
11,MAX_ERGIC53_DIV3_2_BOTH.tif:AIS background:1,4.652,4.704,0.881,4.005,3.083,8.634,21.880,4.545,423.315,20.276
12,MAX_ERGIC53_DIV3_2_BOTH.tif:axon:1,15.403,17.917,6.623,12.612,6.650,46.291,275.967,17.264,5339.184,67.718
13,MAX_ERGIC53_DIV3_2_BOTH.tif:axon background:1,15.403,4.774,1.392,4.995,3.001,18.704,73.539,4.617,1422.781,67.718
14,MAX_ERGIC53_DIV3_2_BOTH.tif:growth cone:1,62.748,8.961,4.290,6.000,3.000,53.000,562.304,8.000,10879.000,0.000
15,MAX_ERGIC53_DIV3_2_BOTH.tif:growth cone background:1,62.748,4.168,1.066,4.000,3.000,14.000,261.537,4.000,5060.000,0.000
