 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_ERGIC53_DIV3_6_BOTH.tif:cell body:1,204.061,33.651,18.674,11.000,5.000,150.000,0.000,0.000,6866.843,33.000,132854.000,0,0.000
2,MAX_ERGIC53_DIV3_6_BOTH.tif:nucleus:1,64.299,47.346,14.973,43.000,20.000,124.000,0.000,0.000,3044.269,45.000,58898.000,0,0.000
3,MAX_ERGIC53_DIV3_6_BOTH.tif:cytoplasm:1,139.762,27.351,16.736,11.000,5.000,150.000,0.000,0.000,3822.574,24.000,73956.000,0,0.000
4,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 1:1,2.016,7.724,1.776,8.834,4.940,11.935,0.000,0.000,15.569,7.544,301.218,0,8.804
5,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 1 background:1,2.016,4.980,1.108,3.270,3.261,7.583,0.000,0.000,10.038,4.952,194.212,0,8.804
6,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 2:1,0.930,7.400,1.416,4.643,4.631,10.577,0.000,0.000,6.884,7.272,133.194,0,4.018
7,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 2 background:1,0.930,17.289,7.264,28.106,7.500,31.753,0.000,0.000,16.085,15.600,311.198,0,4.018
8,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 3:1,0.000,5.000,0.000,5.000,5.000,5.000,103.784,54.791,0.258,5.000,5.000,1,0.000
9,MAX_ERGIC53_DIV3_6_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,106.058,57.064,0.155,3.000,3.000,1,0.000
10,MAX_ERGIC53_DIV3_6_BOTH.tif:AIS:1,3.773,14.825,5.394,18.154,7.071,29.500,0.000,0.000,55.937,13.353,1082.224,0,16.533
11,MAX_ERGIC53_DIV3_6_BOTH.tif:AIS background:1,3.773,4.794,1.051,4.005,3.182,10.092,0.000,0.000,18.089,4.670,349.978,0,16.533
12,MAX_ERGIC53_DIV3_6_BOTH.tif:axon:1,29.410,16.178,5.854,11.190,6.605,34.884,0.000,0.000,475.791,15.110,9205.216,0,129.289
13,MAX_ERGIC53_DIV3_6_BOTH.tif:axon background:1,29.410,4.566,1.712,4.002,3.000,20.696,0.000,0.000,134.291,4.154,2598.157,0,129.289
14,MAX_ERGIC53_DIV3_6_BOTH.tif:growth cone:1,56.081,13.033,9.016,7.000,3.000,62.000,0.000,0.000,730.908,10.000,14141.000,0,0.000
15,MAX_ERGIC53_DIV3_6_BOTH.tif:growth cone background:1,56.081,4.499,2.177,4.000,3.000,39.000,0.000,0.000,252.285,4.000,4881.000,0,0.000
