 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_DIV3_10_BOTH.tif:cell body:1,459.860,41.517,31.216,11.000,4.000,151.000,19092.145,31.000,369379.000,0.000
2,MAX_SLC38A1_DIV3_10_BOTH.tif:nucleus:1,90.194,74.457,21.894,73.000,18.000,151.000,6715.607,75.000,129928.000,0.000
3,MAX_SLC38A1_DIV3_10_BOTH.tif:cytoplasm:1,369.666,33.480,27.676,11.000,4.000,140.000,12376.538,22.000,239451.000,0.000
4,MAX_SLC38A1_DIV3_10_BOTH.tif:dendrite 1:1,3.360,36.617,6.282,36.549,23.045,52.467,123.022,35.474,2380.135,14.561
5,MAX_SLC38A1_DIV3_10_BOTH.tif:dendrite 1 background:1,3.360,9.776,2.129,8.438,6.107,15.968,32.845,9.608,635.466,14.561
6,MAX_SLC38A1_DIV3_10_BOTH.tif:dendrite 2:1,3.618,26.941,8.089,15.030,14.960,51.000,97.477,25.626,1885.904,15.800
7,MAX_SLC38A1_DIV3_10_BOTH.tif:dendrite 2 background:1,3.618,8.432,1.726,9.020,4.000,14.000,30.509,8.552,590.262,15.800
8,MAX_SLC38A1_DIV3_10_BOTH.tif:dendrite 3:1,2.223,15.017,3.968,11.973,8.000,26.000,33.377,15.000,645.747,9.570
9,MAX_SLC38A1_DIV3_10_BOTH.tif:dendrite 3 background:1,2.223,9.930,2.695,10.019,6.742,18.000,22.070,10.000,426.984,9.570
10,MAX_SLC38A1_DIV3_10_BOTH.tif:AIS:1,5.117,24.982,5.762,18.158,15.525,45.483,127.831,24.474,2473.175,22.365
11,MAX_SLC38A1_DIV3_10_BOTH.tif:AIS background:1,5.117,11.054,5.358,8.504,5.803,39.542,56.564,9.349,1094.349,22.365
12,MAX_SLC38A1_DIV3_10_BOTH.tif:axon:1,15.816,25.355,6.331,25.950,11.648,56.570,401.017,24.530,7758.537,69.517
13,MAX_SLC38A1_DIV3_10_BOTH.tif:axon background:1,15.816,10.156,4.655,8.962,5.000,43.270,160.622,8.920,3107.590,69.517
14,MAX_SLC38A1_DIV3_10_BOTH.tif:growth cone:1,65.333,22.548,12.682,11.000,5.000,77.000,1473.135,20.000,28501.000,0.000
15,MAX_SLC38A1_DIV3_10_BOTH.tif:growth cone background:1,65.333,8.083,2.335,8.000,3.000,34.000,528.088,8.000,10217.000,0.000
