 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_DIV3_11_soma.tif:cell body:1,365.273,42.408,34.463,15.000,3.000,191.000,15490.636,28.000,299700.000,0.000
2,MAX_SLC38A1_DIV3_11_soma.tif:nucleus:1,83.216,90.390,28.996,99.000,25.000,191.000,7521.926,89.000,145528.000,0.000
3,MAX_SLC38A1_DIV3_11_soma.tif:cytoplasm:1,282.057,28.252,20.260,15.000,3.000,152.000,7968.710,22.000,154172.000,0.000
4,MAX_SLC38A1_DIV3_11_soma.tif:dendrite 1:1,7.495,19.164,4.465,15.554,9.804,35.403,143.627,19.341,2778.778,32.862
5,MAX_SLC38A1_DIV3_11_soma.tif:dendrite 1 background:1,7.495,7.094,1.191,5.969,4.490,11.193,53.169,7.040,1028.677,32.862
6,MAX_SLC38A1_DIV3_11_soma.tif:dendrite 2:1,5.737,22.268,7.981,18.163,7.198,44.877,127.758,20.678,2471.751,25.166
7,MAX_SLC38A1_DIV3_11_soma.tif:dendrite 2 background:1,5.737,7.644,1.610,6.052,4.312,12.960,43.854,7.582,848.447,25.166
8,MAX_SLC38A1_DIV3_11_soma.tif:dendrite 3:1,6.254,21.012,5.564,15.162,10.177,38.854,131.413,20.012,2542.460,27.429
9,MAX_SLC38A1_DIV3_11_soma.tif:dendrite 3 background:1,6.254,7.344,1.849,5.987,4.001,14.270,45.932,7.196,888.658,27.429
10,MAX_SLC38A1_DIV3_11_soma.tif:AIS:1,8.890,16.946,4.905,14.275,7.651,39.347,150.650,16.016,2914.651,39.027
11,MAX_SLC38A1_DIV3_11_soma.tif:AIS background:1,8.890,7.387,2.088,6.885,3.524,16.270,65.676,7.123,1270.645,39.027
