 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_DIV15_2_soma.tif:cell body:1,245.411,19.215,9.625,7.000,4.000,66.000,4715.625,19.000,91234.000,0.000
2,MAX_SURF4_DIV15_2_soma.tif:nucleus:1,59.699,22.577,8.639,27.000,5.000,43.000,1347.846,24.000,26077.000,0.000
3,MAX_SURF4_DIV15_2_soma.tif:cytoplasm:1,187.263,18.047,9.685,7.000,4.000,66.000,3379.615,17.000,65386.000,0.000
4,MAX_SURF4_DIV15_2_soma.tif:dendrite 1:1,3.618,15.084,5.791,6.541,6.500,27.645,54.575,13.820,1055.871,15.919
5,MAX_SURF4_DIV15_2_soma.tif:dendrite 1 background:1,3.618,3.960,2.291,3.022,3.000,14.343,14.326,3.018,277.177,15.919
6,MAX_SURF4_DIV15_2_soma.tif:dendrite 2:1,7.443,16.787,3.239,13.978,9.551,26.098,124.942,16.115,2417.267,32.560
7,MAX_SURF4_DIV15_2_soma.tif:dendrite 2 background:1,7.443,3.142,0.317,3.003,3.000,4.524,23.383,3.000,452.395,32.560
8,MAX_SURF4_DIV15_2_soma.tif:dendrite 3:1,2.067,7.914,2.538,5.716,5.127,19.500,16.362,7.478,316.566,9.025
9,MAX_SURF4_DIV15_2_soma.tif:dendrite 3 background:1,2.067,3.960,1.235,3.009,3.000,7.641,8.187,3.298,158.398,9.025
10,MAX_SURF4_DIV15_2_soma.tif:AIS:1,5.014,8.984,4.219,7.126,4.011,31.049,45.041,7.557,871.424,22.027
11,MAX_SURF4_DIV15_2_soma.tif:AIS background:1,5.014,3.139,0.340,3.003,3.000,4.526,15.738,3.000,304.484,22.027
