 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_DIV15_4_soma.tif:cell body:1,96.707,25.819,9.354,23.000,4.000,55.000,0.000,0.000,2496.902,26.000,48308.000,0,0.000
2,MAX_SURF4_DIV15_4_soma.tif:nucleus:1,35.199,25.906,5.528,21.000,15.000,44.000,0.000,0.000,911.865,25.000,17642.000,0,0.000
3,MAX_SURF4_DIV15_4_soma.tif:cytoplasm:1,61.508,25.770,10.961,35.000,4.000,55.000,0.000,0.000,1585.038,27.000,30666.000,0,0.000
4,MAX_SURF4_DIV15_4_soma.tif:dendrite 1:1,8.115,18.247,3.095,18.202,10.019,29.507,0.000,0.000,148.075,18.235,2864.831,0,35.514
5,MAX_SURF4_DIV15_4_soma.tif:dendrite 1 background:1,8.115,4.301,1.494,3.011,3.000,8.746,0.000,0.000,34.903,3.555,675.270,0,35.514
6,MAX_SURF4_DIV15_4_soma.tif:dendrite 2:1,8.115,22.423,4.188,23.516,13.672,35.120,0.000,0.000,181.962,22.660,3520.447,0,35.632
7,MAX_SURF4_DIV15_4_soma.tif:dendrite 2 background:1,8.115,3.212,0.450,3.005,3.000,5.382,0.000,0.000,26.061,3.000,504.212,0,35.632
8,MAX_SURF4_DIV15_4_soma.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3.000,3.000,91.394,82.073,0.155,3.000,3.000,3,0.000
9,MAX_SURF4_DIV15_4_soma.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,93.667,84.346,0.155,3.000,3.000,3,0.000
10,MAX_SURF4_DIV15_4_soma.tif:AIS:1,8.270,7.155,1.703,7.016,4.003,13.584,0.000,0.000,59.175,6.900,1144.872,0,36.345
11,MAX_SURF4_DIV15_4_soma.tif:AIS background:1,8.270,4.419,1.619,3.012,3.000,9.200,0.000,0.000,36.545,3.853,707.041,0,36.345
