 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_DIV3_5_BOTH.tif:cell body:1,484.670,6.445,3.205,4.000,3.000,44.000,3123.919,5.000,60439.000,0.000
2,MAX_SURF4_DIV3_5_BOTH.tif:nucleus:1,99.549,8.383,3.793,6.000,4.000,38.000,834.489,7.000,16145.000,0.000
3,MAX_SURF4_DIV3_5_BOTH.tif:cytoplasm:1,385.121,5.945,2.826,4.000,3.000,44.000,2289.430,5.000,44294.000,0.000
4,MAX_SURF4_DIV3_5_BOTH.tif:dendrite 1:1,3.928,4.547,0.669,4.003,3.756,6.562,17.861,4.361,345.561,17.168
5,MAX_SURF4_DIV3_5_BOTH.tif:dendrite 1 background:1,3.928,3.096,0.229,3.002,3.000,4.160,12.161,3.000,235.290,17.168
6,MAX_SURF4_DIV3_5_BOTH.tif:dendrite 2:1,4.083,3.882,0.454,4.003,3.000,5.901,15.851,3.961,306.671,17.880
7,MAX_SURF4_DIV3_5_BOTH.tif:dendrite 2 background:1,4.083,3.022,0.121,3.002,3.000,3.962,12.338,3.000,238.713,17.880
8,MAX_SURF4_DIV3_5_BOTH.tif:dendrite 3:1,1.964,4.856,0.875,4.000,3.000,7.230,9.537,4.779,184.511,8.582
9,MAX_SURF4_DIV3_5_BOTH.tif:dendrite 3 background:1,1.964,3.080,0.308,3.003,3.000,4.598,6.050,3.000,117.052,8.582
10,MAX_SURF4_DIV3_5_BOTH.tif:AIS:1,3.618,7.126,2.052,6.335,4.000,14.044,25.781,6.719,498.790,15.878
11,MAX_SURF4_DIV3_5_BOTH.tif:AIS background:1,3.618,3.021,0.116,3.002,3.000,3.867,10.929,3.000,211.441,15.878
12,MAX_SURF4_DIV3_5_BOTH.tif:axon:1,13.800,6.063,1.225,6.003,3.599,12.456,83.666,5.927,1618.695,60.683
13,MAX_SURF4_DIV3_5_BOTH.tif:axon background:1,13.800,3.104,0.298,3.005,3.000,5.327,42.834,3.000,828.726,60.683
14,MAX_SURF4_DIV3_5_BOTH.tif:growth cone:1,21.605,4.907,1.207,4.000,3.000,9.000,106.010,5.000,2051.000,0.000
15,MAX_SURF4_DIV3_5_BOTH.tif:growth cone background:1,21.605,3.014,0.119,3.000,3.000,4.000,65.126,3.000,1260.000,0.000
