 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_DIV3_6_BOTH.tif:cell body:1,111.282,6.477,2.459,5.000,3.000,22.000,0.000,0.000,720.725,6.000,13944.000,0,0.000
2,MAX_SURF4_DIV3_6_BOTH.tif:nucleus:1,50.705,6.039,2.019,5.000,4.000,22.000,0.000,0.000,306.195,5.000,5924.000,0,0.000
3,MAX_SURF4_DIV3_6_BOTH.tif:cytoplasm:1,60.577,6.843,2.721,5.000,3.000,22.000,0.000,0.000,414.531,6.000,8020.000,0,0.000
4,MAX_SURF4_DIV3_6_BOTH.tif:dendrite 1:1,5.582,3.962,0.539,3.995,3.000,6.246,0.000,0.000,22.118,3.952,427.917,0,24.522
5,MAX_SURF4_DIV3_6_BOTH.tif:dendrite 1 background:1,5.582,3.007,0.059,3.001,3.000,3.564,0.000,0.000,16.788,3.000,324.798,0,24.522
6,MAX_SURF4_DIV3_6_BOTH.tif:dendrite 2:1,0.000,3.000,0.000,3.000,3.000,3.000,79.458,67.409,0.155,3.000,3.000,1,0.000
7,MAX_SURF4_DIV3_6_BOTH.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,81.732,69.682,0.155,3.000,3.000,1,0.000
8,MAX_SURF4_DIV3_6_BOTH.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3.000,3.000,79.458,67.409,0.155,3.000,3.000,1,0.000
9,MAX_SURF4_DIV3_6_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,81.732,69.682,0.155,3.000,3.000,1,0.000
10,MAX_SURF4_DIV3_6_BOTH.tif:AIS:1,3.463,8.606,1.378,6.999,5.446,12.127,0.000,0.000,29.803,8.408,576.607,0,15.090
11,MAX_SURF4_DIV3_6_BOTH.tif:AIS background:1,3.463,3.000,0.000,3.000,3.000,3.000,0.000,0.000,10.389,3.000,201.000,0,15.090
12,MAX_SURF4_DIV3_6_BOTH.tif:axon:1,20.520,6.782,1.691,5.008,3.234,13.920,0.000,0.000,139.168,6.475,2692.502,0,90.255
13,MAX_SURF4_DIV3_6_BOTH.tif:axon background:1,20.520,3.057,0.334,3.008,3.000,7.194,0.000,0.000,62.735,3.000,1213.749,0,90.255
14,MAX_SURF4_DIV3_6_BOTH.tif:growth cone:1,14.059,4.864,1.317,4.000,3.000,9.000,0.000,0.000,68.382,5.000,1323.000,0,0.000
15,MAX_SURF4_DIV3_6_BOTH.tif:growth cone background:1,14.059,3.015,0.121,3.000,3.000,4.000,0.000,0.000,42.383,3.000,820.000,0,0.000
