 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:cell body:1,213.778,580.638,259.254,375.568,165.000,1496.000,124127.704,537.000,2401520.000,0.000
2,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:nucleus:1,79.702,846.059,156.234,864.477,476.000,1496.000,67432.233,837.000,1304623.000,0.000
3,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:cytoplasm:1,134.076,422.859,160.869,354.473,165.000,1055.000,56695.470,382.000,1096897.000,0.000
4,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:dendrite 1:1,4.755,230.155,38.219,223.708,172.963,314.936,1094.437,224.513,21174.253,20.839
5,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:dendrite 1 background:1,4.755,167.493,28.775,152.303,134.735,292.539,796.468,158.703,15409.400,20.839
6,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:dendrite 2:1,5.427,245.976,22.391,229.539,202.565,318.622,1334.947,241.836,25827.454,23.727
7,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:dendrite 2 background:1,5.427,180.927,35.264,147.246,140.612,288.295,981.918,170.000,18997.334,23.727
8,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:dendrite 3:1,5.065,237.984,61.559,149.838,139.005,360.863,1205.468,248.769,23322.402,22.244
9,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:dendrite 3 background:1,5.065,162.417,29.564,139.313,130.315,261.939,822.695,150.900,15916.831,22.244
10,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:AIS:1,7.546,170.116,19.531,153.720,137.060,247.842,1283.751,167.061,24836.953,33.145
11,SUM_a896522c-2442-44d1-8475-2bf26d16ee7a.tif:AIS background:1,7.546,147.104,21.709,132.307,128.290,236.513,1110.098,137.432,21477.248,33.145
