 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:cell body:1,195.688,258.975,114.867,137.525,114.000,917.000,50678.260,224.000,980481.000,0.000
2,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:nucleus:1,57.786,340.127,93.276,275.350,144.000,917.000,19654.656,334.000,380262.000,0.000
3,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:cytoplasm:1,137.901,224.970,105.661,155.898,114.000,806.000,31023.604,188.000,600219.000,0.000
4,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:dendrite 1:1,5.220,136.816,17.836,125.165,116.742,217.029,714.234,131.665,13818.409,22.929
5,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:dendrite 1 background:1,5.220,113.880,1.556,114.283,111.002,120.385,594.497,113.734,11501.840,22.929
6,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:dendrite 2:1,4.083,150.594,12.932,138.159,127.810,182.434,614.916,149.549,11896.893,17.935
7,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:dendrite 2 background:1,4.083,116.311,4.207,113.701,111.251,133.256,474.930,114.688,9188.561,17.935
8,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:dendrite 3:1,2.739,130.964,7.926,128.301,119.158,154.357,358.766,129.157,6941.110,11.877
9,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:dendrite 3 background:1,2.739,115.067,6.785,112.217,111.624,155.000,315.217,113.505,6098.552,11.877
10,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:AIS:1,5.479,174.041,23.692,171.088,130.102,281.073,953.544,170.991,18448.386,23.936
11,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:AIS background:1,5.479,119.000,12.227,113.547,111.736,196.072,651.980,115.236,12613.976,23.936
12,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:axon:1,21.709,164.274,22.771,141.705,120.986,242.918,3566.162,160.831,68995.143,95.394
13,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:axon background:1,21.709,115.885,10.646,113.067,111.199,247.850,2515.693,114.069,48671.535,95.394
14,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:growth cone:1,88.488,131.716,15.800,118.225,111.000,248.000,11655.295,127.000,225497.000,0.000
15,SUM_a86344c6-a543-408d-931e-65d9c46a46ff.tif:growth cone background:1,88.488,113.995,5.389,112.104,111.000,224.000,10087.263,113.000,195160.000,0.000
