 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:cell body:1,251.561,341.088,163.295,159.688,131.000,995.000,85804.635,314.000,1660077.000,0.000
2,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:nucleus:1,84.922,454.192,111.322,474.482,180.000,995.000,38570.857,453.000,746237.000,0.000
3,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:cytoplasm:1,166.639,283.449,155.243,162.654,131.000,984.000,47233.777,219.000,913840.000,0.000
4,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:dendrite 1:1,4.135,150.549,15.525,134.689,133.024,210.520,622.515,148.709,12043.913,18.173
5,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:dendrite 1 background:1,4.135,131.705,2.465,131.463,129.052,146.436,544.596,131.211,10536.392,18.173
6,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:dendrite 2:1,4.704,216.600,46.199,163.341,149.154,418.188,1018.786,210.467,19710.626,20.644
7,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:dendrite 2 background:1,4.704,142.680,15.176,132.338,129.561,197.285,671.101,138.526,12983.898,20.644
8,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:dendrite 3:1,2.998,155.224,21.642,144.133,132.133,252.600,465.339,150.385,9002.988,13.137
9,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:dendrite 3 background:1,2.998,132.025,2.636,131.083,129.000,143.220,395.790,131.380,7657.423,13.137
10,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:AIS:1,4.652,193.371,20.900,185.191,153.631,256.551,899.531,190.319,17403.388,20.276
11,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:AIS background:1,4.652,132.132,1.774,130.989,129.166,138.786,614.657,132.006,11891.871,20.276
12,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:axon:1,15.403,185.980,24.584,179.040,143.013,286.004,2864.613,182.534,55422.159,67.718
13,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:axon background:1,15.403,132.788,3.931,131.917,129.003,174.203,2045.304,132.190,39570.843,67.718
14,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:growth cone:1,62.748,151.638,15.744,148.271,129.000,272.000,9515.034,148.000,184089.000,0.000
15,SUM_c11edb2e-940d-4a45-b083-07d75f2e9909.tif:growth cone background:1,62.748,130.915,2.193,129.965,129.000,155.000,8214.689,130.000,158931.000,0.000
