 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:cell body:1,459.860,315.701,197.288,129.480,102.000,1040.000,145178.222,237.000,2808788.000,0.000
2,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:nucleus:1,90.194,547.913,160.577,443.504,194.000,1040.000,49418.489,546.000,956108.000,0.000
3,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:cytoplasm:1,369.666,259.044,160.509,132.514,102.000,1021.000,95759.733,189.000,1852680.000,0.000
4,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:dendrite 1:1,3.360,246.141,25.992,234.915,201.390,309.345,826.950,236.631,15999.147,14.561
5,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:dendrite 1 background:1,3.360,127.290,9.126,122.580,110.314,152.465,427.653,125.224,8273.880,14.561
6,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:dendrite 2:1,3.618,198.717,30.068,172.057,151.560,278.000,718.979,193.780,13910.207,15.800
7,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:dendrite 2 background:1,3.618,114.550,6.994,101.074,101.000,139.000,414.452,114.000,8018.465,15.800
8,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:dendrite 3:1,2.223,150.662,14.879,129.888,116.000,192.458,334.854,149.631,6478.478,9.570
9,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:dendrite 3 background:1,2.223,125.727,10.482,111.035,108.000,150.000,279.434,125.000,5406.267,9.570
10,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:AIS:1,5.117,191.970,21.604,158.311,153.315,241.510,982.316,189.897,19005.041,22.365
11,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:AIS background:1,5.117,126.960,20.471,113.689,104.692,217.052,649.656,121.593,12569.015,22.365
12,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:axon:1,15.816,186.650,21.432,180.805,143.594,255.010,2952.101,184.567,57114.813,69.517
13,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:axon background:1,15.816,121.648,17.560,118.639,102.748,211.232,1924.019,116.074,37224.319,69.517
14,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:growth cone:1,65.333,180.036,49.998,146.508,105.000,381.000,11762.236,169.000,227566.000,0.000
15,SUM_8c1c2173-01b9-45a1-915e-f3c21cc5dfc9.tif:growth cone background:1,65.333,113.339,7.415,110.006,99.000,148.000,7404.700,112.000,143260.000,0.000
