 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:cell body:1,96.707,347.384,85.213,395.480,158.000,544.000,0.000,0.000,33594.316,376.000,649955.000,0,0.000
2,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:nucleus:1,35.199,401.711,39.714,377.955,299.000,544.000,0.000,0.000,14139.793,404.000,273565.000,0,0.000
3,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:cytoplasm:1,61.508,316.294,88.658,412.525,158.000,517.000,0.000,0.000,19454.523,312.000,376390.000,0,0.000
4,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:dendrite 1:1,8.115,226.301,20.115,219.037,187.922,282.189,0.000,0.000,1836.408,223.646,35529.299,0,35.514
5,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:dendrite 1 background:1,8.115,152.599,7.232,147.056,147.000,175.499,0.000,0.000,1238.324,147.743,23958.063,0,35.514
6,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:dendrite 2:1,8.115,235.703,20.657,225.653,194.510,291.147,0.000,0.000,1912.701,237.473,37005.358,0,35.632
7,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:dendrite 2 background:1,8.115,147.397,1.200,147.016,147.000,155.390,0.000,0.000,1196.111,147.000,23141.358,0,35.632
8,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:dendrite 3:1,0.000,147.000,0.000,147.000,147.000,147.000,91.394,82.073,7.598,147.000,147.000,3,0.000
9,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:dendrite 3 background:1,0.000,147.000,0.000,147.000,147.000,147.000,93.667,84.346,7.598,147.000,147.000,3,0.000
10,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:AIS:1,8.270,163.126,8.726,157.612,150.332,192.215,0.000,0.000,1349.046,161.423,26100.228,0,36.345
11,SUM_b3d07e04-1b75-4403-9cab-5488132eae2e.tif:AIS background:1,8.270,155.158,11.920,147.078,147.000,187.182,0.000,0.000,1283.148,147.875,24825.286,0,36.345
