 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:cell body:1,484.670,116.064,15.171,102.221,102.000,215.000,56252.925,110.000,1088335.000,0.000
2,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:nucleus:1,99.549,128.721,19.148,109.115,104.000,201.000,12814.121,123.000,247917.000,0.000
3,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:cytoplasm:1,385.121,112.793,11.951,102.221,102.000,215.000,43438.804,109.000,840418.000,0.000
4,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:dendrite 1:1,3.928,106.216,2.207,103.795,102.756,115.733,417.239,105.678,8072.389,17.168
5,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:dendrite 1 background:1,3.928,102.155,0.416,102.004,102.000,104.247,401.289,102.000,7763.802,17.168
6,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:dendrite 2:1,4.083,103.728,1.119,102.011,102.000,107.612,423.552,103.650,8194.542,17.880
7,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:dendrite 2 background:1,4.083,102.022,0.121,102.002,102.000,102.965,416.584,102.000,8059.724,17.880
8,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:dendrite 3:1,1.964,106.740,2.500,104.515,102.000,113.199,209.649,106.601,4056.110,8.582
9,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:dendrite 3 background:1,1.964,102.142,0.564,102.006,102.000,104.875,200.619,102.000,3881.405,8.582
10,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:AIS:1,3.618,115.290,6.991,111.570,106.000,140.359,417.131,113.927,8070.299,15.878
11,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:AIS background:1,3.618,102.030,0.180,102.003,102.000,103.409,369.154,102.000,7142.088,15.878
12,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:axon:1,13.800,111.600,3.699,110.043,103.533,128.594,1540.126,111.430,29797.082,60.683
13,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:axon background:1,13.800,102.181,0.574,102.008,102.000,105.966,1410.144,102.000,27282.293,60.683
14,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:growth cone:1,21.605,108.146,4.144,106.023,102.000,122.000,2336.517,108.000,45205.000,0.000
15,SUM_f55f582c-1d17-49b2-8e44-295ba5b867ce.tif:growth cone background:1,21.605,102.014,0.119,102.002,102.000,103.000,2204.043,102.000,42642.000,0.000
