 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:cell body:1,111.282,110.158,10.410,106.029,96.000,161.000,0.000,0.000,12258.639,107.000,237170.000,0,0.000
2,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:nucleus:1,50.705,109.490,8.964,106.039,97.000,149.000,0.000,0.000,5551.716,107.000,107410.000,0,0.000
3,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:cytoplasm:1,60.577,110.717,11.454,99.936,96.000,161.000,0.000,0.000,6706.923,108.000,129760.000,0,0.000
4,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:dendrite 1:1,5.582,97.856,1.306,96.015,96.000,103.570,0.000,0.000,546.252,97.609,10568.429,0,24.522
5,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:dendrite 1 background:1,5.582,96.007,0.059,96.001,96.000,96.564,0.000,0.000,535.934,96.000,10368.798,0,24.522
6,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:dendrite 2:1,0.000,96.000,0.000,96.000,96.000,96.000,79.458,67.409,4.962,96.000,96.000,1,0.000
7,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:dendrite 2 background:1,0.000,96.000,0.000,96.000,96.000,96.000,81.732,69.682,4.962,96.000,96.000,1,0.000
8,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:dendrite 3:1,0.000,96.000,0.000,96.000,96.000,96.000,79.458,67.409,4.962,96.000,96.000,1,0.000
9,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:dendrite 3 background:1,0.000,96.000,0.000,96.000,96.000,96.000,81.732,69.682,4.962,96.000,96.000,1,0.000
10,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:AIS:1,3.463,114.606,4.233,117.575,104.274,125.622,0.000,0.000,396.887,114.692,7678.634,0,15.090
11,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:AIS background:1,3.463,96.000,0.000,96.000,96.000,96.000,0.000,0.000,332.452,96.000,6432.000,0,15.090
12,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:axon:1,20.520,107.866,5.608,103.795,96.703,128.280,0.000,0.000,2213.388,106.743,42822.788,0,90.255
13,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:axon background:1,20.520,96.127,0.885,96.022,96.000,107.038,0.000,0.000,1972.497,96.000,38162.242,0,90.255
14,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:growth cone:1,14.059,101.199,3.808,99.021,96.000,113.000,0.000,0.000,1422.740,101.000,27526.000,0,0.000
15,SUM_936df826-1c94-4ab1-8f50-0b333c63c05f.tif:growth cone background:1,14.059,96.015,0.121,96.002,96.000,97.000,0.000,0.000,1349.861,96.000,26116.000,0,0.000
