 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_BFA_2_soma.tif:cell body:1,214.192,81.836,57.196,13.000,4.000,239.000,0.000,0.000,17528.660,67.000,339130.000,0,0.000
2,MAX_BFA_2_soma.tif:nucleus:1,56.701,146.826,34.693,154.000,65.000,239.000,0.000,0.000,8325.144,143.000,161068.000,0,0.000
3,MAX_BFA_2_soma.tif:cytoplasm:1,157.491,58.438,44.133,13.000,4.000,239.000,0.000,0.000,9203.516,45.000,178062.000,0,0.000
4,MAX_BFA_2_soma.tif:dendrite 1:1,4.807,29.423,9.515,25.033,12.654,56.976,0.000,0.000,141.433,28.378,2736.326,0,21.138
5,MAX_BFA_2_soma.tif:dendrite 1 background:1,4.807,3.887,0.732,3.008,3.000,7.083,0.000,0.000,18.684,3.770,361.489,0,21.138
6,MAX_BFA_2_soma.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,93.251,66.272,0.207,4.000,4.000,1,0.000
7,MAX_BFA_2_soma.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,95.524,68.545,0.155,3.000,3.000,1,0.000
8,MAX_BFA_2_soma.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,93.251,66.272,0.207,4.000,4.000,1,0.000
9,MAX_BFA_2_soma.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,95.524,68.545,0.155,3.000,3.000,1,0.000
10,MAX_BFA_2_soma.tif:AIS:1,9.872,23.840,12.701,11.557,6.573,65.925,0.000,0.000,235.353,20.881,4553.416,0,43.383
11,MAX_BFA_2_soma.tif:AIS background:1,9.872,4.691,2.028,3.176,3.000,21.018,0.000,0.000,46.314,4.053,896.045,0,43.383
