 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BFA_4_soma.tif:cell body:1,636.527,39.173,43.240,7.000,3.000,245.000,24934.807,18.000,482418.000,0.000
2,MAX_BFA_4_soma.tif:nucleus:1,73.137,113.327,36.346,90.000,50.000,244.000,8288.447,105.000,160358.000,0.000
3,MAX_BFA_4_soma.tif:cytoplasm:1,563.390,29.547,33.681,7.000,3.000,245.000,16646.361,15.000,322060.000,0.000
4,MAX_BFA_4_soma.tif:dendrite 1:1,2.946,12.106,5.355,10.430,4.799,27.501,35.665,10.785,690.024,12.879
5,MAX_BFA_4_soma.tif:dendrite 1 background:1,2.946,4.884,2.317,3.026,3.002,15.602,14.388,4.173,278.375,12.879
6,MAX_BFA_4_soma.tif:dendrite 2:1,4.704,12.352,4.626,9.264,4.090,22.880,58.096,11.645,1123.988,20.659
7,MAX_BFA_4_soma.tif:dendrite 2 background:1,4.704,4.158,1.560,3.996,3.000,16.076,19.555,3.892,378.340,20.659
8,MAX_BFA_4_soma.tif:dendrite 3:1,1.602,19.414,5.534,19.817,10.158,31.567,31.107,19.118,601.826,6.893
9,MAX_BFA_4_soma.tif:dendrite 3 background:1,1.602,4.138,1.071,3.098,3.089,7.833,6.630,3.761,128.272,6.893
10,MAX_BFA_4_soma.tif:AIS:1,7.443,38.760,12.064,26.218,14.259,70.433,288.486,37.250,5581.385,32.531
11,MAX_BFA_4_soma.tif:AIS background:1,7.443,4.038,0.857,3.014,3.000,10.296,30.054,3.927,581.466,32.531
