 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BFA_6_BOTH.tif:cell body:1,546.798,26.076,30.453,5.000,3.000,193.000,14258.415,11.000,275860.000,0.000
2,MAX_BFA_6_BOTH.tif:nucleus:1,75.670,79.738,24.022,70.000,23.000,193.000,6033.802,75.000,116737.000,0.000
3,MAX_BFA_6_BOTH.tif:cytoplasm:1,471.128,17.457,21.139,5.000,3.000,190.000,8224.613,9.000,159123.000,0.000
4,MAX_BFA_6_BOTH.tif:dendrite 1:1,2.791,8.992,4.169,8.093,4.181,28.308,25.098,8.078,485.583,12.161
5,MAX_BFA_6_BOTH.tif:dendrite 1 background:1,2.791,4.105,1.033,4.008,3.048,8.332,11.457,3.980,221.656,12.161
6,MAX_BFA_6_BOTH.tif:dendrite 2:1,2.429,8.055,2.573,4.494,4.011,14.750,19.567,7.664,378.563,10.572
7,MAX_BFA_6_BOTH.tif:dendrite 2 background:1,2.429,4.135,0.647,4.000,3.000,5.927,10.045,4.000,194.350,10.572
8,MAX_BFA_6_BOTH.tif:dendrite 3:1,2.016,7.471,2.064,6.305,4.517,12.342,15.061,6.920,291.378,8.787
9,MAX_BFA_6_BOTH.tif:dendrite 3 background:1,2.016,4.311,1.153,4.107,3.028,8.193,8.691,4.000,168.137,8.787
10,MAX_BFA_6_BOTH.tif:AIS:1,6.254,18.781,6.729,16.145,6.216,45.622,117.456,17.379,2272.444,27.370
11,MAX_BFA_6_BOTH.tif:AIS background:1,6.254,4.121,0.741,4.001,3.002,7.373,25.775,4.000,498.670,27.370
12,MAX_BFA_6_BOTH.tif:axon:1,11.164,19.016,7.113,18.299,7.646,57.688,212.301,17.870,4107.431,49.074
13,MAX_BFA_6_BOTH.tif:axon background:1,11.164,4.314,0.989,3.995,3.000,8.479,48.161,4.034,931.778,49.074
14,MAX_BFA_6_BOTH.tif:growth cone:1,60.474,11.046,7.231,7.000,3.000,78.000,668.005,9.000,12924.000,0.000
15,MAX_BFA_6_BOTH.tif:growth cone background:1,60.474,4.127,1.235,3.000,3.000,13.000,249.597,4.000,4829.000,0.000
