 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-BFA_1_BOTH.tif:cell body:1,236.262,75.950,52.181,18.000,5.000,250.000,17944.070,63.000,347167.000,0.000
2,MAX_DMSO-for-BFA_1_BOTH.tif:nucleus:1,74.171,130.831,31.187,115.000,58.000,250.000,9703.847,127.000,187742.000,0.000
3,MAX_DMSO-for-BFA_1_BOTH.tif:cytoplasm:1,162.091,50.837,38.920,18.000,5.000,238.000,8240.223,38.000,159425.000,0.000
4,MAX_DMSO-for-BFA_1_BOTH.tif:dendrite 1:1,3.463,11.258,4.727,8.715,5.340,22.795,38.986,9.910,754.273,15.138
5,MAX_DMSO-for-BFA_1_BOTH.tif:dendrite 1 background:1,3.463,4.457,0.978,3.509,3.049,8.059,15.435,4.324,298.618,15.138
6,MAX_DMSO-for-BFA_1_BOTH.tif:dendrite 2:1,3.256,15.632,4.874,14.574,6.737,29.153,50.901,14.579,984.786,14.172
7,MAX_DMSO-for-BFA_1_BOTH.tif:dendrite 2 background:1,3.256,6.553,16.280,3.489,3.236,133.000,21.337,4.259,412.811,14.172
8,MAX_DMSO-for-BFA_1_BOTH.tif:dendrite 3:1,1.912,19.785,6.261,10.420,10.375,33.884,37.838,19.512,732.052,8.335
9,MAX_DMSO-for-BFA_1_BOTH.tif:dendrite 3 background:1,1.912,3.863,0.517,3.013,3.009,5.000,7.387,4.000,142.914,8.335
10,MAX_DMSO-for-BFA_1_BOTH.tif:AIS:1,4.135,34.544,11.739,33.849,10.222,67.015,142.840,33.068,2763.549,18.010
11,MAX_DMSO-for-BFA_1_BOTH.tif:AIS background:1,4.135,4.032,0.693,3.994,3.000,6.161,16.671,3.987,322.535,18.010
12,MAX_DMSO-for-BFA_1_BOTH.tif:axon:1,22.277,27.318,11.640,23.982,8.346,72.392,608.557,24.696,11773.852,97.866
13,MAX_DMSO-for-BFA_1_BOTH.tif:axon background:1,22.277,4.836,6.396,3.126,3.000,67.656,107.733,3.879,2084.322,97.866
14,MAX_DMSO-for-BFA_1_BOTH.tif:growth cone:1,103.478,16.112,11.112,7.000,3.000,116.000,1667.220,13.000,32256.000,0.000
15,MAX_DMSO-for-BFA_1_BOTH.tif:growth cone background:1,103.478,4.608,5.921,3.000,3.000,121.000,476.866,4.000,9226.000,0.000
