 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-BFA_4_soma.tif:cell body:1,459.809,32.631,34.319,5.000,3.000,249.000,15003.950,15.000,290284.000,0.000
2,MAX_DMSO-for-BFA_4_soma.tif:nucleus:1,72.259,84.967,20.755,82.000,29.000,170.000,6139.605,82.000,118784.000,0.000
3,MAX_DMSO-for-BFA_4_soma.tif:cytoplasm:1,387.550,22.873,26.668,5.000,3.000,249.000,8864.345,11.000,171500.000,0.000
4,MAX_DMSO-for-BFA_4_soma.tif:dendrite 1:1,2.998,13.903,6.089,5.745,5.690,34.164,41.678,13.145,806.358,13.019
5,MAX_DMSO-for-BFA_4_soma.tif:dendrite 1 background:1,2.998,4.591,1.170,3.992,3.154,9.370,13.762,4.221,266.255,13.019
6,MAX_DMSO-for-BFA_4_soma.tif:dendrite 2:1,2.843,10.258,5.577,19.038,4.115,31.500,29.162,7.998,564.206,12.333
7,MAX_DMSO-for-BFA_4_soma.tif:dendrite 2 background:1,2.843,4.563,1.831,4.011,3.000,11.483,12.973,4.000,250.986,12.333
8,MAX_DMSO-for-BFA_4_soma.tif:dendrite 3:1,1.964,12.795,4.836,6.839,5.762,26.194,25.131,11.064,486.214,8.552
9,MAX_DMSO-for-BFA_4_soma.tif:dendrite 3 background:1,1.964,4.848,1.765,3.511,3.275,14.283,9.523,4.597,184.238,8.552
10,MAX_DMSO-for-BFA_4_soma.tif:AIS:1,12.457,33.305,10.519,28.104,14.173,84.791,414.871,31.274,8026.572,54.625
11,MAX_DMSO-for-BFA_4_soma.tif:AIS background:1,12.457,4.333,1.615,3.023,3.000,14.827,53.974,3.879,1044.238,54.625
