 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_DMSO-for-BFA_5_BOTH.tif:cell body:1,224.684,52.320,46.259,13.000,4.000,255.000,0.000,0.000,11755.517,32.000,227436.000,0,0.000
2,MAX_DMSO-for-BFA_5_BOTH.tif:nucleus:1,53.341,114.694,31.975,102.000,27.000,252.000,0.000,0.000,6117.897,109.000,118364.000,0,0.000
3,MAX_DMSO-for-BFA_5_BOTH.tif:cytoplasm:1,171.343,32.903,29.992,13.000,4.000,255.000,0.000,0.000,5637.620,23.000,109072.000,0,0.000
4,MAX_DMSO-for-BFA_5_BOTH.tif:dendrite 1:1,0.000,4.000,0.000,4.000,4.000,4.000,92.417,73.206,0.207,4.000,4.000,1,0.000
5,MAX_DMSO-for-BFA_5_BOTH.tif:dendrite 1 background:1,0.000,3.000,0.000,3.000,3.000,3.000,94.690,75.480,0.155,3.000,3.000,1,0.000
6,MAX_DMSO-for-BFA_5_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,92.417,73.206,0.207,4.000,4.000,1,0.000
7,MAX_DMSO-for-BFA_5_BOTH.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,94.690,75.480,0.155,3.000,3.000,1,0.000
8,MAX_DMSO-for-BFA_5_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,92.417,73.206,0.207,4.000,4.000,1,0.000
9,MAX_DMSO-for-BFA_5_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,94.690,75.480,0.155,3.000,3.000,1,0.000
10,MAX_DMSO-for-BFA_5_BOTH.tif:AIS:1,4.704,33.714,11.433,26.652,17.576,86.931,0.000,0.000,158.575,30.050,3067.972,0,20.685
11,MAX_DMSO-for-BFA_5_BOTH.tif:AIS background:1,4.704,5.374,3.065,3.967,3.000,22.809,0.000,0.000,25.275,4.374,489.002,0,20.685
12,MAX_DMSO-for-BFA_5_BOTH.tif:axon:1,25.223,28.864,11.812,26.781,8.707,108.210,0.000,0.000,728.048,26.948,14085.665,0,110.813
13,MAX_DMSO-for-BFA_5_BOTH.tif:axon background:1,25.223,6.007,5.425,4.003,3.000,60.086,0.000,0.000,151.524,4.500,2931.562,0,110.813
14,MAX_DMSO-for-BFA_5_BOTH.tif:growth cone:1,68.951,9.020,5.465,5.000,3.000,86.000,0.000,0.000,621.951,8.000,12033.000,0,0.000
15,MAX_DMSO-for-BFA_5_BOTH.tif:growth cone background:1,68.951,4.199,1.909,4.000,3.000,32.000,0.000,0.000,289.500,4.000,5601.000,0,0.000
