 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-GCA_1_soma.tif:cell body:1,440.530,44.965,48.652,8.000,3.000,235.000,19808.218,23.000,383233.000,0.000
2,MAX_DMSO-for-GCA_1_soma.tif:nucleus:1,65.488,136.968,31.681,135.000,60.000,235.000,8969.683,133.000,173538.000,0.000
3,MAX_DMSO-for-GCA_1_soma.tif:cytoplasm:1,375.042,28.900,29.476,8.000,3.000,220.000,10838.535,18.000,209695.000,0.000
4,MAX_DMSO-for-GCA_1_soma.tif:dendrite 1:1,5.996,15.702,5.614,7.877,7.403,34.402,94.146,14.707,1821.464,26.195
5,MAX_DMSO-for-GCA_1_soma.tif:dendrite 1 background:1,5.996,4.324,2.023,4.144,3.000,23.197,25.923,4.122,501.532,26.195
6,MAX_DMSO-for-GCA_1_soma.tif:dendrite 2:1,5.375,9.922,3.377,7.963,5.032,22.285,53.334,9.157,1031.857,23.655
7,MAX_DMSO-for-GCA_1_soma.tif:dendrite 2 background:1,5.375,4.145,0.754,5.007,3.000,6.820,22.279,4.033,431.044,23.655
8,MAX_DMSO-for-GCA_1_soma.tif:dendrite 3:1,3.928,12.033,4.904,13.951,5.096,32.574,47.270,11.323,914.538,17.092
9,MAX_DMSO-for-GCA_1_soma.tif:dendrite 3 background:1,3.928,5.756,4.047,3.977,3.048,25.693,22.613,4.470,437.493,17.092
10,MAX_DMSO-for-GCA_1_soma.tif:AIS:1,9.097,23.050,7.608,23.782,10.000,48.560,209.682,21.903,4056.752,39.841
11,MAX_DMSO-for-GCA_1_soma.tif:AIS background:1,9.097,4.343,0.901,4.006,3.016,8.139,39.512,4.122,764.449,39.841
