 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-GCA_2_BOTH.tif:cell body:1,411.740,37.399,49.014,5.000,3.000,242.000,15398.478,12.000,297917.000,0.000
2,MAX_DMSO-for-GCA_2_BOTH.tif:nucleus:1,60.164,134.443,34.023,110.000,11.000,242.000,8088.624,131.000,156492.000,0.000
3,MAX_DMSO-for-GCA_2_BOTH.tif:cytoplasm:1,351.576,20.792,26.980,5.000,3.000,219.000,7309.854,10.000,141425.000,0.000
4,MAX_DMSO-for-GCA_2_BOTH.tif:dendrite 1:1,8.735,8.654,4.615,5.036,3.144,30.823,75.597,7.035,1462.579,38.381
5,MAX_DMSO-for-GCA_2_BOTH.tif:dendrite 1 background:1,8.735,4.087,0.818,3.988,3.000,7.322,35.699,3.962,690.669,38.381
6,MAX_DMSO-for-GCA_2_BOTH.tif:dendrite 2:1,5.892,9.754,4.413,10.244,3.586,25.027,57.474,8.719,1111.963,25.795
7,MAX_DMSO-for-GCA_2_BOTH.tif:dendrite 2 background:1,5.892,4.771,1.560,4.014,3.000,12.107,28.113,4.521,543.902,25.795
8,MAX_DMSO-for-GCA_2_BOTH.tif:dendrite 3:1,4.704,7.524,6.813,5.454,3.000,49.537,35.391,5.963,684.717,20.574
9,MAX_DMSO-for-GCA_2_BOTH.tif:dendrite 3 background:1,4.704,4.307,1.230,3.997,3.000,10.849,20.258,4.000,391.929,20.574
10,MAX_DMSO-for-GCA_2_BOTH.tif:AIS:1,5.892,24.541,8.659,18.336,9.675,57.359,144.606,22.984,2797.726,25.768
11,MAX_DMSO-for-GCA_2_BOTH.tif:AIS background:1,5.892,4.056,0.668,4.004,3.000,6.152,23.900,3.988,462.403,25.768
12,MAX_DMSO-for-GCA_2_BOTH.tif:axon:1,20.158,20.821,8.108,14.616,5.917,68.651,419.717,19.652,8120.344,88.507
13,MAX_DMSO-for-GCA_2_BOTH.tif:axon background:1,20.158,3.952,0.872,3.019,3.000,12.604,79.662,3.789,1541.228,88.507
14,MAX_DMSO-for-GCA_2_BOTH.tif:growth cone:1,36.905,11.289,6.496,5.000,3.000,47.000,416.598,9.000,8060.000,0.000
15,MAX_DMSO-for-GCA_2_BOTH.tif:growth cone background:1,36.905,4.318,2.089,4.000,3.000,32.000,159.351,4.000,3083.000,0.000
