 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_DMSO-for-GCA_6_BOTH.tif:cell body:1,253.836,53.460,56.530,10.000,4.000,245.000,0.000,0.000,13569.942,26.000,262540.000,0,0.000
2,MAX_DMSO-for-GCA_6_BOTH.tif:nucleus:1,28.635,156.765,30.791,168.000,67.000,234.000,0.000,0.000,4488.925,156.000,86848.000,0,0.000
3,MAX_DMSO-for-GCA_6_BOTH.tif:cytoplasm:1,225.201,40.324,44.180,10.000,4.000,245.000,0.000,0.000,9081.017,21.000,175692.000,0,0.000
4,MAX_DMSO-for-GCA_6_BOTH.tif:dendrite 1:1,0.000,3.000,0.000,3.000,3.000,3.000,49.335,7.957,0.155,3.000,3.000,1,0.000
5,MAX_DMSO-for-GCA_6_BOTH.tif:dendrite 1 background:1,0.000,4.000,0.000,4.000,4.000,4.000,51.608,10.231,0.207,4.000,4.000,1,0.000
6,MAX_DMSO-for-GCA_6_BOTH.tif:dendrite 2:1,0.000,3.000,0.000,3.000,3.000,3.000,49.335,7.957,0.155,3.000,3.000,1,0.000
7,MAX_DMSO-for-GCA_6_BOTH.tif:dendrite 2 background:1,0.000,4.000,0.000,4.000,4.000,4.000,51.608,10.231,0.207,4.000,4.000,1,0.000
8,MAX_DMSO-for-GCA_6_BOTH.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3.000,3.000,49.335,7.957,0.155,3.000,3.000,1,0.000
9,MAX_DMSO-for-GCA_6_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,51.608,10.231,0.207,4.000,4.000,1,0.000
10,MAX_DMSO-for-GCA_6_BOTH.tif:AIS:1,6.358,21.004,13.798,8.651,6.008,60.137,0.000,0.000,133.535,16.387,2583.525,0,27.909
11,MAX_DMSO-for-GCA_6_BOTH.tif:AIS background:1,6.358,4.978,1.238,4.000,3.000,9.320,0.000,0.000,31.645,4.742,612.239,0,27.909
12,MAX_DMSO-for-GCA_6_BOTH.tif:axon:1,18.297,18.219,10.107,10.057,4.609,61.532,0.000,0.000,333.366,15.710,6449.691,0,80.298
13,MAX_DMSO-for-GCA_6_BOTH.tif:axon background:1,18.297,4.578,1.204,3.996,3.000,10.388,0.000,0.000,83.763,4.268,1620.577,0,80.298
14,MAX_DMSO-for-GCA_6_BOTH.tif:growth cone:1,66.263,9.010,5.787,5.000,3.000,87.000,0.000,0.000,597.038,7.000,11551.000,0,0.000
15,MAX_DMSO-for-GCA_6_BOTH.tif:growth cone background:1,66.211,4.324,1.215,4.000,3.000,13.000,0.000,0.000,286.295,4.000,5539.000,0,0.000
