 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-H89_3_soma.tif:cell body:1,284.124,50.588,43.822,10.000,4.000,238.000,14373.212,31.000,278081.000,0.000
2,MAX_DMSO-for-H89_3_soma.tif:nucleus:1,70.088,105.221,29.965,87.000,43.000,238.000,7374.721,99.000,142680.000,0.000
3,MAX_DMSO-for-H89_3_soma.tif:cytoplasm:1,214.036,32.698,30.947,10.000,4.000,194.000,6998.491,22.000,135401.000,0.000
4,MAX_DMSO-for-H89_3_soma.tif:dendrite 1:1,6.202,16.477,6.836,11.958,6.990,51.609,102.200,14.802,1977.290,27.145
5,MAX_DMSO-for-H89_3_soma.tif:dendrite 1 background:1,6.202,3.999,0.789,3.246,3.000,6.593,24.806,3.787,479.926,27.145
6,MAX_DMSO-for-H89_3_soma.tif:dendrite 2:1,4.548,13.137,5.301,8.990,5.549,33.510,59.755,11.983,1156.091,19.824
7,MAX_DMSO-for-H89_3_soma.tif:dendrite 2 background:1,4.548,4.807,1.595,5.013,3.031,13.079,21.864,4.408,423.006,19.824
8,MAX_DMSO-for-H89_3_soma.tif:dendrite 3:1,2.843,12.447,4.826,7.772,6.467,29.500,35.385,11.673,684.604,12.294
9,MAX_DMSO-for-H89_3_soma.tif:dendrite 3 background:1,2.843,4.713,2.458,3.027,3.000,16.686,13.398,4.035,259.212,12.294
10,MAX_DMSO-for-H89_3_soma.tif:AIS:1,8.167,31.377,11.847,42.793,7.811,72.008,256.245,31.011,4957.613,35.867
11,MAX_DMSO-for-H89_3_soma.tif:AIS background:1,8.167,4.575,1.712,3.019,3.000,12.854,37.363,4.081,722.871,35.867
