 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-H89_6_BOTH.tif:cell body:1,484.360,31.929,33.726,5.000,3.000,194.000,15464.999,16.000,299204.000,0.000
2,MAX_DMSO-for-H89_6_BOTH.tif:nucleus:1,76.342,89.261,21.356,76.000,24.000,194.000,6814.381,87.000,131839.000,0.000
3,MAX_DMSO-for-H89_6_BOTH.tif:cytoplasm:1,408.018,21.202,23.126,5.000,3.000,190.000,8650.618,13.000,167365.000,0.000
4,MAX_DMSO-for-H89_6_BOTH.tif:dendrite 1:1,2.171,11.271,5.195,6.484,4.140,24.479,24.467,9.566,473.366,9.418
5,MAX_DMSO-for-H89_6_BOTH.tif:dendrite 1 background:1,2.171,4.043,0.683,3.163,3.158,5.837,8.777,3.935,169.819,9.418
6,MAX_DMSO-for-H89_6_BOTH.tif:dendrite 2:1,2.171,13.954,5.059,8.447,7.155,28.500,30.292,13.541,586.073,9.356
7,MAX_DMSO-for-H89_6_BOTH.tif:dendrite 2 background:1,2.171,4.785,1.853,3.187,3.172,10.932,10.389,4.121,200.988,9.356
8,MAX_DMSO-for-H89_6_BOTH.tif:dendrite 3:1,1.137,6.389,1.794,3.941,3.929,10.270,7.265,6.030,140.554,4.910
9,MAX_DMSO-for-H89_6_BOTH.tif:dendrite 3 background:1,1.137,3.955,0.760,3.997,3.055,5.748,4.497,3.939,87.009,4.910
10,MAX_DMSO-for-H89_6_BOTH.tif:AIS:1,4.497,17.384,5.914,11.999,9.049,36.506,78.171,15.709,1512.381,19.784
11,MAX_DMSO-for-H89_6_BOTH.tif:AIS background:1,4.497,4.228,0.815,3.913,3.000,6.223,19.012,4.053,367.822,19.784
12,MAX_DMSO-for-H89_6_BOTH.tif:axon:1,14.059,15.575,5.088,13.380,7.304,36.932,218.974,14.569,4236.527,61.663
13,MAX_DMSO-for-H89_6_BOTH.tif:axon background:1,14.059,4.407,1.709,3.025,3.000,15.617,61.963,4.000,1198.803,61.663
14,MAX_DMSO-for-H89_6_BOTH.tif:growth cone:1,127.771,9.252,5.123,7.000,3.000,56.000,1182.137,8.000,22871.000,0.000
15,MAX_DMSO-for-H89_6_BOTH.tif:growth cone background:1,127.771,3.994,1.397,3.000,3.000,24.000,510.255,4.000,9872.000,0.000
