 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_DMSO-for-clof_1_BOTH.tif:cell body:1,173.720,56.413,48.966,8.000,4.000,236.000,0.000,0.000,9800.140,37.000,189605.000,0,0.000
2,MAX_DMSO-for-clof_1_BOTH.tif:nucleus:1,54.788,109.133,31.840,91.000,45.000,236.000,0.000,0.000,5979.220,102.000,115681.000,0,0.000
3,MAX_DMSO-for-clof_1_BOTH.tif:cytoplasm:1,118.932,32.127,34.132,8.000,4.000,215.000,0.000,0.000,3820.920,18.000,73924.000,0,0.000
4,MAX_DMSO-for-clof_1_BOTH.tif:dendrite 1:1,0.000,4.000,0.000,4.000,4.000,4.000,35.864,13.129,0.207,4.000,4.000,1,0.000
5,MAX_DMSO-for-clof_1_BOTH.tif:dendrite 1 background:1,0.000,3.000,0.000,3.000,3.000,3.000,38.138,15.403,0.155,3.000,3.000,1,0.000
6,MAX_DMSO-for-clof_1_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,35.864,13.129,0.207,4.000,4.000,1,0.000
7,MAX_DMSO-for-clof_1_BOTH.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,38.138,15.403,0.155,3.000,3.000,1,0.000
8,MAX_DMSO-for-clof_1_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,35.864,13.129,0.207,4.000,4.000,1,0.000
9,MAX_DMSO-for-clof_1_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,38.138,15.403,0.155,3.000,3.000,1,0.000
10,MAX_DMSO-for-clof_1_BOTH.tif:AIS:1,4.187,42.366,11.348,33.909,23.116,71.168,0.000,0.000,177.373,40.571,3431.669,0,18.390
11,MAX_DMSO-for-clof_1_BOTH.tif:AIS background:1,4.187,4.798,1.312,4.015,3.014,9.671,0.000,0.000,20.086,4.614,388.606,0,18.390
12,MAX_DMSO-for-clof_1_BOTH.tif:axon:1,13.800,27.083,15.435,14.224,5.249,78.188,0.000,0.000,373.753,24.803,7231.069,0,60.556
13,MAX_DMSO-for-clof_1_BOTH.tif:axon background:1,13.800,4.803,2.423,3.937,3.000,31.230,0.000,0.000,66.284,4.346,1282.413,0,60.556
14,MAX_DMSO-for-clof_1_BOTH.tif:growth cone:1,27.859,11.833,7.056,6.000,4.000,55.000,0.000,0.000,329.661,10.000,6378.000,0,0.000
15,MAX_DMSO-for-clof_1_BOTH.tif:growth cone background:1,27.911,4.356,1.167,4.000,3.000,11.000,0.000,0.000,121.568,4.000,2352.000,0,0.000
