 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-clof_5_BOTH.tif:cell body:1,253.215,39.701,30.072,9.000,4.000,154.000,10052.787,29.000,194493.000,0.000
2,MAX_DMSO-for-clof_5_BOTH.tif:nucleus:1,70.346,75.918,16.064,66.000,19.000,153.000,5340.522,74.000,103324.000,0.000
3,MAX_DMSO-for-clof_5_BOTH.tif:cytoplasm:1,182.869,25.769,21.312,9.000,4.000,154.000,4712.265,19.000,91169.000,0.000
4,MAX_DMSO-for-clof_5_BOTH.tif:dendrite 1:1,6.513,26.563,9.516,28.685,11.994,76.246,172.996,26.341,3346.978,28.599
5,MAX_DMSO-for-clof_5_BOTH.tif:dendrite 1 background:1,6.513,4.569,0.856,4.006,3.058,7.355,29.758,4.458,575.727,28.599
6,MAX_DMSO-for-clof_5_BOTH.tif:dendrite 2:1,2.688,15.010,4.130,15.309,8.663,26.667,40.343,14.352,780.525,11.679
7,MAX_DMSO-for-clof_5_BOTH.tif:dendrite 2 background:1,2.688,4.990,1.591,3.990,3.323,12.084,13.412,4.785,259.476,11.679
8,MAX_DMSO-for-clof_5_BOTH.tif:dendrite 3:1,2.326,7.132,1.887,5.418,4.556,13.952,16.588,6.674,320.931,10.218
9,MAX_DMSO-for-clof_5_BOTH.tif:dendrite 3 background:1,2.326,4.597,1.684,3.829,3.149,12.077,10.692,4.105,206.860,10.218
10,MAX_DMSO-for-clof_5_BOTH.tif:AIS:1,4.290,14.056,4.474,11.867,7.485,29.698,60.299,13.079,1166.609,18.802
11,MAX_DMSO-for-clof_5_BOTH.tif:AIS background:1,4.290,5.140,2.104,4.246,3.085,18.329,22.049,4.671,426.595,18.802
12,MAX_DMSO-for-clof_5_BOTH.tif:axon:1,23.518,17.000,6.820,13.829,5.396,49.911,399.794,15.598,7734.886,103.476
13,MAX_DMSO-for-clof_5_BOTH.tif:axon background:1,23.518,5.049,2.020,4.024,3.000,22.409,118.731,4.632,2297.116,103.476
14,MAX_DMSO-for-clof_5_BOTH.tif:growth cone:1,20.933,9.499,7.352,5.000,3.000,68.000,198.840,7.000,3847.000,0.000
15,MAX_DMSO-for-clof_5_BOTH.tif:growth cone background:1,20.933,4.077,1.001,4.000,3.000,10.000,85.335,4.000,1651.000,0.000
