 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_DMSO-for-clof_6_soma.tif:cell body:1,167.156,70.292,55.193,7.000,4.000,235.000,11749.779,55.000,227325.000,0.000
2,MAX_DMSO-for-clof_6_soma.tif:nucleus:1,50.085,130.304,28.824,119.000,50.000,235.000,6526.277,128.000,126265.000,0.000
3,MAX_DMSO-for-clof_6_soma.tif:cytoplasm:1,117.071,44.618,42.356,7.000,4.000,211.000,5223.503,29.000,101060.000,0.000
4,MAX_DMSO-for-clof_6_soma.tif:dendrite 1:1,4.755,18.685,6.049,14.398,7.456,35.890,88.852,17.560,1719.044,20.704
5,MAX_DMSO-for-clof_6_soma.tif:dendrite 1 background:1,4.755,4.172,0.792,3.963,3.016,7.467,19.838,4.044,383.807,20.704
6,MAX_DMSO-for-clof_6_soma.tif:dendrite 2:1,3.877,16.800,6.590,14.250,7.125,60.000,65.125,15.957,1259.985,16.944
7,MAX_DMSO-for-clof_6_soma.tif:dendrite 2 background:1,3.877,4.145,0.557,3.999,3.081,5.569,16.070,4.055,310.901,16.944
8,MAX_DMSO-for-clof_6_soma.tif:dendrite 3:1,2.584,10.072,4.522,4.087,3.900,23.145,26.030,8.987,503.599,11.211
9,MAX_DMSO-for-clof_6_soma.tif:dendrite 3 background:1,2.584,4.617,1.687,4.004,3.030,12.092,11.932,4.211,230.851,11.211
10,MAX_DMSO-for-clof_6_soma.tif:AIS:1,6.771,20.016,6.066,16.192,8.825,42.208,135.527,19.381,2622.062,29.640
11,MAX_DMSO-for-clof_6_soma.tif:AIS background:1,6.771,4.845,1.633,4.092,3.013,15.296,32.804,4.438,634.662,29.640
