 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_GCA_1_BOTH.tif:cell body:1,241.431,58.696,55.680,8.000,4.000,242.000,0.000,0.000,14170.960,33.000,274168.000,0,0.000
2,MAX_GCA_1_BOTH.tif:nucleus:1,46.725,149.991,36.729,134.000,67.000,242.000,0.000,0.000,7008.363,146.000,135592.000,0,0.000
3,MAX_GCA_1_BOTH.tif:cytoplasm:1,194.705,36.787,32.252,8.000,4.000,210.000,0.000,0.000,7162.597,25.000,138576.000,0,0.000
4,MAX_GCA_1_BOTH.tif:dendrite 1:1,1.602,15.915,3.308,14.777,9.620,22.757,0.000,0.000,25.501,15.820,493.363,0,7.029
5,MAX_GCA_1_BOTH.tif:dendrite 1 background:1,1.602,4.076,0.680,3.005,3.000,5.571,0.000,0.000,6.531,4.015,126.352,0,7.029
6,MAX_GCA_1_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,38.384,45.432,0.207,4.000,4.000,1,0.000
7,MAX_GCA_1_BOTH.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,40.657,47.705,0.155,3.000,3.000,1,0.000
8,MAX_GCA_1_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,38.384,45.432,0.207,4.000,4.000,1,0.000
9,MAX_GCA_1_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,40.657,47.705,0.155,3.000,3.000,1,0.000
10,MAX_GCA_1_BOTH.tif:AIS:1,5.634,19.922,6.808,19.358,7.648,39.372,0.000,0.000,112.240,19.410,2171.535,0,24.559
11,MAX_GCA_1_BOTH.tif:AIS background:1,5.634,5.465,2.028,3.995,3.067,15.250,0.000,0.000,30.787,4.982,595.638,0,24.559
12,MAX_GCA_1_BOTH.tif:axon:1,21.450,15.143,6.441,9.848,5.083,42.613,0.000,0.000,324.814,13.972,6284.226,0,94.377
13,MAX_GCA_1_BOTH.tif:axon background:1,21.450,4.765,2.109,4.051,3.000,24.523,0.000,0.000,102.203,4.305,1977.344,0,94.377
14,MAX_GCA_1_BOTH.tif:growth cone:1,33.958,6.895,2.999,5.000,3.000,23.000,0.000,0.000,234.143,6.000,4530.000,0,0.000
15,MAX_GCA_1_BOTH.tif:growth cone background:1,33.958,3.927,1.009,4.000,3.000,9.000,0.000,0.000,133.353,4.000,2580.000,0,0.000
