 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_GCA_3_BOTH.tif:cell body:1,486.686,39.422,36.070,7.000,3.000,221.000,19185.905,23.000,371193.000,0.000
2,MAX_GCA_3_BOTH.tif:nucleus:1,76.135,88.295,24.875,71.000,17.000,221.000,6722.378,84.000,130059.000,0.000
3,MAX_GCA_3_BOTH.tif:cytoplasm:1,410.551,30.358,30.041,7.000,3.000,197.000,12463.527,17.000,241134.000,0.000
4,MAX_GCA_3_BOTH.tif:dendrite 1:1,2.533,8.688,2.602,6.002,4.795,16.026,22.004,8.473,425.707,10.944
5,MAX_GCA_3_BOTH.tif:dendrite 1 background:1,2.533,4.066,0.753,4.243,3.000,6.812,10.298,4.038,199.242,10.944
6,MAX_GCA_3_BOTH.tif:dendrite 2:1,3.411,12.802,3.708,10.354,6.011,21.559,43.671,12.079,844.906,14.913
7,MAX_GCA_3_BOTH.tif:dendrite 2 background:1,3.411,3.811,0.652,3.005,3.000,5.513,13.002,3.727,251.545,14.913
8,MAX_GCA_3_BOTH.tif:dendrite 3:1,5.841,15.111,5.858,8.884,5.000,32.242,88.256,13.943,1707.496,25.486
9,MAX_GCA_3_BOTH.tif:dendrite 3 background:1,5.841,4.692,1.940,3.982,3.051,17.494,27.403,4.333,530.170,25.486
10,MAX_GCA_3_BOTH.tif:AIS:1,8.115,25.761,8.262,18.323,10.699,64.168,209.046,25.468,4044.456,35.641
11,MAX_GCA_3_BOTH.tif:AIS background:1,8.115,4.252,0.875,3.996,3.016,9.527,34.506,4.109,667.586,35.641
12,MAX_GCA_3_BOTH.tif:axon:1,23.518,24.263,9.344,19.293,7.820,63.762,570.615,22.758,11039.791,103.337
13,MAX_GCA_3_BOTH.tif:axon background:1,23.518,4.561,2.056,4.030,3.000,21.177,107.264,4.041,2075.263,103.337
14,MAX_GCA_3_BOTH.tif:growth cone:1,110.714,11.697,8.276,5.000,3.000,97.000,1295.021,9.000,25055.000,0.000
15,MAX_GCA_3_BOTH.tif:growth cone background:1,110.714,4.323,1.499,4.000,3.000,23.000,478.623,4.000,9260.000,0.000
