 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_H89_3_BOTH.tif:cell body:1,388.429,52.445,48.943,8.000,4.000,245.000,0.000,0.000,20371.143,31.000,394124.000,0,0.000
2,MAX_H89_3_BOTH.tif:nucleus:1,66.263,127.359,29.868,114.000,48.000,245.000,0.000,0.000,8439.166,121.000,163274.000,0,0.000
3,MAX_H89_3_BOTH.tif:cytoplasm:1,322.166,37.037,36.234,8.000,4.000,235.000,0.000,0.000,11931.977,24.000,230850.000,0,0.000
4,MAX_H89_3_BOTH.tif:dendrite 1:1,0.000,6.000,0.000,6.000,6.000,6.000,49.903,14.778,0.310,6.000,6.000,1,0.000
5,MAX_H89_3_BOTH.tif:dendrite 1 background:1,0.000,4.000,0.000,4.000,4.000,4.000,52.176,17.051,0.207,4.000,4.000,1,0.000
6,MAX_H89_3_BOTH.tif:dendrite 2:1,0.000,6.000,0.000,6.000,6.000,6.000,49.903,14.778,0.310,6.000,6.000,1,0.000
7,MAX_H89_3_BOTH.tif:dendrite 2 background:1,0.000,4.000,0.000,4.000,4.000,4.000,52.176,17.051,0.207,4.000,4.000,1,0.000
8,MAX_H89_3_BOTH.tif:dendrite 3:1,0.000,6.000,0.000,6.000,6.000,6.000,49.903,14.778,0.310,6.000,6.000,1,0.000
9,MAX_H89_3_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,52.176,17.051,0.207,4.000,4.000,1,0.000
10,MAX_H89_3_BOTH.tif:AIS:1,5.634,15.380,5.620,15.456,4.574,34.690,0.000,0.000,86.649,14.804,1676.416,0,24.575
11,MAX_H89_3_BOTH.tif:AIS background:1,5.634,4.289,1.269,3.836,3.002,11.708,0.000,0.000,24.162,3.955,467.461,0,24.575
12,MAX_H89_3_BOTH.tif:axon:1,56.959,19.961,15.016,10.381,4.000,116.659,0.000,0.000,1136.944,16.043,21996.649,0,250.726
13,MAX_H89_3_BOTH.tif:axon background:1,56.959,4.135,1.552,3.041,3.000,24.190,0.000,0.000,235.511,3.897,4556.474,0,250.726
14,MAX_H89_3_BOTH.tif:growth cone:1,18.969,38.474,32.177,9.000,4.000,151.000,0.000,0.000,729.822,26.000,14120.000,0,0.000
15,MAX_H89_3_BOTH.tif:growth cone background:1,18.969,8.188,7.143,5.000,3.000,68.000,0.000,0.000,155.320,5.000,3005.000,0,0.000
